00007ff80def3d10 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80def4810 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff80def4310 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff80def3e10 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff80def4710 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff80def4210 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80deef2d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80deef2f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80dede145 (__TEXT,__text) non-external _active_outbound_item_reset
00007ff80dee2f6c (__TEXT,__text) non-external _add_hd_table_incremental
00007ff80dee6bbc (__TEXT,__text) non-external _bubble_down
00007ff80dee6b5c (__TEXT,__text) non-external _bubble_up
00007ff80dede05b (__TEXT,__text) non-external _buf_chain_new
00007ff80dee7c36 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
00007ff80dedded3 (__TEXT,__text) non-external _default_calloc
00007ff80dede2b9 (__TEXT,__text) non-external _default_free
00007ff80deddf7f (__TEXT,__text) non-external _default_malloc
00007ff80dede12d (__TEXT,__text) non-external _default_realloc
00007ff80dee326d (__TEXT,__text) non-external _emit_newname_block
00007ff80dee2bd0 (__TEXT,__text) non-external _emit_string
00007ff80dee5931 (__TEXT,__text) non-external _emit_table_size
00007ff80dee97c9 (__TEXT,__text) non-external _find_stream_on_goaway_func
00007ff80dee3313 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff80dee9eb9 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff80dee57d7 (__TEXT,__text) non-external _hd_context_free
00007ff80dee3b97 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff80dee68d8 (__TEXT,__text) non-external _hd_get_table_entry
00007ff80dee4c04 (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff80dee4cc7 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff80dee4b14 (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff80dee49e8 (__TEXT,__text) non-external _hd_inflate_read_len
00007ff80dee583d (__TEXT,__text) non-external _hd_ringbuf_get
00007ff80deefcc0 (__TEXT,__const) non-external _huff_decode_table
00007ff80deef4b0 (__TEXT,__const) non-external _huff_sym_table
00007ff80dee1641 (__TEXT,__text) non-external _insert
00007ff80dee5f3a (__TEXT,__text) non-external _insert_link_dep
00007ff80dee2041 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00007ff80dee5bd5 (__TEXT,__text) non-external _map_resize
00007ff8424003e0 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff80dedec71 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff80dede48d (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff80dee32cf (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff80dee58d2 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff80deef27c (__TEXT,__text) external _nghttp2_check_authority
00007ff80dedd51c (__TEXT,__text) external _nghttp2_check_header_name
00007ff80dedd55e (__TEXT,__text) external _nghttp2_check_header_value
00007ff80deef1cf (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00007ff80deef21c (__TEXT,__text) external _nghttp2_check_method
00007ff80deef24b (__TEXT,__text) external _nghttp2_check_path
00007ff80dee6ac4 (__TEXT,__text) external _nghttp2_extpri_parse_priority
00007ff80dee34b4 (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff80dee61fc (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
00007ff80dee17fd (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00007ff80dee62f1 (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
00007ff80dee6134 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00007ff80dee17cb (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff80dee3b58 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff80dee677e (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff80dee691f (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff80dee6929 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007ff80dee68c0 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff80dee68ce (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff80dee6456 (__TEXT,__text) external _nghttp2_hd_deflate_hd
00007ff80dee6460 (__TEXT,__text) external _nghttp2_hd_deflate_hd2
00007ff80dee190f (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007ff80dee655f (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007ff80dee6569 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec2
00007ff80deddee8 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
00007ff80dee6706 (__TEXT,__text) external _nghttp2_hd_deflate_new
00007ff80dee6712 (__TEXT,__text) external _nghttp2_hd_deflate_new2
00007ff80dee63fd (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007ff80dee689d (__TEXT,__text) external _nghttp2_hd_inflate_del
00007ff80dee4d6d (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007ff80dee5877 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007ff80dee694b (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007ff80dee6955 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007ff80dee6933 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007ff80dee6941 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007ff80dee67a1 (__TEXT,__text) external _nghttp2_hd_inflate_hd
00007ff80dee6813 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00007ff80dee67ab (__TEXT,__text) external _nghttp2_hd_inflate_hd3
00007ff80dee42c6 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
00007ff80deddf8f (__TEXT,__text) non-external _nghttp2_hd_inflate_init
00007ff80dee682b (__TEXT,__text) external _nghttp2_hd_inflate_new
00007ff80dee6837 (__TEXT,__text) external _nghttp2_hd_inflate_new2
00007ff80dee2e57 (__TEXT,__text) non-external _nghttp2_hd_table_get
00007ff80deef2ad (__TEXT,__text) external _nghttp2_http2_strerror
00007ff80dee7f45 (__TEXT,__text) non-external _nghttp2_http_on_request_headers
00007ff80dee4dad (__TEXT,__text) non-external _nghttp2_http_on_response_headers
00007ff80dee7d09 (__TEXT,__text) non-external _nghttp2_http_parse_priority
00007ff80dee1716 (__TEXT,__text) non-external _nghttp2_http_record_request_method
00007ff80deeeead (__TEXT,__text) non-external _nghttp2_increase_local_window_size
00007ff80dee8cb7 (__TEXT,__text) external _nghttp2_is_fatal
00007ff80dede8b3 (__TEXT,__text) non-external _nghttp2_iv_check
00007ff80dee3cac (__TEXT,__text) non-external _nghttp2_map_each
00007ff80dedebe3 (__TEXT,__text) non-external _nghttp2_map_find
00007ff80dedefd0 (__TEXT,__text) non-external _nghttp2_nv_array_copy
00007ff80dee63a3 (__TEXT,__text) external _nghttp2_nv_compare_name
00007ff80dedcca3 (__TEXT,__text) external _nghttp2_option_del
00007ff80dedcbb4 (__TEXT,__text) external _nghttp2_option_new
00007ff80dee5b14 (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
00007ff80dee5bc1 (__TEXT,__text) external _nghttp2_option_set_max_continuations
00007ff80dee5b5f (__TEXT,__text) external _nghttp2_option_set_max_deflate_dynamic_table_size
00007ff80dee5b7a (__TEXT,__text) external _nghttp2_option_set_max_outbound_ack
00007ff80dee5ae1 (__TEXT,__text) external _nghttp2_option_set_max_reserved_remote_streams
00007ff80dee5b51 (__TEXT,__text) external _nghttp2_option_set_max_send_header_block_length
00007ff80dee5b88 (__TEXT,__text) external _nghttp2_option_set_max_settings
00007ff80dee5b44 (__TEXT,__text) external _nghttp2_option_set_no_auto_ping_ack
00007ff80dedcbed (__TEXT,__text) external _nghttp2_option_set_no_auto_window_update
00007ff80dedcc3d (__TEXT,__text) external _nghttp2_option_set_no_closed_streams
00007ff80dedcc14 (__TEXT,__text) external _nghttp2_option_set_no_http_messaging
00007ff80dedcc2f (__TEXT,__text) external _nghttp2_option_set_no_http_semantics
00007ff80dee5ac7 (__TEXT,__text) external _nghttp2_option_set_no_recv_client_magic
00007ff80dee5ba3 (__TEXT,__text) external _nghttp2_option_set_no_rfc9113_leading_and_trailing_ws_validation
00007ff80dedcbfa (__TEXT,__text) external _nghttp2_option_set_peer_max_concurrent_streams
00007ff80dee5b96 (__TEXT,__text) external _nghttp2_option_set_server_fallback_rfc7540_priorities
00007ff80dee5bb0 (__TEXT,__text) external _nghttp2_option_set_stream_reset_rate_limit
00007ff80dee5aee (__TEXT,__text) external _nghttp2_option_set_user_recv_extension_type
00007ff80dede1ff (__TEXT,__text) non-external _nghttp2_outbound_item_free
00007ff80dee8b52 (__TEXT,__text) external _nghttp2_pack_settings_payload
00007ff80dee8b5c (__TEXT,__text) external _nghttp2_pack_settings_payload2
00007ff80dee6ace (__TEXT,__text) non-external _nghttp2_pq_push
00007ff80dee6c3c (__TEXT,__text) non-external _nghttp2_pq_remove
00007ff80dee6d05 (__TEXT,__text) external _nghttp2_priority_spec_check_default
00007ff80dedefae (__TEXT,__text) external _nghttp2_priority_spec_default_init
00007ff80dedd89d (__TEXT,__text) external _nghttp2_priority_spec_init
00007ff80dedd09b (__TEXT,__text) external _nghttp2_rcbuf_decref
00007ff80dee7fe2 (__TEXT,__text) external _nghttp2_rcbuf_get_buf
00007ff80dee2ee8 (__TEXT,__text) external _nghttp2_rcbuf_incref
00007ff80dee7ff0 (__TEXT,__text) external _nghttp2_rcbuf_is_static
00007ff80dee2f05 (__TEXT,__text) non-external _nghttp2_rcbuf_new
00007ff80dee6a63 (__TEXT,__text) external _nghttp2_select_alpn
00007ff80dee6967 (__TEXT,__text) external _nghttp2_select_next_protocol
00007ff80dee5535 (__TEXT,__text) non-external _nghttp2_session_add_goaway
00007ff80dede952 (__TEXT,__text) non-external _nghttp2_session_add_item
00007ff80dee9fc4 (__TEXT,__text) non-external _nghttp2_session_add_ping
00007ff80dee929d (__TEXT,__text) non-external _nghttp2_session_add_rst_stream
00007ff80dede50c (__TEXT,__text) non-external _nghttp2_session_add_settings
00007ff80deded19 (__TEXT,__text) non-external _nghttp2_session_add_window_update
00007ff80dee9512 (__TEXT,__text) non-external _nghttp2_session_adjust_closed_stream
00007ff80dee081d (__TEXT,__text) non-external _nghttp2_session_adjust_idle_stream
00007ff80dedcc8f (__TEXT,__text) external _nghttp2_session_callbacks_del
00007ff80dedcac0 (__TEXT,__text) external _nghttp2_session_callbacks_new
00007ff80dedcafe (__TEXT,__text) external _nghttp2_session_callbacks_set_before_frame_send_callback
00007ff80dee5a52 (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback
00007ff80dee5a5f (__TEXT,__text) external _nghttp2_session_callbacks_set_data_source_read_length_callback2
00007ff80dee5aba (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback
00007ff80dedd217 (__TEXT,__text) external _nghttp2_session_callbacks_set_error_callback2
00007ff80dee5a6c (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_frame_callback
00007ff80dedcb26 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_begin_headers_callback
00007ff80dedcb44 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_data_chunk_recv_callback
00007ff80dee5aad (__TEXT,__text) external _nghttp2_session_callbacks_set_on_extension_chunk_recv_callback
00007ff80dedd1f2 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_not_send_callback
00007ff80dedcb30 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_recv_callback
00007ff80dedcb68 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_frame_send_callback
00007ff80dedcb10 (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback
00007ff80dee5a1a (__TEXT,__text) external _nghttp2_session_callbacks_set_on_header_callback2
00007ff80dedd1da (__TEXT,__text) external _nghttp2_session_callbacks_set_on_invalid_frame_recv_callback
