00000001d71fa898 (__DATA,__data) non-external _C
00000001d71fba30 (__DATA,__bss) non-external _CF6464
000000018b549dc8 (__TEXT,__const) non-external _CIFP
000000018b549d98 (__TEXT,__const) non-external _ExpandTr
00000001d71fba20 (__DATA,__bss) non-external _IE3264
000000018b549d58 (__TEXT,__const) non-external _IP
00000001d71fb990 (__DATA,__bss) non-external _KS
00000001d95b9958 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001d95b9950 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
000000018b5067c4 (__TEXT,__text) external _OSMemoryNotificationCurrentLevel
000000018b5069e8 (__TEXT,__text) external _OSThermalNotificationCurrentLevel
000000018b4fa8d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018b506c3c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018b512604 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018b512aec (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018b533214 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018b4e4b8c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018b512b08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018b4f5ca8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000018b506cd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000018b4e38e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000018b506cf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
000000018b4f5348 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
000000018b4f7dd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
000000018b4f4d04 (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
000000018b506d08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
000000018b506c64 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018b512b20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018b506c90 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000018b506ca8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000018b4f931c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000018b4e15d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
000000018b4f6bc4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018b4e38f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
000000018b506cc0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
000000018b549e08 (__TEXT,__const) non-external _P32Tr
000000018b549d20 (__TEXT,__const) non-external _PC1
00000001d71fb988 (__DATA,__bss) non-external _PC1ROT
000000018b549ce0 (__TEXT,__const) non-external _PC2
00000001d71fba10 (__DATA,__bss) non-external _PC2ROT
000000018b549cd0 (__TEXT,__const) non-external _Rotates
000000018b549e28 (__TEXT,__const) non-external _S
00000001d71fba28 (__DATA,__bss) non-external _SPE
000000018b51aac4 (__TEXT,__text) non-external (was a private external) __BIG5_init
000000018b51ab08 (__TEXT,__text) non-external __BIG5_mbrtowc
000000018b51ac2c (__TEXT,__text) non-external __BIG5_mbsinit
000000018b51abd8 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001d253d130 (__DATA_CONST,__const) non-external __C_messages_locale
00000001d253d150 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001d253d1f8 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001d253d3d8 (__DATA_CONST,__const) non-external __C_time_locale
00000001d71faa48 (__DATA,__data) external __CurrentRuneLocale
00000001d71facc8 (__DATA,__constrw) external __DefaultRuneLocale
00000001d9d41190 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
000000018b51cb54 (__TEXT,__text) non-external __EUC_free_extra
000000018b51c620 (__TEXT,__text) non-external (was a private external) __EUC_init
000000018b51c7d0 (__TEXT,__text) non-external __EUC_mbrtowc
000000018b51cb38 (__TEXT,__text) non-external __EUC_mbsinit
000000018b51c960 (__TEXT,__text) non-external __EUC_wcrtomb
000000018b4f42a8 (__TEXT,__text) external __Exit
000000018b51cc58 (__TEXT,__text) non-external (was a private external) __GB18030_init
000000018b51cc9c (__TEXT,__text) non-external __GB18030_mbrtowc
000000018b51cf20 (__TEXT,__text) non-external __GB18030_mbsinit
000000018b51ce14 (__TEXT,__text) non-external __GB18030_wcrtomb
000000018b51cf3c (__TEXT,__text) non-external (was a private external) __GB2312_init
000000018b51cf80 (__TEXT,__text) non-external __GB2312_mbrtowc
000000018b51d0e8 (__TEXT,__text) non-external __GB2312_mbsinit
000000018b51d094 (__TEXT,__text) non-external __GB2312_wcrtomb
000000018b51d104 (__TEXT,__text) non-external (was a private external) __GBK_init
000000018b51d148 (__TEXT,__text) non-external __GBK_mbrtowc
000000018b51d26c (__TEXT,__text) non-external __GBK_mbsinit
000000018b51d218 (__TEXT,__text) non-external __GBK_wcrtomb
000000018b51e3cc (__TEXT,__text) non-external (was a private external) __MSKanji_init
000000018b51e410 (__TEXT,__text) non-external __MSKanji_mbrtowc
000000018b51e55c (__TEXT,__text) non-external __MSKanji_mbsinit
000000018b51e4f0 (__TEXT,__text) non-external __MSKanji_wcrtomb
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
000000018b4ec7b8 (__TEXT,__text) external __NSGetArgc
000000018b4e4a18 (__TEXT,__text) external __NSGetArgv
000000018b4d8394 (__TEXT,__text) external __NSGetEnviron
000000018b4e09b0 (__TEXT,__text) external __NSGetMachExecuteHeader
000000018b4da4ac (__TEXT,__text) external __NSGetProgname
000000018b5067cc (__TEXT,__text) external __OSThermalNotificationLevelForBehavior
000000018b5068b4 (__TEXT,__text) external __OSThermalNotificationSetLevelForBehavior
00000001d95b9c50 (__DATA_DIRTY,__common) external __PathLocale
000000018b4f9abc (__TEXT,__text) external __Read_RuneMagi
000000018b53323c (__TEXT,__text) non-external (was a private external) __UTF2_init
000000018b5332a0 (__TEXT,__text) non-external __UTF2_mbrtowc
000000018b533494 (__TEXT,__text) non-external __UTF2_mbsinit
000000018b5334b0 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
000000018b5333ec (__TEXT,__text) non-external __UTF2_wcrtomb
000000018b53365c (__TEXT,__text) non-external __UTF2_wcsnrtombs
000000018b4f62c0 (__TEXT,__text) non-external (was a private external) __UTF8_init
000000018b4e61b8 (__TEXT,__text) non-external __UTF8_mbrtowc
000000018b51f0d8 (__TEXT,__text) non-external __UTF8_mbsinit
000000018b4f5524 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
000000018b4f1340 (__TEXT,__text) non-external __UTF8_wcrtomb
000000018b51f0f4 (__TEXT,__text) non-external __UTF8_wcsnrtombs
000000018b4de658 (__TEXT,__text) external ___Balloc_D2A
000000018b4d64bc (__TEXT,__text) external ___Bfree_D2A
000000018b506aa4 (__TEXT,__text) non-external ___OSThermalNotificationCurrentLevel_block_invoke
000000018b4f6338 (__TEXT,__text) external ___ULtod_D2A
000000018b506894 (__TEXT,__text) non-external ____OSThermalNotificationLevelForBehavior_block_invoke
000000018b5069b4 (__TEXT,__text) non-external ____OSThermalNotificationSetLevelForBehavior_block_invoke
000000018b5069d4 (__TEXT,__text) non-external ____OSThermalNotificationSetLevelForBehavior_block_invoke_2
000000018b4f6b98 (__TEXT,__text) external ____mb_cur_max
000000018b502930 (__TEXT,__text) external ____mb_cur_max_l
000000018b4e2840 (__TEXT,__text) external ____runetype
000000018b4e1698 (__TEXT,__text) external ____runetype_l
000000018b51efec (__TEXT,__text) external ____tolower
000000018b51ef48 (__TEXT,__text) external ____tolower_l
000000018b51f0b4 (__TEXT,__text) external ____toupper
000000018b51f010 (__TEXT,__text) external ____toupper_l
000000018b5483cc (__TEXT,__text) non-external (was a private external) ___abort
000000018b50ddd0 (__TEXT,__text) external ___add_ovflpage
000000018b50db40 (__TEXT,__text) external ___addel
000000018b4f99e0 (__TEXT,__text) external ___any_on_D2A
000000018b547888 (__TEXT,__text) external ___assert_rtn
00000001d95b9c20 (__DATA_DIRTY,__bss) non-external ___atexit
000000018b4e51ac (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001d95b9c28 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
000000018b4da7e8 (__TEXT,__text) external ___b2d_D2A
000000018b50c244 (__TEXT,__text) external ___big_delete
000000018b50bfb0 (__TEXT,__text) external ___big_insert
000000018b50c904 (__TEXT,__text) external ___big_keydata
000000018b50c590 (__TEXT,__text) external ___big_return
000000018b50ca84 (__TEXT,__text) external ___big_split
000000018b54a2a0 (__TEXT,__const) external ___bigtens_D2A
00000001d253ce60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001d253ce80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00000001d253cea0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001d253cec0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
00000001db6dbd88 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001db6dbda8 (__AUTH_CONST,__const) non-external ___block_literal_global.9
000000018b506e6c (__TEXT,__text) external ___bt_close
000000018b50ab00 (__TEXT,__text) external ___bt_cmp
000000018b50abc4 (__TEXT,__text) external ___bt_defcmp
000000018b50ac08 (__TEXT,__text) external ___bt_defpfx
000000018b507314 (__TEXT,__text) external ___bt_delete
000000018b50790c (__TEXT,__text) external ___bt_dleaf
000000018b50875c (__TEXT,__text) external ___bt_fd
000000018b5096d0 (__TEXT,__text) non-external ___bt_first
000000018b508a68 (__TEXT,__text) external ___bt_free
000000018b507fa4 (__TEXT,__text) external ___bt_get
000000018b508a90 (__TEXT,__text) external ___bt_new
000000018b508098 (__TEXT,__text) external ___bt_open
000000018b507cec (__TEXT,__text) non-external ___bt_pdelete
000000018b507008 (__TEXT,__text) external ___bt_pgin
000000018b5071a0 (__TEXT,__text) external ___bt_pgout
000000018b508b0c (__TEXT,__text) external ___bt_put
000000018b507f14 (__TEXT,__text) non-external ___bt_relink
000000018b50a96c (__TEXT,__text) external ___bt_ret
000000018b50902c (__TEXT,__text) external ___bt_search
000000018b509274 (__TEXT,__text) external ___bt_seq
000000018b509674 (__TEXT,__text) external ___bt_setcur
000000018b5098f0 (__TEXT,__text) external ___bt_split
000000018b506f2c (__TEXT,__text) external ___bt_sync
000000018b50d064 (__TEXT,__text) external ___buf_free
000000018b50d034 (__TEXT,__text) non-external (was a private external) ___buf_init
00000001d95b8cb0 (__DATA_DIRTY,__data) non-external ___c_locale
000000018b53d97c (__TEXT,__text) non-external ___calc_left_pad
000000018b50baa8 (__TEXT,__text) external ___call_hash
00000001d71facc0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
000000018b546f34 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
000000018b546f50 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
000000018b4f92f4 (__TEXT,__text) non-external (was a private external) ___chk_init
000000018b4d5654 (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001d95b9cb8 (__DATA_DIRTY,__common) external ___cleanup
000000018b4f4048 (__TEXT,__text) external ___cmp_D2A
000000018b51be6c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
000000018b51c02c (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
000000018b51c1a4 (__TEXT,__text) external ___collate_equiv_match
000000018b51c4bc (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
000000018b51b608 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001d71fa958 (__DATA,__data) external ___collate_load_error
000000018b51ad28 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001d71fc2d8 (__DATA,__bss) non-external ___collate_load_tables.cache
000000018b51b980 (__TEXT,__text) external ___collate_lookup
000000018b51b6c4 (__TEXT,__text) external ___collate_lookup_l
000000018b51bb50 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
000000018b51ba5c (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
000000018b51c5fc (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001d71fc2e0 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001d71fc2e8 (__DATA,__bss) non-external ___collate_range_cmp.s2
000000018b51b3c4 (__TEXT,__text) non-external (was a private external) ___collate_substitute
000000018b51b5b4 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
000000018b51bc30 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
000000018b4e395c (__TEXT,__text) non-external (was a private external) ___confstr_init
000000018b4f43c0 (__TEXT,__text) external ___copybits_D2A
000000018b4fc36c (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
000000018b4fbdb4 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001d71fb980 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001d71fc5c8 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
000000018b537200 (__TEXT,__text) non-external ___cvt
00000001d71fc5b8 (__DATA,__bss) non-external ___cvt.s
000000018b4e3388 (__TEXT,__text) external ___cxa_atexit
000000018b4dcb7c (__TEXT,__text) external ___cxa_finalize
000000018b4f0cb8 (__TEXT,__text) external ___cxa_finalize_ranges
000000018b4e36e0 (__TEXT,__text) external ___d2b_D2A
00000001d95b9c70 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
000000018b50ad38 (__TEXT,__text) non-external ___dberr
000000018b50ad18 (__TEXT,__text) external ___dbpanic
000000018b511f48 (__TEXT,__text) external ___decrement_D2A
00000001d9d41180 (__AUTH,__data) external ___default_hash
000000018b53be20 (__TEXT,__text) external ___default_utx
00000001d71fac70 (__DATA,__data) non-external ___default_utx.once
000000018b53be58 (__TEXT,__text) non-external ___default_utx_init
000000018b50d274 (__TEXT,__text) external ___delpair
000000018b4f658c (__TEXT,__text) non-external (was a private external) ___detect_path_locale
000000018b4f8f6c (__TEXT,__text) external ___diff_D2A
00000001d95b9940 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
000000018b4e18b0 (__TEXT,__text) external ___dtoa
000000018b53bf44 (__TEXT,__text) non-external (was a private external) ___endutxent
00000001d95b9cc0 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
000000018b4f58f8 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001d95b9c2c (__DATA_DIRTY,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
000000018b4d9048 (__TEXT,__text) non-external (was a private external) ___errstr
000000018b4da1b4 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
000000018b50b940 (__TEXT,__text) external ___expand_table
00000001d95b9be0 (__DATA_DIRTY,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
000000018b4d9a74 (__TEXT,__text) external ___fflush
000000018b524424 (__TEXT,__text) external ___fgetwc
000000018b525a48 (__TEXT,__text) non-external (was a private external) ___find_arguments
000000018b50c3c4 (__TEXT,__text) external ___find_bigpair
000000018b50c4f4 (__TEXT,__text) external ___find_last_page
000000018b526c74 (__TEXT,__text) non-external (was a private external) ___find_warguments
000000018b4d5e20 (__TEXT,__text) non-external (was a private external) ___findenv_locked
000000018b54a440 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
000000018b51cb5c (__TEXT,__text) external ___fix_locale_grouping_str
000000018b51cc38 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
000000018b5249e4 (__TEXT,__text) non-external (was a private external) ___fputwc
000000018b4e51f4 (__TEXT,__text) external ___fread
000000018b50e780 (__TEXT,__text) external ___free_ovflpage
000000018b4d56c4 (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
000000018b4d8750 (__TEXT,__text) non-external ___fts_open
000000018b510a24 (__TEXT,__text) external ___gdtoa
00000001d95b9c48 (__DATA_DIRTY,__common) external ___gdtoa_locks
000000018b50cc28 (__TEXT,__text) external ___get_buf
000000018b51d73c (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
000000018b4d976c (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
000000018b4d8cb8 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
000000018b4f6d5c (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
000000018b4f387c (__TEXT,__text) non-external (was a private external) ___get_locale_env
000000018b50e1f4 (__TEXT,__text) external ___get_page
000000018b4ed02c (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001d95b9bc8 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
000000018b4ebb54 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___getlogin (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
000000018b53c054 (__TEXT,__text) non-external (was a private external) ___getutxent
000000018b53c48c (__TEXT,__text) non-external ___getutxid
000000018b5165b0 (__TEXT,__text) non-external (was a private external) ___gl_compare
000000018b5164b8 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
000000018b5165bc (__TEXT,__text) non-external (was a private external) ___gl_globextend
000000018b516254 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
000000018b516738 (__TEXT,__text) non-external (was a private external) ___gl_match
000000018b515f84 (__TEXT,__text) non-external ___glob
00000001d95b86e0 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
000000018b4f4ab4 (__TEXT,__text) non-external (was a private external) ___guard_setup
000000018b50ad40 (__TEXT,__text) external ___hash_open
000000018b4f4fe8 (__TEXT,__text) external ___hdtoa
000000018b4d5394 (__TEXT,__text) non-external (was a private external) ___heapsort_r
000000018b54a188 (__TEXT,__const) external ___hexdig_D2A
000000018b511c30 (__TEXT,__text) external ___hexdig_init_D2A
000000018b511c34 (__TEXT,__text) external ___hexnan_D2A
000000018b4d6dc4 (__TEXT,__text) external ___hi0bits_D2A
000000018b510a08 (__TEXT,__text) external ___hldtoa
000000018b4d648c (__TEXT,__text) external ___i2b_D2A
000000018b50e6c0 (__TEXT,__text) external ___ibitmap
000000018b522f68 (__TEXT,__text) non-external ___inaddr_to_index
000000018b548104 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
000000018b511e98 (__TEXT,__text) external ___increment_D2A
000000018b536220 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
000000018b51ebbc (__TEXT,__text) external ___isctype
000000018b51eb7c (__TEXT,__text) external ___istype
000000018b51ec90 (__TEXT,__text) external ___istype_l
00000001d95b92d0 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
