                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff81069e1a0 (__TEXT,__text) external __cg_jcopy_block_row
00007ff81069e14a (__TEXT,__text) external __cg_jcopy_sample_rows
00007ff8106bdf10 (__TEXT,__text) external __cg_jinit_1pass_quantizer
00007ff810694d60 (__TEXT,__text) external __cg_jinit_2pass_quantizer
00007ff81069d42d (__TEXT,__text) external __cg_jinit_c_coef_controller
00007ff81069e1b9 (__TEXT,__text) external __cg_jinit_c_main_controller
00007ff8106a9c4a (__TEXT,__text) external __cg_jinit_c_master_control
00007ff81069e390 (__TEXT,__text) external __cg_jinit_c_prep_controller
00007ff810693e4c (__TEXT,__text) external __cg_jinit_color_converter
00007ff81069c98c (__TEXT,__text) external __cg_jinit_color_deconverter
00007ff810693d34 (__TEXT,__text) external __cg_jinit_compress_master
00007ff8106a8a92 (__TEXT,__text) external __cg_jinit_d_coef_controller
00007ff8106ab47b (__TEXT,__text) external __cg_jinit_d_main_controller
00007ff8106ac07a (__TEXT,__text) external __cg_jinit_d_post_controller
00007ff8106b6101 (__TEXT,__text) external __cg_jinit_downsampler
00007ff81069bf93 (__TEXT,__text) external __cg_jinit_forward_dct
00007ff8106b7535 (__TEXT,__text) external __cg_jinit_huff_decoder
00007ff8106bb4ae (__TEXT,__text) external __cg_jinit_huff_encoder
00007ff81069f322 (__TEXT,__text) external __cg_jinit_input_controller
00007ff81069467e (__TEXT,__text) external __cg_jinit_inverse_dct
00007ff810696501 (__TEXT,__text) external __cg_jinit_marker_reader
00007ff8106ba238 (__TEXT,__text) external __cg_jinit_marker_writer
00007ff8106aaf86 (__TEXT,__text) external __cg_jinit_master_decompress
00007ff8106bf1d0 (__TEXT,__text) external __cg_jinit_memory_mgr
00007ff8106b6eab (__TEXT,__text) external __cg_jinit_merged_upsampler
00007ff8106abb63 (__TEXT,__text) external __cg_jinit_upsampler
00007ff8106b5d27 (__TEXT,__text) external __cg_jpeg_CreateCompress
00007ff81069ea80 (__TEXT,__text) external __cg_jpeg_CreateDecompress
00007ff810698bb7 (__TEXT,__text) external __cg_jpeg_abort
00007ff8106b5e5d (__TEXT,__text) external __cg_jpeg_abort_compress
00007ff81069eb79 (__TEXT,__text) external __cg_jpeg_abort_decompress
00007ff8106a7f28 (__TEXT,__text) external __cg_jpeg_add_quant_table
00007ff810698c44 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
00007ff810698c27 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
00007ff8106aac61 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
00007ff81069ebf2 (__TEXT,__text) external __cg_jpeg_consume_input
00007ff8106b9c17 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
00007ff8106a82f2 (__TEXT,__text) external __cg_jpeg_default_colorspace
00007ff810698bf9 (__TEXT,__text) external __cg_jpeg_destroy
00007ff8106b5e53 (__TEXT,__text) external __cg_jpeg_destroy_compress
00007ff81069eb6f (__TEXT,__text) external __cg_jpeg_destroy_decompress
00007ff8106bebc2 (__TEXT,__text) external __cg_jpeg_fdct_float
00007ff8106b974a (__TEXT,__text) external __cg_jpeg_fdct_ifast
00007ff8106acad9 (__TEXT,__text) external __cg_jpeg_fdct_islow
00007ff8106b5eba (__TEXT,__text) external __cg_jpeg_finish_compress
00007ff81069eede (__TEXT,__text) external __cg_jpeg_finish_decompress
00007ff8106bb424 (__TEXT,__text) external __cg_jpeg_finish_output
00007ff81069a275 (__TEXT,__text) external __cg_jpeg_free_large
00007ff81069a25b (__TEXT,__text) external __cg_jpeg_free_small
00007ff81069a268 (__TEXT,__text) external __cg_jpeg_get_large
00007ff81069a24e (__TEXT,__text) external __cg_jpeg_get_small
00007ff81069eea1 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
00007ff8106a10d1 (__TEXT,__text) external __cg_jpeg_idct_1x1
00007ff8106a101d (__TEXT,__text) external __cg_jpeg_idct_2x2
00007ff8106a0cd7 (__TEXT,__text) external __cg_jpeg_idct_4x4
00007ff8106ac598 (__TEXT,__text) external __cg_jpeg_idct_float
00007ff81069babd (__TEXT,__text) external __cg_jpeg_idct_ifast
00007ff81069fdd5 (__TEXT,__text) external __cg_jpeg_idct_islow
00007ff81069ee64 (__TEXT,__text) external __cg_jpeg_input_complete
00007ff81069a282 (__TEXT,__text) external __cg_jpeg_mem_available
00007ff81069a4b8 (__TEXT,__text) external __cg_jpeg_mem_init
00007ff81069a4c3 (__TEXT,__text) external __cg_jpeg_mem_term
00007ff8106c0920 (__TEXT,__const) external __cg_jpeg_natural_order
00007ff8106aaf0c (__TEXT,__text) external __cg_jpeg_new_colormap
00007ff81069a293 (__TEXT,__text) external __cg_jpeg_open_backing_store
00007ff8106a80b6 (__TEXT,__text) external __cg_jpeg_quality_scaling
00007ff8106ac404 (__TEXT,__text) external __cg_jpeg_read_coefficients
00007ff81069eb83 (__TEXT,__text) external __cg_jpeg_read_header
00007ff8106bb2fd (__TEXT,__text) external __cg_jpeg_read_raw_data
00007ff8106bb24e (__TEXT,__text) external __cg_jpeg_read_scanlines
00007ff810696288 (__TEXT,__text) external __cg_jpeg_resync_to_restart
00007ff8106980d7 (__TEXT,__text) external __cg_jpeg_save_markers
00007ff8106a8370 (__TEXT,__text) external __cg_jpeg_set_colorspace
00007ff8106a816d (__TEXT,__text) external __cg_jpeg_set_defaults
00007ff8106a806c (__TEXT,__text) external __cg_jpeg_set_linear_quality
00007ff81069846d (__TEXT,__text) external __cg_jpeg_set_marker_processor
00007ff8106a80ee (__TEXT,__text) external __cg_jpeg_set_quality
00007ff8106a870c (__TEXT,__text) external __cg_jpeg_simple_progression
00007ff8106a7d16 (__TEXT,__text) external __cg_jpeg_start_compress
00007ff8106bb06f (__TEXT,__text) external __cg_jpeg_start_decompress
00007ff8106bb3ba (__TEXT,__text) external __cg_jpeg_start_output
00007ff8106b6c1e (__TEXT,__text) external __cg_jpeg_std_error
00007ff810698c61 (__TEXT,__text) external __cg_jpeg_std_huff_table
00007ff8106c06d0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
00007ff8106c0600 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
00007ff8106c05e0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
00007ff8106c05c0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
00007ff8106c06f0 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
00007ff8106c0620 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
00007ff8106c05f1 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
00007ff8106c05d1 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00007ff8409c0b80 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
00007ff8106beeb5 (__TEXT,__text) external __cg_jpeg_stdio_dest
00007ff81069a4c9 (__TEXT,__text) external __cg_jpeg_stdio_src
00007ff8106b5e67 (__TEXT,__text) external __cg_jpeg_suppress_tables
00007ff8106b9a96 (__TEXT,__text) external __cg_jpeg_write_coefficients
00007ff8106b6091 (__TEXT,__text) external __cg_jpeg_write_m_byte
00007ff8106b6037 (__TEXT,__text) external __cg_jpeg_write_m_header
00007ff8106b5fa9 (__TEXT,__text) external __cg_jpeg_write_marker
00007ff8106a7e5b (__TEXT,__text) external __cg_jpeg_write_raw_data
00007ff8106a7d97 (__TEXT,__text) external __cg_jpeg_write_scanlines
00007ff8106b60a3 (__TEXT,__text) external __cg_jpeg_write_tables
00007ff81069e12f (__TEXT,__text) external __cg_jround_up
