00007ffa18d571f8 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa18d572a9 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa18d57134 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa18d57430 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa18d576df (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa18d57ab8 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa18d578c0 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa41a572f8 (__DATA_DIRTY,__common) external _EnableIPRA
00007ffa18da4431 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa18da43e3 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa18bfa1fc (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa189898f6 (__TEXT,__text) external _LLVMAddAlias
00007ffa18bfa242 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007ffa18a3564c (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa18da618b (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa18a35598 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa1898a093 (__TEXT,__text) external _LLVMAddAttribute
00007ffa18989c77 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007ffa18e8b4c7 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa18bfa797 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa18bfa21f (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007ffa18bfa265 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa1898a9e1 (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007ffa1898b70d (__TEXT,__text) external _LLVMAddCase
00007ffa1898b75e (__TEXT,__text) external _LLVMAddClause
00007ffa18a355c0 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa18bfa67a (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa18bfa6e8 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa18a355e3 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa18bfa2e0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffa18bfa69d (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffa1898b717 (__TEXT,__text) external _LLVMAddDestination
00007ffa18bfa70b (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffa18989938 (__TEXT,__text) external _LLVMAddFunction
00007ffa18989bc9 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffa18a35606 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffa18a35629 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffa18bfa326 (__TEXT,__text) external _LLVMAddGVNPass
00007ffa189895f2 (__TEXT,__text) external _LLVMAddGlobal
00007ffa18a3566f (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffa1898966c (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffa18a35692 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffa18a356b5 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffa18a356fb (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffa1898af19 (__TEXT,__text) external _LLVMAddIncoming
00007ffa18bfa370 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffa1898a787 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffa18bfa393 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffa18a3571e (__TEXT,__text) external _LLVMAddInternalizePass
00007ffa18bfa3bb (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffa18bfa3e3 (__TEXT,__text) external _LLVMAddLICMPass
