00000002656e4784 (__TEXT,__text) non-external +[NSDateFormatter(StocksUI) su_localizedYearFormat]
00000002656e67d8 (__TEXT,__text) non-external +[SUAdParameters setStocksAdEnabled:]
00000002656e467c (__TEXT,__text) non-external +[SULaunchPad launchSettings]
00000002656e4700 (__TEXT,__text) non-external +[SULaunchPad openStocksSettings]
00000002656e45ac (__TEXT,__text) non-external +[UIVisualEffect(StocksUI) su_visualEffectsForBarWithBackgroundColor:]
00000002656e65c4 (__TEXT,__text) non-external -[NSAttributedString(StocksUICoreText) su_containsExcessiveLineHeightCharacter]
00000002656e6624 (__TEXT,__text) non-external -[NSAttributedString(StocksUICoreText) su_languageAwareOutsetsAtScale:]
00000002656e4a90 (__TEXT,__text) non-external -[SUStockLinkPresentationSource .cxx_destruct]
00000002656e48e8 (__TEXT,__text) non-external -[SUStockLinkPresentationSource activityViewControllerLinkPresentationMetadata:]
00000002656e4794 (__TEXT,__text) non-external -[SUStockLinkPresentationSource initWithStockSymbol:name:url:]
00000002656e4a88 (__TEXT,__text) non-external -[SUStockLinkPresentationSource linkPresentationImage]
00000002656e4a78 (__TEXT,__text) non-external -[SUStockLinkPresentationSource stockName]
00000002656e4a70 (__TEXT,__text) non-external -[SUStockLinkPresentationSource stockSymbol]
00000002656e4a80 (__TEXT,__text) non-external -[SUStockLinkPresentationSource stockURL]
00000002656e4674 (__TEXT,__text) non-external -[UIApplication(StocksUI) su_finishedTest:]
00000002656e4678 (__TEXT,__text) non-external -[UIApplication(StocksUI) su_launchTestName]
00000002656e4670 (__TEXT,__text) non-external -[UIApplication(StocksUI) su_performBlockAfterCATransactionCommits:]
00000002656e6520 (__TEXT,__text) non-external -[UIFont(StocksUICoreText) su_languageAwareOutsetsAtScale:]
00000002656e44c4 (__TEXT,__text) non-external -[UIScrollView(StocksUI) su_performScrollTestWithLength:completion:]
00000002656e44a4 (__TEXT,__text) non-external -[UIViewController(StocksUI) su_isAppeared]
0000000265bcc8b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
0000000265bcc8f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
0000000265bcc914 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
0000000265bcc928 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
0000000265bcc8e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
                 (undefined) external _CACurrentMediaTime (from QuartzCore)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGPathCreateMutable (from CoreGraphics)
                 (undefined) external _CGRectEqualToRect (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMaxX (from CoreGraphics)
                 (undefined) external _CGRectGetMaxY (from CoreGraphics)
                 (undefined) external _CGRectGetMidX (from CoreGraphics)
                 (undefined) external _CGRectGetMidY (from CoreGraphics)
                 (undefined) external _CGRectGetMinX (from CoreGraphics)
                 (undefined) external _CGRectGetMinY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CGRectInset (from CoreGraphics)
                 (undefined) external _CGRectIntegral (from CoreGraphics)
                 (undefined) external _CGRectIsEmpty (from CoreGraphics)
                 (undefined) external _CGRectOffset (from CoreGraphics)
                 (undefined) external _CGRectUnion (from CoreGraphics)
                 (undefined) external _CPDateFormatStringForFormatType (from AppSupport)
                 (undefined) external _CPDatePickerYearFormat (from AppSupport)
                 (undefined) external _CTFontCopySystemUIFontExcessiveLineHeightCharacterSet (from CoreText)
                 (undefined) external _CTFontGetLanguageAwareOutsets (from CoreText)
                 (undefined) external _FCEntitlementPaidBundleViaOfferId (from NewsCore)
                 (undefined) external _FCLengthOfCloudKitID (from NewsCore)
                 (undefined) external _FCOperationPurposeStockSymbolFeed (from NewsCore)
                 (undefined) external _FCOperationPurposeTodayFeed (from NewsCore)
                 (undefined) external _FCStoreFrontID_AU (from NewsCore)
                 (undefined) external _FCStoreFrontID_CA (from NewsCore)
                 (undefined) external _FCStoreFrontID_UK (from NewsCore)
                 (undefined) external _FCStoreFrontID_US (from NewsCore)
                 (undefined) external _NSBaselineOffsetAttributeName (from AppKit)
                 (undefined) external _NSFontAttributeName (from AppKit)
                 (undefined) external _NSForegroundColorAttributeName (from AppKit)
                 (undefined) external _NSKernAttributeName (from AppKit)
                 (undefined) external _NSLinkAttributeName (from AppKit)
                 (undefined) external _NSLocaleCountryCode (from CoreFoundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleLanguageCode (from CoreFoundation)
                 (undefined) external _NSParagraphStyleAttributeName (from AppKit)
                 (undefined) external _NSTrackingAttributeName (from AppKit)
                 (undefined) external _NSUnderlineStyleAttributeName (from AppKit)
                 (undefined) external _NSUserActivityTypeBrowsingWeb (from Foundation)
