00007fff54064491 (__TEXT,__text) non-external -[OS_axr_data copy]
00007fff54064299 (__TEXT,__text) non-external -[OS_axr_data dealloc]
00007fff540642f9 (__TEXT,__text) non-external -[OS_axr_data debugDescription]
00007fff54114e62 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.1
00007fff54114eb1 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.2
00007fff54114f00 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.3
00007fff540642d4 (__TEXT,__text) non-external -[OS_axr_data description]
00007fff540644c1 (__TEXT,__text) non-external -[OS_axr_data hash]
00007fff5406449c (__TEXT,__text) non-external -[OS_axr_data isEqual:]
00007fff541006da (__TEXT,__text) non-external -[OS_axr_decoder copy]
00007fff54100699 (__TEXT,__text) non-external -[OS_axr_decoder dealloc]
00007fff54100420 (__TEXT,__text) non-external -[OS_axr_decoder debugDescription]
00007fff5410068c (__TEXT,__text) non-external -[OS_axr_decoder description]
00007fff540fad95 (__TEXT,__text) non-external -[OS_axr_encoder dealloc]
00007fff540fad80 (__TEXT,__text) non-external -[OS_axr_encoder debugDescription]
00007fff540fad88 (__TEXT,__text) non-external -[OS_axr_encoder description]
00007fff540f94c9 (__TEXT,__text) non-external -[OS_axr_part dealloc]
00007fff540f9406 (__TEXT,__text) non-external -[OS_axr_part debugDescription]
00007fff540f94bc (__TEXT,__text) non-external -[OS_axr_part description]
00007fff5413714c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007fff541384fc (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00007fff541385d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00007fff54137218 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007fff54137250 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00007fff54137f34 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00007fff54137288 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00007fff54137f4c (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00007fff541372bc (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007fff54137f68 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007fff5413857c (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007fff541372f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00007fff54137f80 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00007fff54137324 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00007fff54137f9c (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00007fff54137358 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
