00007ffa4482a470 (__DATA,__data) non-external _.compoundliteral
00007ffa4482b0a0 (__DATA,__data) non-external _.compoundliteral.19
00007ffa4482b730 (__DATA,__data) non-external _.compoundliteral.44
00007ffa4482cdb0 (__DATA,__data) non-external _.compoundliteral.76
00007ffa43427140 (__DATA_CONST,__const) non-external _ABIs
00007ffa1fac5621 (__TEXT,__text) non-external (was a private external) _AddArray
00007ffa1fade0f6 (__TEXT,__text) non-external _AddAtomFixed
00007ffa1fac56b6 (__TEXT,__text) non-external (was a private external) _AddBinding
00007ffa1fac5a3d (__TEXT,__text) non-external (was a private external) _AddConstant
00007ffa1fb357ce (__TEXT,__text) non-external _AddConstantParam
00007ffa1fac6978 (__TEXT,__text) non-external (was a private external) _AddOp
00007ffa1fb3952f (__TEXT,__text) non-external _AddOpToJumpTable
00007ffa1fac5b7a (__TEXT,__text) non-external (was a private external) _AddOpv
00007ffa1fae2a86 (__TEXT,__text) non-external (was a private external) _AddSymbol
00007ffa1fac5a28 (__TEXT,__text) non-external (was a private external) _AddTemp
00007ffa1fb3143c (__TEXT,__text) non-external _AddTempRegister
00007ffa1fb2d8de (__TEXT,__text) non-external (was a private external) _BackCopyPropagationSimple
00007ffa1fb2494d (__TEXT,__text) non-external (was a private external) _BitSetAndEquals
00007ffa1fb249ad (__TEXT,__text) non-external (was a private external) _BitSetAndNotEquals
00007ffa1fb24738 (__TEXT,__text) non-external (was a private external) _BitSetClearEquals
00007ffa1fb245e6 (__TEXT,__text) non-external (was a private external) _BitSetClone
00007ffa1fb24617 (__TEXT,__text) non-external (was a private external) _BitSetCloneWithAllocator
00007ffa1fb24639 (__TEXT,__text) non-external (was a private external) _BitSetCopyEquals
00007ffa1fb24a6f (__TEXT,__text) non-external (was a private external) _BitSetEqualsTest
00007ffa1fb2481b (__TEXT,__text) non-external (was a private external) _BitSetFirstSetBit
00007ffa1fb24699 (__TEXT,__text) non-external (was a private external) _BitSetFree
00007ffa1fb246c7 (__TEXT,__text) non-external (was a private external) _BitSetGetEquals
00007ffa1fb246be (__TEXT,__text) non-external (was a private external) _BitSetGetSizeInBits
00007ffa1fb2487e (__TEXT,__text) non-external (was a private external) _BitSetLastSetBit
00007ffa1fb243b0 (__TEXT,__text) non-external (was a private external) _BitSetNew
00007ffa1fb24436 (__TEXT,__text) non-external (was a private external) _BitSetNewWithAllocator
00007ffa1fb2482a (__TEXT,__text) non-external (was a private external) _BitSetNextSetBit
00007ffa1fb248da (__TEXT,__text) non-external (was a private external) _BitSetOr
00007ffa1fb24a0f (__TEXT,__text) non-external (was a private external) _BitSetOrEquals
00007ffa1fb2488b (__TEXT,__text) non-external (was a private external) _BitSetPreviousSetBit
00007ffa1fb246fc (__TEXT,__text) non-external (was a private external) _BitSetSetEquals
00007ffa1fb24774 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEquals
00007ffa1fb24515 (__TEXT,__text) non-external (was a private external) _BitSetSetRangeEqualsInternal
00007ffa1fb247b2 (__TEXT,__text) non-external (was a private external) _BitSetSetSizeEquals
00007ffa1fb2f852 (__TEXT,__text) non-external (was a private external) _BlockAdd
00007ffa1fb301cf (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00007ffa1fb2f928 (__TEXT,__text) non-external (was a private external) _BlockFree
00007ffa1fb2fc1f (__TEXT,__text) non-external (was a private external) _Blockify
00007ffa1fb3024e (__TEXT,__text) non-external (was a private external) _BlocksFree
00007ffa1fb2cba0 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00007ffa1fb2ce18 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00007ffa1fb2cd1f (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00007ffa1fadef5f (__TEXT,__text) non-external _CPPelse
00007ffa1fadfa5a (__TEXT,__text) non-external _CPPerror
00007ffa1fadfc29 (__TEXT,__text) non-external _CPPextension
00007ffa1fadf1b7 (__TEXT,__text) non-external _CPPif
00007ffa1fadf277 (__TEXT,__text) non-external _CPPifdef
00007ffa1fadf3ac (__TEXT,__text) non-external _CPPinclude
00007ffa1fadf60b (__TEXT,__text) non-external _CPPline
00007ffa1fadf7bc (__TEXT,__text) non-external _CPPpragma
00007ffa1fadf9c5 (__TEXT,__text) non-external _CPPundef
00007ffa1fadfb2b (__TEXT,__text) non-external _CPPversion
00007ffa1fb39669 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffa1fb37c9b (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffa1fb39628 (__TEXT,__text) non-external _ClearJumpTable
00007ffa1fb37c41 (__TEXT,__text) non-external _ClearRegisterState
00007ffa1fb35953 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffa1fb2d728 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffa1fb35c14 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffa1fb315cc (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffa1fac6d80 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffa1fb33120 (__TEXT,__text) non-external _EmulateOp
00007ffa1fb37c01 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffa1fb37bc0 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffa1fade230 (__TEXT,__text) non-external _FindHashLoc
00007ffa1fb39925 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffa1fac55b0 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffa1fb304ff (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffa1fb30377 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffa1fade1c7 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffa1fade572 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffa1fae0cd7 (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffa1f9fb68c (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffa1fa0090a (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffa43427bc0 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffa1fb5b0e0 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffa4482a3d8 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffa1fb5a620 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffa43429c00 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffa1fb5b0f0 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffa1fb5a5d0 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffa1fadde54 (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffa1fb32658 (__TEXT,__text) non-external _GetOpRegs
00007ffa1fb30150 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa1fb35bba (__TEXT,__text) non-external _GetRegChunk
00007ffa1fb2e8f4 (__TEXT,__text) non-external _GetRegister
00007ffa1fb37b2a (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa1fb314c1 (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa1faddea6 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa1fb398a8 (__TEXT,__text) non-external _GetStreamArray
00007ffa1fade1b3 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa1fade019 (__TEXT,__text) non-external _GrowAtomTable
00007ffa4482a390 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa1fb2c607 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa1fb2c5a7 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa1fb2c718 (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa1fb2c83e (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa1fb2c82d (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa1fb2c4dc (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa1fb2c79d (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa1fb2c99a (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa1fb2c904 (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa1fb2cb0b (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa1fb2c8b6 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa1faddec0 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa1fade398 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa1fac55f1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa1fae0c8c (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa1fb2eeb8 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa1fb2f824 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa1fb2ef7d (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa1fb32753 (__TEXT,__text) non-external _IsBadUsage
00007ffa1fac6f09 (__TEXT,__text) non-external (was a private external) _Load
00007ffa1faddc20 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa1faddcd2 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa1fae2b6e (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa1fae2bd9 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa1fadfd7a (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa1fae33d4 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa1fae29d1 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa1fae2c24 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa434268e0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa43426580 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa43426b00 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa43426c40 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa43426740 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa43426840 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa43426d40 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa434268b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa1f9f6da2 (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa1f9f6b6a (__TEXT,__text) external _PPParserAttachStream
00007ffa1f9f69ec (__TEXT,__text) external _PPParserAttachString
00007ffa1f9ffa8d (__TEXT,__text) external _PPParserBuildErrorString
00007ffa1f9f68f8 (__TEXT,__text) external _PPParserCreate
00007ffa1f9f741a (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa1f9fe484 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa1f9f6abc (__TEXT,__text) external _PPParserFree
00007ffa1f9f7152 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa1fa008e9 (__TEXT,__text) external _PPParserGetErrorString
00007ffa1fa00900 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa1f9f7459 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa1fa0089e (__TEXT,__text) external _PPParserGetLimits
00007ffa1fa008dc (__TEXT,__text) external _PPParserGetOptions
00007ffa1f9f7206 (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa1f9f74f7 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa1fa008f6 (__TEXT,__text) external _PPParserGetStream
00007ffa1f9f5a8c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa1f9f5abb (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa1f9f5b72 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa1f9f5afd (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa1f9ffb93 (__TEXT,__text) non-external _PPParserInherit
00007ffa1f9f6973 (__TEXT,__text) external _PPParserInit
00007ffa1fa009e6 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa1f9f6b33 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa1f9f56d0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa1f9f56f4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa1f9f5865 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa1f9f5948 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa1f9f57ef (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa1f9f57bb (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa1f9f58c3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffa1fa0098b (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa1f9fe87a (__TEXT,__text) external _PPParserParse
00007ffa1f9f8228 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa1f9fc43e (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa1f9fd723 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa1f9fe2c2 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa1f9f7cd5 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa1f9faab6 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa1f9fb6e1 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa1f9f7bac (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa1f9fc5af (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa1f9f7d8c (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa1f9fc908 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa1f9fbf70 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa1fa00810 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
