0000000182761150 (__DATA,__data) non-external _C
000000018276da80 (__DATA,__bss) non-external _EMSG
000000018276da81 (__DATA,__bss) non-external _EMSG
0000000182762df0 (__DATA,__bss) non-external _NXArgc_pointer
0000000182762de8 (__DATA,__bss) non-external _NXArgv_pointer
00000001805f7758 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180633bb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805f776c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001805f7780 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018060e574 (__TEXT,__text) non-external (was a private external) __BIG5_init
000000018060e5c4 (__TEXT,__text) non-external __BIG5_mbrtowc
000000018060e6e8 (__TEXT,__text) non-external __BIG5_mbsinit
000000018060e694 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001807432a0 (__DATA_CONST,__const) non-external __C_messages_locale
00000001807432c0 (__DATA_CONST,__const) non-external __C_monetary_locale
0000000180743368 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001807435b8 (__DATA_CONST,__const) non-external __C_time_locale
0000000182761908 (__DATA,__data) external __CurrentRuneLocale
0000000182761fe0 (__DATA,__constrw) external __DefaultRuneLocale
0000000182776a80 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
00000001806106a0 (__TEXT,__text) non-external __EUC_free_extra
0000000180610150 (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180610310 (__TEXT,__text) non-external __EUC_mbrtowc
0000000180610684 (__TEXT,__text) non-external __EUC_mbsinit
00000001806104ac (__TEXT,__text) non-external __EUC_wcrtomb
000000018063440c (__TEXT,__text) external __Exit
000000018061078c (__TEXT,__text) non-external (was a private external) __GB18030_init
00000001806107dc (__TEXT,__text) non-external __GB18030_mbrtowc
0000000180610a5c (__TEXT,__text) non-external __GB18030_mbsinit
0000000180610950 (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180610a78 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180610ac8 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180610c40 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180610bec (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180610c5c (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180610cac (__TEXT,__text) non-external __GBK_mbrtowc
0000000180610dd0 (__TEXT,__text) non-external __GBK_mbsinit
0000000180610d7c (__TEXT,__text) non-external __GBK_wcrtomb
0000000180612650 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00000001806126a0 (__TEXT,__text) non-external __MSKanji_mbrtowc
00000001806127e8 (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180612780 (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001805f6da0 (__TEXT,__text) external __NSGetArgc
00000001805f6d94 (__TEXT,__text) external __NSGetArgv
00000001805f6dac (__TEXT,__text) external __NSGetEnviron
