00000002300a3da8 (__DATA,__common) external _AfterColour
00000002300a55e8 (__DATA,__common) external _ApplyExtTspWithoutProfile
00000002300a6988 (__DATA,__common) external _AsmMacroMaxNestingDepth
000000023009eef0 (__DATA,__common) external _BBSectionsDetectSourceDrift
00000002300a3cc0 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
000000023009faa0 (__DATA,__common) external _CheapRematWeight
00000002300a3e90 (__DATA,__common) external _CommonColour
000000023009f848 (__DATA,__common) external _CopyWeight
00000002300a36a8 (__DATA,__common) external _DisableBitcodeVersionUpgrade
00000002300a5528 (__DATA,__common) external _EnableExtTspBlockPlacement
00000002300a2328 (__DATA,__common) external _EnableLTOInternalization
00000002300a6808 (__DATA,__common) external _EnableVPlanNativePath
00000002300a6748 (__DATA,__common) external _EnableVPlanPredication
000000023009f780 (__DATA,__common) external _EvictInterferenceCutoff
000000023009fb68 (__DATA,__common) external _ExpensiveRematWeight
000000022f97f110 (__DATA_DIRTY,__common) external _FSEC
00000002300a4d60 (__DATA,__common) external _ForceFusion
000000023009e890 (__DATA,__common) external _ForceSummaryEdgesCold
00000002300a4be0 (__DATA,__common) external _FuseMatrix
00000002300a4680 (__DATA,__common) external _GenerateMergedBaseProfiles
000000023009e018 (__DATA,__common) external _InlinerFunctionImportStats
00000001fcea1654 (__TEXT,__text) external _LLVMABIAlignmentOfType
00000001fcea15cc (__TEXT,__text) external _LLVMABISizeOfType
00000001fc5216f4 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00000001fc5216fc (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00000001fcfea0ac (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00000001fcc2ea64 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00000001fbcc5de4 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00000001fc3340c0 (__TEXT,__text) external _LLVMAddAlias
00000001fc33411c (__TEXT,__text) external _LLVMAddAlias2
00000001fcc2eb9c (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00000001fc6cb9e0 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00000001fcea47a0 (__TEXT,__text) external _LLVMAddAnalysisPasses
00000001fc6cb76c (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00000001fc334748 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00000001fcc2fb80 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
