00007ffe064ae320 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffe064ae69d (__TEXT,__text) external _AAAFSCSetMetadata
00007ffe064ad748 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffe064ade5e (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffe064adf66 (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffe06435fcf (__TEXT,__text) external _AAArchiveStreamCancel
00007ffe06435f98 (__TEXT,__text) external _AAArchiveStreamClose
00007ffe0644bcdb (__TEXT,__text) external _AAArchiveStreamProcess
00007ffe06435f4a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffe06435f30 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffe06435f7e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffe06435f64 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffe06437661 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffe0643b188 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffe0643b0cb (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffe0643b00c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffe0643b0ba (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffe064a2940 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffe0643b224 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffe0643b193 (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffe0643b87c (__TEXT,__text) external _AAAssetExtractorCreate
00007ffe0643be4b (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffe0643c8b5 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffe0643c840 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffe0643c35c (__TEXT,__text) external _AAAssetExtractorWrite
00007ffe064b5d49 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffe064b5d5e (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffe064b5767 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffe064b5bf6 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffe0646c5ae (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffe0644cbcf (__TEXT,__text) external _AAByteRangeAdd
00007ffe0644cae7 (__TEXT,__text) external _AAByteRangeClone
00007ffe0644ca4b (__TEXT,__text) external _AAByteRangeCreate
00007ffe0644cac1 (__TEXT,__text) external _AAByteRangeDestroy
00007ffe0644cd9b (__TEXT,__text) external _AAByteRangeFirst
00007ffe0644cea9 (__TEXT,__text) external _AAByteRangeNext
00007ffe0644cd31 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffe0644ccbf (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffe0644cc4b (__TEXT,__text) external _AAByteRangeSub
00007ffe064ac839 (__TEXT,__text) external _AAByteStreamCancel
00007ffe064ac84e (__TEXT,__text) external _AAByteStreamClose
00007ffe064ac885 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffe064ac8ce (__TEXT,__text) external _AAByteStreamFlush
00007ffe064ac801 (__TEXT,__text) external _AAByteStreamPRead
00007ffe064ac902 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffe064ac7c9 (__TEXT,__text) external _AAByteStreamPWrite
00007ffe064853ec (__TEXT,__text) external _AAByteStreamProcess
00007ffe064ac7e5 (__TEXT,__text) external _AAByteStreamRead
00007ffe064ac81d (__TEXT,__text) external _AAByteStreamSeek
00007ffe064ac8e8 (__TEXT,__text) external _AAByteStreamTruncate
00007ffe064ac718 (__TEXT,__text) external _AAByteStreamWrite
00007ffe0646ab50 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffe0646a282 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffe06482596 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffe064b10d4 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffe064b1a21 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffe06473f10 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffe06435fe4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffe0643605d (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffe06436053 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffe0643604a (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffe06436085 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffe0643607b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffe06436071 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffe06436067 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffe064ad6a2 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffe064ad73c (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffe064ad700 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffe064ad6f7 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffe064ad714 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffe064ad728 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffe064ad70a (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffe064ad732 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffe064ad71e (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffe064aaf3c (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffe064ad0be (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffe064b4d0c (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffe064a9288 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffe064a1480 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffe064a2210 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffe064a21ff (__TEXT,__text) external _AAEntryACLBlobClear
00007ffe064a20ac (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffe064a216c (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffe064a21b3 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffe064a2112 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffe064a2927 (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffe064a291d (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffe064a235a (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffe064a2352 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffe064a2859 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffe064a2508 (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffe0649e467 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffe0649ec7f (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffe0649ec6e (__TEXT,__text) external _AAEntryXATBlobClear
00007ffe0649eb1b (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffe0649ebdb (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffe0649ec22 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffe0649eb81 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffe0649f2ae (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffe0649f2a4 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffe0649edc9 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffe0649edc1 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffe0649f1e0 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffe0649eefc (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffe064a8fde (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffe064a8e9c (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffe064a8f3c (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffe064a8f83 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffe064a8f02 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffe064a927e (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffe064a9275 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffe0649675f (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffe06495770 (__TEXT,__text) external _AAExtractArchiveOutputStreamSetQuarantine
00007ffe06492fb6 (__TEXT,__text) external _AAFieldKeySetClear
00007ffe06492e97 (__TEXT,__text) external _AAFieldKeySetClone
00007ffe06492fc4 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffe06492b10 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffe06492b76 (__TEXT,__text) external _AAFieldKeySetCreateWithString
