00007ff8400b8e50 (__DATA,__data) non-external _C
00007ff8400c5a98 (__DATA,__bss) non-external _EMSG
00007ff8400c5a99 (__DATA,__bss) non-external _EMSG
00007ff8400badb8 (__DATA,__bss) non-external _NXArgc_pointer
00007ff8400badb0 (__DATA,__bss) non-external _NXArgv_pointer
00007ff800ca4c78 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800ca4caf (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800ca4dad (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800ca4d70 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff8400810c0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff8400810e0 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840081188 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840081390 (__DATA_CONST,__const) non-external __C_time_locale
00007ff8400b96e0 (__DATA,__data) external __CurrentRuneLocale
00007ff8400b9f28 (__DATA,__constrw) external __DefaultRuneLocale
00007ff8400babb0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff800ca7547 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff800ca75ad (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff800ca75f3 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff800ca75d1 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff800ca75fd (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff800ca76e2 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff800ca7748 (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff800ca779d (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff800ca7772 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff800ca77a7 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff800ca7622 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
00007ff800ca7688 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff800ca76ce (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff800ca76ac (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff800ca76d8 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff800ca7817 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff800ca787d (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff800ca78cf (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00007ff800ca78a7 (__TEXT,__text) non-external __EUC_TW_wcrtomb
00007ff800ca78d9 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00007ff800ca77b1 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800ca78e3 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00007ff800ca7607 (__TEXT,__text) non-external __EUC_mbsinit
00007ff800ca7a15 (__TEXT,__text) non-external __EUC_wcrtomb_impl
00007ff800ccf87a (__TEXT,__text) external __Exit
00007ff800ca7bda (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff800ca7c11 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff800ca7e69 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff800ca7d60 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800ca7e83 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800ca7eba (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff800ca7ff9 (__TEXT,__text) non-external __GB2312_mbsinit
