00000001800e8c8c (__TEXT,__text) external _NSAddImage
000000018010dd44 (__TEXT,__text) non-external _NSAddImage.cold.1
00000001800e8b4c (__TEXT,__text) external _NSAddLibrary
000000018010dd44 (__TEXT,__text) non-external _NSAddLibrary.cold.1
00000001800e8bec (__TEXT,__text) external _NSAddLibraryWithSearching
000000018010dd44 (__TEXT,__text) non-external _NSAddLibraryWithSearching.cold.1
00000001800e1ef8 (__TEXT,__text) external _NSAddressOfSymbol
000000018010dd44 (__TEXT,__text) non-external _NSAddressOfSymbol.cold.1
00000001800e7f28 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
000000018010dd44 (__TEXT,__text) non-external _NSCreateObjectFileImageFromFile.cold.1
00000001800e1c70 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
000000018010dd44 (__TEXT,__text) non-external _NSCreateObjectFileImageFromMemory.cold.1
00000001800e7fc4 (__TEXT,__text) external _NSDestroyObjectFileImage
000000018010dd44 (__TEXT,__text) non-external _NSDestroyObjectFileImage.cold.1
00000001800e1db0 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
000000018010dd44 (__TEXT,__text) non-external _NSGetSectionDataInObjectFileImage.cold.1
00000001800e8ab4 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00000001800e82bc (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
000000018010dd44 (__TEXT,__text) non-external _NSIsSymbolDefinedInObjectFileImage.cold.1
00000001800e8524 (__TEXT,__text) external _NSIsSymbolNameDefined
000000018010dd44 (__TEXT,__text) non-external _NSIsSymbolNameDefined.cold.1
00000001800e8658 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
000000018010dd44 (__TEXT,__text) non-external _NSIsSymbolNameDefinedInImage.cold.1
00000001800e85bc (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
000000018010dd44 (__TEXT,__text) non-external _NSIsSymbolNameDefinedWithHint.cold.1
00000001800e83f0 (__TEXT,__text) external _NSLibraryNameForModule
000000018010dd44 (__TEXT,__text) non-external _NSLibraryNameForModule.cold.1
00000001800e8a08 (__TEXT,__text) external _NSLinkEditError
000000018010dd44 (__TEXT,__text) non-external _NSLinkEditError.cold.1
00000001800e1d10 (__TEXT,__text) external _NSLinkModule
000000018010dd44 (__TEXT,__text) non-external _NSLinkModule.cold.1
00000001800e86f4 (__TEXT,__text) external _NSLookupAndBindSymbol
000000018010dd44 (__TEXT,__text) non-external _NSLookupAndBindSymbol.cold.1
00000001800e878c (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
000000018010dd44 (__TEXT,__text) non-external _NSLookupAndBindSymbolWithHint.cold.1
00000001800e8828 (__TEXT,__text) external _NSLookupSymbolInImage
000000018010dd44 (__TEXT,__text) non-external _NSLookupSymbolInImage.cold.1
00000001800e1e54 (__TEXT,__text) external _NSLookupSymbolInModule
000000018010dd44 (__TEXT,__text) non-external _NSLookupSymbolInModule.cold.1
00000001800e8968 (__TEXT,__text) external _NSModuleForSymbol
000000018010dd44 (__TEXT,__text) non-external _NSModuleForSymbol.cold.1
00000001800e8358 (__TEXT,__text) external _NSNameOfModule
000000018010dd44 (__TEXT,__text) non-external _NSNameOfModule.cold.1
00000001800e88d0 (__TEXT,__text) external _NSNameOfSymbol
00000001800e805c (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00000001800e80f4 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00000001800e818c (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00000001800e8224 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00000001800e8488 (__TEXT,__text) external _NSUnLinkModule
000000018010dd44 (__TEXT,__text) non-external _NSUnLinkModule.cold.1
00000001800e09fc (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
000000018010dd44 (__TEXT,__text) non-external _NSVersionOfLinkTimeLibrary.cold.1
00000001800e0cd8 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
000000018010dd44 (__TEXT,__text) non-external _NSVersionOfRunTimeLibrary.cold.1
00000001ecf3c330 (__DATA_DIRTY,__common) external _NXArgc
00000001ecf3c338 (__DATA_DIRTY,__common) external _NXArgv
00000001800e4158 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001800e4338 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001800e73fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001800eb94c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001800ec5d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001800ee118 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001800fc0c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001800e416c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001800ec608 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001800fbbec (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001800fbd78 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001800fbda4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001800fbdd0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
00000001800fbdfc (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
00000001800fbe28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001800fbc18 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001800fbc44 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001800fbc70 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001800fbc9c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001800fbcc8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001800fbcf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001800fbd20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001800fbd4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00000001800e0308 (__TEXT,__text) external __NSGetExecutablePath
000000018010dd44 (__TEXT,__text) non-external __NSGetExecutablePath.cold.1
00000001800e4638 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00000001800fd3e8 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN6mach_o8PlatformERKNS_19GradedArchitecturesES3_bU13block_pointerFvPK11mach_headerymE
00000001800e2188 (__TEXT,__text) non-external (was a private external) __Z32dyldFrameworkIntrospectionVtablev
000000018010db90 (__TEXT,__text) non-external __Z32dyldFrameworkIntrospectionVtablev.cold.1
00000001800eb964 (__TEXT,__text) non-external (was a private external) __Z6crc32cNSt3__14spanISt4byteLm18446744073709551615EEE
000000018010ec38 (__TEXT,__const) non-external __ZL14sCRC32cSWTable
