0000000227a30008 (__TEXT,__text) non-external _DiToMD5
0000000227a30338 (__TEXT,__text) non-external _DiToSHA1
0000000227a13cf0 (__TEXT,__text) external _DriverExecutableMain
000000029a557280 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
0000000227a13554 (__TEXT,__text) external _IOCallOnce
000000029a557540 (__AUTH_CONST,__const) external _IOCommandPool_Class
000000029a557448 (__AUTH_CONST,__const) external _IOCommand_Class
000000029a557638 (__AUTH_CONST,__const) external _IODMACommand_Class
000000029a5577e8 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
0000000227a0ff74 (__TEXT,__text) external _IODelay
000000029a557998 (__AUTH_CONST,__const) external _IODispatchQueue_Class
000000029a557b48 (__AUTH_CONST,__const) external _IODispatchSource_Class
0000000227a14358 (__TEXT,__text) external _IODriverKitTest
0000000227a42e0c (__TEXT,__text) non-external _IODriverKitTest.cold.1
0000000227a42e2c (__TEXT,__text) non-external _IODriverKitTest.cold.2
0000000227a42e4c (__TEXT,__text) non-external _IODriverKitTest.cold.3
0000000227a42e6c (__TEXT,__text) non-external _IODriverKitTest.cold.4
0000000227a42e98 (__TEXT,__text) non-external _IODriverKitTest.cold.5
0000000227a42ec4 (__TEXT,__text) non-external _IODriverKitTest.cold.6
0000000227a42ef8 (__TEXT,__text) non-external _IODriverKitTest.cold.7
0000000227a42f24 (__TEXT,__text) non-external _IODriverKitTest.cold.8
000000029a557cf8 (__AUTH_CONST,__const) external _IOEventLink_Class
000000029a557ea8 (__AUTH_CONST,__const) external _IOExtensiblePaniclog_Class
0000000227a0ff48 (__TEXT,__text) external _IOFree
0000000227a0ff64 (__TEXT,__text) external _IOFreeData
0000000227a14328 (__TEXT,__text) external _IOGetExecutableSDKVersion
000000029a558778 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
000000029a558088 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
0000000227a420f0 (__TEXT,__text) external _IOKernelPanic
0000000227a0ff80 (__TEXT,__text) non-external (was a private external) _IOLibInit
0000000227a13184 (__TEXT,__text) external _IOLockAlloc
0000000227a131d4 (__TEXT,__text) external _IOLockAssert
0000000227a42768 (__TEXT,__text) non-external _IOLockAssert.cold.1
0000000227a131b8 (__TEXT,__text) external _IOLockFree
0000000227a131c8 (__TEXT,__text) external _IOLockLock
0000000227a131cc (__TEXT,__text) external _IOLockTryLock
0000000227a131d0 (__TEXT,__text) external _IOLockUnlock
0000000227a0fdbc (__TEXT,__text) external _IOLog
0000000227a0fc88 (__TEXT,__text) external _IOLogBuffer
0000000227a0fde8 (__TEXT,__text) external _IOLogv
0000000227a41f24 (__TEXT,__text) non-external _IOLogv.cold.1
0000000227a0ff04 (__TEXT,__text) external _IOMalloc
0000000227a0ff4c (__TEXT,__text) external _IOMallocData
0000000227a0ff20 (__TEXT,__text) external _IOMallocTyped
0000000227a0ff24 (__TEXT,__text) external _IOMallocZero
0000000227a0ff54 (__TEXT,__text) external _IOMallocZeroData
0000000227a0ff38 (__TEXT,__text) external _IOMallocZeroTyped
000000029a558238 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
000000029a5583e8 (__AUTH_CONST,__const) external _IOMemoryMap_Class
0000000227a10020 (__TEXT,__text) external _IOParseBootArgNumber
0000000227a104a0 (__TEXT,__text) external _IOParseBootArgString
0000000227a121cc (__TEXT,__text) external _IORPCMessageFromMach
0000000227a42478 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
