00007fff6a5edeb0 (__TEXT,__text) external _ARMCompilationCallback
00007fff6a5edec0 (__TEXT,__text) external _ARMCompilationCallbackC
00007fff6ad3b2b0 (__TEXT,__text) external _ConvertUTF16toUTF32
00007fff6ad3b390 (__TEXT,__text) external _ConvertUTF16toUTF8
00007fff6ad3b1c0 (__TEXT,__text) external _ConvertUTF32toUTF16
00007fff6ad3b550 (__TEXT,__text) external _ConvertUTF32toUTF8
00007fff6ad3b8a0 (__TEXT,__text) external _ConvertUTF8toUTF16
00007fff6ad3bca0 (__TEXT,__text) external _ConvertUTF8toUTF32
00007fff6ad3bac0 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007fff6ad3bab0 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007fff85ba8718 (__DATA,__common) external _EnableARMEHABI
00007fff85ba8458 (__DATA,__common) external _EnableARMLongCalls
00007fff85ba81e0 (__DATA,__common) external _ForceStackAlign
00007fff6ab2c0a0 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007fff6ab2c050 (__TEXT,__text) external _LLVMABISizeOfType
00007fff6a970580 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007fff6ab62560 (__TEXT,__text) external _LLVMAddAlias
00007fff6a2e0010 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007fff6ab2f8b0 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007fff6a2dff20 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007fff6ab62c40 (__TEXT,__text) external _LLVMAddAttribute
00007fff6a3030d0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007fff6a970b70 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007fff6a9705b0 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007fff6ab64110 (__TEXT,__text) external _LLVMAddCase
00007fff6ab64130 (__TEXT,__text) external _LLVMAddClause
00007fff6a2dff50 (__TEXT,__text) external _LLVMAddConstantMergePass
00007fff6a970a50 (__TEXT,__text) external _LLVMAddConstantPropagationPass
