                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80b4f201a (__TEXT,__text) external ___absvdi2
00007ff80b4f204d (__TEXT,__text) external ___absvsi2
00007ff80b4f2076 (__TEXT,__text) external ___absvti2
00007ff80b4f20b6 (__TEXT,__text) external ___addvdi3
00007ff80b4f20fc (__TEXT,__text) external ___addvsi3
00007ff80b4f213e (__TEXT,__text) external ___addvti3
00007ff80b4f219b (__TEXT,__text) external ___ashldi3
00007ff80b4f21c7 (__TEXT,__text) external ___ashlti3
00007ff80b4f21ef (__TEXT,__text) external ___ashrdi3
00007ff80b4f2220 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80b4f24c8 (__TEXT,__text) external ___atomic_compare_exchange
00007ff80b4f2a20 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80b4f2a6c (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80b4f2ab8 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80b4f2b04 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80b4f270c (__TEXT,__text) external ___atomic_exchange
00007ff80b4f2952 (__TEXT,__text) external ___atomic_exchange_1
00007ff80b4f2988 (__TEXT,__text) external ___atomic_exchange_2
00007ff80b4f29bc (__TEXT,__text) external ___atomic_exchange_4
00007ff80b4f29ec (__TEXT,__text) external ___atomic_exchange_8
00007ff80b4f2b50 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80b4f2b88 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80b4f2bbc (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80b4f2bf0 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80b4f2d00 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80b4f2d78 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80b4f2df8 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80b4f2e68 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80b4f2eec (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80b4f2f64 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80b4f2fe4 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80b4f3054 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80b4f2c24 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80b4f2c5c (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80b4f2c94 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80b4f2cc8 (__TEXT,__text) external ___atomic_fetch_sub_8
