00007ff906c510ab (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff906c510c2 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff906c4439f (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff906c4452f (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff906c51334 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff906c53db4 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff906c53e3b (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff906c5164c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff906c44c1b (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff906c4abbd (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff906c4ac14 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff906c4b20b (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff906c533e4 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff906c53418 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff906c4ab9c (__TEXT,__text) non-external +[MIS isAvailable]
00007ff906c4b115 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff906c5337c (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff906c533b0 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff906c4b063 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff906c53348 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff906c4ae18 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff906c5321c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff906c53276 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff906c532aa (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff906c532de (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff906c4b42e (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff906c5356c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff906c535ec (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff906c4b30a (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff906c53482 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff906c53502 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff906c504f7 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff906c53ab2 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff906c53b0c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff906c4600b (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff906c46133 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff906c446ed (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff906c3f8f5 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff906c51a3d (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff906c3f59e (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff906c4a74c (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff906c467d7 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff906c3dd72 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff906c45ba3 (__TEXT,__text) non-external +[SPLog exec]
00007ff906c45e11 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff906c45aeb (__TEXT,__text) non-external +[SPLog generic]
00007ff906c45b47 (__TEXT,__text) non-external +[SPLog kext]
00007ff906c45bff (__TEXT,__text) non-external +[SPLog measurements]
00007ff906c45e05 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff906c45c5b (__TEXT,__text) non-external +[SPLog signposts]
00007ff906c45cb7 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff906c4d9b5 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff906c4d201 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff906c4c366 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff906c5377a (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff906c4c1a2 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff906c4c184 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff906c4c7e4 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff906c4c323 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff906c4c1c0 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff906c4fcf6 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff906c3efe0 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff906c3ef06 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff906c3eda1 (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff906c3ebe6 (__TEXT,__text) non-external -[AKELData init]
00007ff906c3efa7 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff906c3eecd (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff906c3e98c (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff906c3eeb7 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff906c51304 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff906c5127c (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff906c5132a (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff906c51316 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff906c512ce (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff906c51320 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff906c44356 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
