00000001000fe394 (__TEXT,__text) external _ConvertUTF16toUTF8
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000100011af4 (__TEXT,__text) non-external __GLOBAL__sub_I_BitcodeWriter.cpp
00000001000fcefc (__TEXT,__text) non-external __GLOBAL__sub_I_CommandLine.cpp
000000010004c4dc (__TEXT,__text) non-external __GLOBAL__sub_I_DependenceAnalysis.cpp
0000000100084034 (__TEXT,__text) non-external __GLOBAL__sub_I_Dominators.cpp
00000001000cfb30 (__TEXT,__text) non-external __GLOBAL__sub_I_LegacyPassManager.cpp
000000010004c58c (__TEXT,__text) non-external __GLOBAL__sub_I_LoopInfo.cpp
0000000100110fac (__TEXT,__text) non-external __GLOBAL__sub_I_Process.cpp
000000010004c638 (__TEXT,__text) non-external __GLOBAL__sub_I_ScalarEvolution.cpp
0000000100111f9c (__TEXT,__text) non-external __GLOBAL__sub_I_Signals.cpp
000000010004b758 (__TEXT,__text) non-external __GLOBAL__sub_I_SimplifyCFG.cpp
000000010010bfb0 (__TEXT,__text) non-external __GLOBAL__sub_I_Timer.cpp
00000001000e821c (__TEXT,__text) non-external __GLOBAL__sub_I_Verifier.cpp
0000000100004144 (__TEXT,__text) non-external __GLOBAL__sub_I_llvm_link.cpp
0000000100150060 (__DATA,__bss) non-external __MergedGlobals
0000000100150368 (__DATA,__bss) non-external __MergedGlobals
0000000100150378 (__DATA,__bss) non-external __MergedGlobals
0000000100150578 (__DATA,__bss) non-external __MergedGlobals
00000001001505e8 (__DATA,__bss) non-external __MergedGlobals
00000001001506b0 (__DATA,__bss) non-external __MergedGlobals
0000000100150720 (__DATA,__bss) non-external __MergedGlobals
0000000100150760 (__DATA,__bss) non-external __MergedGlobals
0000000100150eb8 (__DATA,__bss) non-external __MergedGlobals
0000000100151220 (__DATA,__bss) non-external __MergedGlobals
0000000100151238 (__DATA,__bss) non-external __MergedGlobals
0000000100151288 (__DATA,__bss) non-external __MergedGlobals
00000001001513d0 (__DATA,__bss) non-external __MergedGlobals
0000000100151490 (__DATA,__bss) non-external __MergedGlobals
0000000100151cb8 (__DATA,__bss) non-external __MergedGlobals
0000000100151eb0 (__DATA,__bss) non-external __MergedGlobals
0000000100151ed0 (__DATA,__bss) non-external __MergedGlobals
0000000100151260 (__DATA,__bss) non-external __ZGVZN4llvm22EnablePrettyStackTraceEvE17HandlerRegistered
0000000100150008 (__DATA,__data) non-external (was a private external) __ZGVZN4llvm7hashing6detail18get_execution_seedEvE4seed
00000001000662e0 (__TEXT,__text) non-external __ZL10IdxComparePN4llvm8ConstantES1_PNS_4TypeE
0000000100100dc8 (__TEXT,__text) non-external __ZL10PrintStackPKN4llvm21PrettyStackTraceEntryERNS_11raw_ostreamE
0000000100151230 (__DATA,__bss) non-external __ZL10StaticList
000000010013fd44 (__TEXT,__const) non-external __ZL10colorcodes
0000000100150510 (__DATA,__bss) non-external __ZL11Delinearize
00000001000625e8 (__TEXT,__text) non-external __ZL11FoldBitCastPN4llvm8ConstantEPNS_4TypeE
0000000100150010 (__DATA,__data) non-external __ZL11ProgramName
0000000100010214 (__TEXT,__text) non-external __ZL11WriteMDNodePKN4llvm6MDNodeERKNS_15ValueEnumeratorERNS_15BitstreamWriterERNS_15SmallVectorImplIyEE
0000000100004c78 (__TEXT,__text) non-external __ZL11WriteModulePKN4llvm6ModuleERNS_15BitstreamWriterE
000000010010d3d0 (__TEXT,__text) non-external __ZL11parseVendorN4llvm9StringRefE
0000000100151268 (__DATA,__bss) non-external __ZL12ActiveTimers
0000000100100c00 (__TEXT,__text) non-external __ZL12CrashHandlerPv
0000000100010478 (__TEXT,__text) non-external __ZL12WriteUseListPKN4llvm5ValueERKNS_15ValueEnumeratorERNS_15BitstreamWriterE
00000001000f8ec4 (__TEXT,__text) non-external __ZL12printHelpStrN4llvm9StringRefEmm
00000001000bf29c (__TEXT,__text) non-external __ZL13DecodeIITTypeRjN4llvm8ArrayRefIhEERNS0_15SmallVectorImplINS0_9Intrinsic13IITDescriptorEEE
00000001000f8514 (__TEXT,__text) non-external __ZL13GetOptionInfoRN4llvm15SmallVectorImplIPNS_2cl6OptionEEES5_RNS_9StringMapIS3_NS_15MallocAllocatorEEE
0000000100150748 (__DATA,__bss) non-external __ZL13GlobalContext
000000010004d358 (__TEXT,__text) non-external __ZL13PrintLLVMNameRN4llvm11raw_ostreamENS_9StringRefE10PrefixType
00000001000f8c88 (__TEXT,__text) non-external __ZL13ProvideOptionPN4llvm2cl6OptionENS_9StringRefES3_iPKPKcRi
000000010003d6a8 (__TEXT,__text) non-external __ZL13ReadWideAPIntN4llvm8ArrayRefIyEEj
0000000100111b6c (__TEXT,__text) non-external __ZL13SignalHandleri
0000000100021ddc (__TEXT,__text) non-external __ZL13UnEscapeLexedRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
0000000100009094 (__TEXT,__text) non-external __ZL13WriteFunctionRKN4llvm8FunctionERNS_15ValueEnumeratorERNS_15BitstreamWriterE
000000010002a1e8 (__TEXT,__text) non-external __ZL13getTypeStringPN4llvm4TypeE
0000000100151480 (__DATA,__bss) non-external __ZL14DummyTimeValue
00000001000fc900 (__TEXT,__text) non-external __ZL14OptNameComparePKvS0_
000000010000ee08 (__TEXT,__text) non-external __ZL14WriteConstantsjjRKN4llvm15ValueEnumeratorERNS_15BitstreamWriterEb
00000001000bfb28 (__TEXT,__text) non-external __ZL15DecodeFixedTypeRN4llvm8ArrayRefINS_9Intrinsic13IITDescriptorEEENS0_IPNS_4TypeEEERNS_11LLVMContextE
0000000100150e20 (__DATA,__bss) non-external __ZL15PassRegistryObj
00000001000764fc (__TEXT,__text) non-external __ZL15fieldIsScopeRefPKN4llvm6MDNodeEj
0000000100061bf4 (__TEXT,__text) non-external __ZL15getFoldedSizeOfPN4llvm4TypeES1_b
0000000100100268 (__TEXT,__text) non-external __ZL15getOpenFileImpliPKcRN4llvm9OwningPtrINS1_12MemoryBufferEEEyyxbb
0000000100053358 (__TEXT,__text) non-external __ZL16PrintCallingConvjRN4llvm11raw_ostreamE
00000001000117ac (__TEXT,__text) non-external __ZL16PushValueAndTypePKN4llvm5ValueEjRNS_15SmallVectorImplIjEERNS_15ValueEnumeratorE
000000010001ae6c (__TEXT,__text) non-external __ZL16copyGVAttributesPN4llvm11GlobalValueEPKS0_
0000000100061ddc (__TEXT,__text) non-external __ZL16getFoldedAlignOfPN4llvm4TypeES1_b
