                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80a751cc3 (__TEXT,__text) non-external _au_assemble
00007ff80a7531a8 (__TEXT,__text) external _au_bsm_to_domain
00007ff80a75cf00 (__TEXT,__text) external _au_bsm_to_errno
00007ff80a75cfae (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80a759343 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80a751f1e (__TEXT,__text) external _au_close
00007ff80a751fca (__TEXT,__text) external _au_close_buffer
00007ff80a75208b (__TEXT,__text) external _au_close_token
00007ff80a751bfa (__TEXT,__text) external _au_close_with_errors
00007ff8422a52f4 (__DATA,__bss) non-external _au_cond
00007ff80a75317d (__TEXT,__text) external _au_domain_to_bsm
00007ff80a75ced2 (__TEXT,__text) external _au_errno_to_bsm
00007ff80a75cf83 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80a7501af (__TEXT,__text) external _au_fetch_tok
00007ff80a751a11 (__TEXT,__text) external _au_free_token
00007ff80a759242 (__TEXT,__text) external _au_get_state
00007ff80a7591aa (__TEXT,__text) external _au_notify_initialize
00007ff80a75922d (__TEXT,__text) external _au_notify_terminate
00007ff80a751a3b (__TEXT,__text) external _au_open
00007ff8422a3f00 (__DATA,__const) non-external _au_polstr
00007ff80a75251d (__TEXT,__text) external _au_poltostr
00007ff80a758fc4 (__TEXT,__text) external _au_preselect
00007ff80a753afc (__TEXT,__text) external _au_print_flags_tok
00007ff80a75825c (__TEXT,__text) external _au_print_tok
00007ff80a758276 (__TEXT,__text) external _au_print_tok_xml
00007ff80a753add (__TEXT,__text) external _au_print_xml_footer
00007ff80a753a9c (__TEXT,__text) external _au_print_xml_header
00007ff80a758295 (__TEXT,__text) external _au_read_rec
00007ff80a75ce92 (__TEXT,__text) external _au_sdev_close
00007ff80a75cec5 (__TEXT,__text) external _au_sdev_fd
00007ff80a74fd82 (__TEXT,__text) external _au_sdev_open
00007ff80a74fe56 (__TEXT,__text) external _au_sdev_read_aia
