00007ff80cce69c0 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80ccd87a4 (__TEXT,__text) non-external _alone_decode
00007ff80ccd8a4c (__TEXT,__text) non-external _alone_decoder_end
00007ff80ccd8a6d (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff80ccd7948 (__TEXT,__text) non-external _alone_encode
00007ff80ccd7a0c (__TEXT,__text) non-external _alone_encoder_end
00007ff80ccd77e9 (__TEXT,__text) non-external _alone_encoder_init
00007ff80cce2536 (__TEXT,__text) non-external _arm_code
00007ff80cce25fd (__TEXT,__text) non-external _armthumb_code
00007ff80ccd8c2f (__TEXT,__text) non-external _auto_decode
00007ff80ccd8d4b (__TEXT,__text) non-external _auto_decoder_end
00007ff80ccd8d6c (__TEXT,__text) non-external _auto_decoder_get_check
00007ff80ccd8b50 (__TEXT,__text) non-external _auto_decoder_init
00007ff80ccd8d83 (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff80ccd9047 (__TEXT,__text) non-external _block_decode
00007ff80ccd926e (__TEXT,__text) non-external _block_decoder_end
00007ff80ccd2988 (__TEXT,__text) non-external _block_encode
00007ff80ccd6b23 (__TEXT,__text) non-external _block_encoder_end
00007ff80ccd0cf7 (__TEXT,__text) non-external _block_encoder_init
00007ff80ccd7f19 (__TEXT,__text) non-external _block_encoder_update
00007ff80ccd58d8 (__TEXT,__text) non-external _bt_find_func
00007ff80ccd392a (__TEXT,__text) non-external _bt_skip_func
00007ff80cce1e6c (__TEXT,__text) non-external _copy_or_code
00007ff80ccdccac (__TEXT,__text) non-external _decode_buffer
00007ff80ccd96c9 (__TEXT,__text) non-external _decoder_find
00007ff8408c8520 (__DATA_CONST,__const) non-external _decoders
00007ff80cce17b4 (__TEXT,__text) non-external _delta_coder_end
00007ff80cce198b (__TEXT,__text) non-external _delta_decode
00007ff80cce1826 (__TEXT,__text) non-external _delta_encode
00007ff80cce193a (__TEXT,__text) non-external _delta_encoder_update
00007ff80ccd12ee (__TEXT,__text) non-external _encoder_find
00007ff8408c8320 (__DATA_CONST,__const) non-external _encoders
00007ff80cce2840 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
00007ff80ccd94a1 (__TEXT,__text) non-external _free_properties
00007ff80ccd5a43 (__TEXT,__text) non-external _get_literal_price
00007ff80ccd9f7a (__TEXT,__text) non-external _hash_append
00007ff80ccdc205 (__TEXT,__text) non-external _hc_find_func
00007ff80cce22c3 (__TEXT,__text) non-external _ia64_code
