                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
0000000193070520 (__TEXT,__text) external _NEAuditTokenForPID
000000019307073c (__TEXT,__text) external _NECopyAuditPortForAuditToken
00000001930706e0 (__TEXT,__text) external _NECopyBootstrapPortForPID
0000000193070320 (__TEXT,__text) external _NECopySigningIdentifierForPID
000000019307035c (__TEXT,__text) external _NECopySigningIdentifierForXPCMessage
0000000193070688 (__TEXT,__text) external _NEGIDForAuditToken
                 (undefined) external _NEHelperCacheCopySigningIdentifierMapping (from libSystem)
0000000193057178 (__TEXT,__text) external _NEHelperTrackerAddIP
00000001930567e0 (__TEXT,__text) external _NEHelperTrackerAddIPForAllFlows
00000001d94b0d46 (__DATA,__bss) non-external _NEHelperTrackerAddIPForAllFlows.buffer
0000000193057170 (__TEXT,__text) external _NEHelperTrackerAddIPWithDisposition
000000019305557c (__TEXT,__text) external _NEHelperTrackerAppInfoGetPID
00000001930553d4 (__TEXT,__text) external _NEHelperTrackerAppInfoIsBrowser
0000000193055334 (__TEXT,__text) external _NEHelperTrackerAppInfoSetAuditToken
00000001930553b8 (__TEXT,__text) external _NEHelperTrackerAppInfoSetIsBrowser
00000001930553a0 (__TEXT,__text) external _NEHelperTrackerAppInfoSetPID
000000019305531c (__TEXT,__text) external _NEHelperTrackerAppInfoSetSigningIdentifier
000000019305535c (__TEXT,__text) external _NEHelperTrackerAppInfoSetUUID
00000001930562d0 (__TEXT,__text) external _NEHelperTrackerAppendTLV
00000001930565c4 (__TEXT,__text) external _NEHelperTrackerCalculateParameterLen
0000000193056260 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForApp
0000000193056240 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForWeb
0000000193056280 (__TEXT,__text) external _NEHelperTrackerClearCache
00000001930555ec (__TEXT,__text) external _NEHelperTrackerContextGetDomain
00000001930555f8 (__TEXT,__text) external _NEHelperTrackerContextGetDomainOwner
00000001d94b0e44 (__DATA,__bss) non-external _NEHelperTrackerDomainIsApproved.buffer
0000000193057198 (__TEXT,__text) external _NEHelperTrackerDumpIPEntries
0000000193056668 (__TEXT,__text) external _NEHelperTrackerFillParameters
0000000193055310 (__TEXT,__text) external _NEHelperTrackerFreeAppInfo
