                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
00000002848fecc0 (__TEXT,__text) non-external _sbuf_extend
00000002848fede8 (__TEXT,__text) non-external _sbuf_put_byte
00000002848fe9d0 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00000002848fe9a0 (__TEXT,__text) external _usbuf_bcat
00000002848feac4 (__TEXT,__text) external _usbuf_bcpy
00000002848feb0c (__TEXT,__text) external _usbuf_cat
00000002848fe854 (__TEXT,__text) external _usbuf_clear
00000002848fe828 (__TEXT,__text) external _usbuf_clear_flags
00000002848fe898 (__TEXT,__text) external _usbuf_count_drain
00000002848feb54 (__TEXT,__text) external _usbuf_cpy
00000002848ff038 (__TEXT,__text) external _usbuf_data
00000002848ff068 (__TEXT,__text) external _usbuf_delete
00000002848ff0d0 (__TEXT,__text) external _usbuf_done
00000002848fe8b4 (__TEXT,__text) external _usbuf_drain
00000002848ff114 (__TEXT,__text) external _usbuf_end_section
00000002848fef94 (__TEXT,__text) external _usbuf_error
00000002848fef9c (__TEXT,__text) external _usbuf_finish
00000002848fe820 (__TEXT,__text) external _usbuf_get_flags
00000002848fe4b8 (__TEXT,__text) external _usbuf_hexdump
00000002848ff040 (__TEXT,__text) external _usbuf_len
00000002848fe710 (__TEXT,__text) external _usbuf_new
00000002848fee8c (__TEXT,__text) external _usbuf_nl_terminate
00000002848fed88 (__TEXT,__text) external _usbuf_printf
00000002848fe6b4 (__TEXT,__text) external _usbuf_printf_drain
00000002848fe684 (__TEXT,__text) external _usbuf_putbuf
00000002848fedb4 (__TEXT,__text) external _usbuf_putc
00000002848fe8ac (__TEXT,__text) external _usbuf_set_drain
00000002848fe840 (__TEXT,__text) external _usbuf_set_flags
00000002848fe870 (__TEXT,__text) external _usbuf_setpos
00000002848ff0dc (__TEXT,__text) external _usbuf_start_section
00000002848feeec (__TEXT,__text) external _usbuf_trim
00000002848febb4 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
