00007ff80f9f97f1 (__TEXT,__const) non-external _KW_ANY
00007ff80f9f9755 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80f9f97a4 (__TEXT,__const) non-external _KW_CDATA
00007ff80f9f9738 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80f9f975d (__TEXT,__const) non-external _KW_ELEMENT
00007ff80f9f97eb (__TEXT,__const) non-external _KW_EMPTY
00007ff80f9f97ba (__TEXT,__const) non-external _KW_ENTITIES
00007ff80f9f974e (__TEXT,__const) non-external _KW_ENTITY
00007ff80f9f97e5 (__TEXT,__const) non-external _KW_FIXED
00007ff80f9f97aa (__TEXT,__const) non-external _KW_ID
00007ff80f9f97ad (__TEXT,__const) non-external _KW_IDREF
00007ff80f9f97b3 (__TEXT,__const) non-external _KW_IDREFS
00007ff80f9f9776 (__TEXT,__const) non-external _KW_IGNORE
00007ff80f9f97d4 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80f9f976e (__TEXT,__const) non-external _KW_INCLUDE
00007ff80f9f9f10 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80f9f977d (__TEXT,__const) non-external _KW_NDATA
00007ff80f9f97c3 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80f9f97cb (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80f9f9765 (__TEXT,__const) non-external _KW_NOTATION
00007ff80f9f97f5 (__TEXT,__const) non-external _KW_PCDATA
00007ff80f9f9747 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80f9f97dc (__TEXT,__const) non-external _KW_REQUIRED
00007ff80f9f9740 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80f9f9f1b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80f9f9f2a (__TEXT,__const) non-external _KW_UTF_16
00007ff80f9f9f31 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80f9f9f3a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80f9f9f24 (__TEXT,__const) non-external _KW_UTF_8
00007ff80f9f9f51 (__TEXT,__const) non-external _KW_encoding
00007ff80f9f9f69 (__TEXT,__const) non-external _KW_no
00007ff80f9f9f5a (__TEXT,__const) non-external _KW_standalone
00007ff80f9f9f49 (__TEXT,__const) non-external _KW_version
00007ff80f9f9f65 (__TEXT,__const) non-external _KW_yes
00007ff80f9e2d98 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80f9e2eb3 (__TEXT,__text) external _XML_ErrorString
00007ff80f9e2ed4 (__TEXT,__text) external _XML_ExpatVersion
00007ff80f9e2ee1 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80f9e1422 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80f9e2d3e (__TEXT,__text) external _XML_FreeContentModel
00007ff80f9e21f2 (__TEXT,__text) external _XML_GetBase
00007ff80f9e26f1 (__TEXT,__text) external _XML_GetBuffer
00007ff80f9e2c2d (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80f9e2c04 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80f9e2ce8 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80f9e2c8f (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80f9e2bed (__TEXT,__text) external _XML_GetErrorCode
00007ff80f9e2ef3 (__TEXT,__text) external _XML_GetFeatureList
00007ff840993150 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80f9e221e (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80f9e2c56 (__TEXT,__text) external _XML_GetInputContext
00007ff80f9e2bcc (__TEXT,__text) external _XML_GetParsingStatus
00007ff80f9f90f4 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80f9e2207 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80f9e2d83 (__TEXT,__text) external _XML_MemFree
00007ff80f9e2d53 (__TEXT,__text) external _XML_MemMalloc
00007ff80f9e2d6a (__TEXT,__text) external _XML_MemRealloc
00007ff80f9e24b2 (__TEXT,__text) external _XML_Parse
00007ff80f9e2926 (__TEXT,__text) external _XML_ParseBuffer
00007ff80f9e0a74 (__TEXT,__text) external _XML_ParserCreate
00007ff80f9e0a90 (__TEXT,__text) external _XML_ParserCreateNS
00007ff80f9e0a84 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80f9e1d02 (__TEXT,__text) external _XML_ParserFree
00007ff80f9e0d93 (__TEXT,__text) external _XML_ParserReset
00007ff80f9e2af6 (__TEXT,__text) external _XML_ResumeParser
00007ff80f9e2420 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80f9e214a (__TEXT,__text) external _XML_SetBase
00007ff80f9e2f3a (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80f9e2f00 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80f9e2299 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80f9e2266 (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80f9e2287 (__TEXT,__text) external _XML_SetCommentHandler
00007ff80f9e22d6 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80f9e22ef (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80f9e2308 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80f9e240e (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80f9e2235 (__TEXT,__text) external _XML_SetElementHandler
00007ff80f9e1372 (__TEXT,__text) external _XML_SetEncoding
00007ff80f9e22c4 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80f9e2333 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80f9e2257 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80f9e2394 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80f9e2432 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80f9e23b8 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80f9e23ca (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80f9e247c (__TEXT,__text) external _XML_SetHashSalt
00007ff80f9e2369 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80f9e23a6 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80f9e2357 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80f9e2456 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80f9e2275 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80f9e210d (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80f9e23e3 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80f9e22b2 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80f9e2321 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80f9e2248 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80f9e2382 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80f9e23f5 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80f9e2345 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80f9e212f (__TEXT,__text) external _XML_SetUserData
00007ff80f9e2444 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80f9e2a87 (__TEXT,__text) external _XML_StopParser
00007ff80f9e20df (__TEXT,__text) external _XML_UseForeignDTD
00007ff80f9e20d0 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80f9ec94a (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80f9ece96 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80f9ec93d (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80f9ece89 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80f9ec957 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80f9ecea3 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80f9ec3d3 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80f9ed09a (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80f9eca52 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80f9ecf3d (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80f9eaa64 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80f9eab44 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80f9ec3c8 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80f9ec37c (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80f9ec2b1 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80f9ec21c (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80f9e50c0 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80f9f913a (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80f9e6c9a (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80f9f915d (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
