00007ffa19332f0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa19332eed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa19328daa (__TEXT,__text) external _glAccum
00007ffa1932f0e8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa193317f7 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa1932bbf2 (__TEXT,__text) external _glActiveTexture
00007ffa193304fa (__TEXT,__text) external _glActiveTextureARB
00007ffa19328dc3 (__TEXT,__text) external _glAlphaFunc
00007ffa19328ddc (__TEXT,__text) external _glAreTexturesResident
00007ffa19328dfb (__TEXT,__text) external _glArrayElement
00007ffa1933104e (__TEXT,__text) external _glAttachObjectARB
00007ffa1932cfe6 (__TEXT,__text) external _glAttachShader
00007ffa19328e14 (__TEXT,__text) external _glBegin
00007ffa1932dbcf (__TEXT,__text) external _glBeginConditionalRender
00007ffa19332dfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa1932c7b4 (__TEXT,__text) external _glBeginQuery
00007ffa19330d77 (__TEXT,__text) external _glBeginQueryARB
00007ffa1932eebd (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1932dae1 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1933203a (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1932d4af (__TEXT,__text) external _glBindAttribLocation
00007ffa1933148a (__TEXT,__text) external _glBindAttribLocationARB
00007ffa1932c854 (__TEXT,__text) external _glBindBuffer
00007ffa19330e17 (__TEXT,__text) external _glBindBufferARB
00007ffa1932db3b (__TEXT,__text) external _glBindBufferBase
00007ffa19332019 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa19331ff5 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1932db14 (__TEXT,__text) external _glBindBufferRange
00007ffa19331fce (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1932df19 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1933258a (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa1932e619 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1932d75f (__TEXT,__text) external _glBindFramebuffer
00007ffa19331d64 (__TEXT,__text) external _glBindFramebufferEXT
00007ffa1932fba9 (__TEXT,__text) external _glBindProgramARB
00007ffa1932f128 (__TEXT,__text) external _glBindProgramPipeline
00007ffa1932d6a1 (__TEXT,__text) external _glBindRenderbuffer
00007ffa19331ca6 (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa1932e6b6 (__TEXT,__text) external _glBindSampler
00007ffa19328e2d (__TEXT,__text) external _glBindTexture
00007ffa1932edd8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa1932d9a6 (__TEXT,__text) external _glBindVertexArray
00007ffa19332aae (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa19328e48 (__TEXT,__text) external _glBitmap
00007ffa1932b5c2 (__TEXT,__text) external _glBlendColor
00007ffa19331c36 (__TEXT,__text) external _glBlendColorEXT
00007ffa1932b5dc (__TEXT,__text) external _glBlendEquation
00007ffa19331c50 (__TEXT,__text) external _glBlendEquationEXT
00007ffa1932d58f (__TEXT,__text) external _glBlendEquationSeparate
00007ffa19332d80 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa19331c6c (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa1932ef58 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa193315dc (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa1932ef3a (__TEXT,__text) external _glBlendEquationi
00007ffa193315be (__TEXT,__text) external _glBlendEquationiARB
00007ffa19328e66 (__TEXT,__text) external _glBlendFunc
00007ffa1932c51a (__TEXT,__text) external _glBlendFuncSeparate
00007ffa19331bc4 (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa1932ef9a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa1933161e (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa1932ef79 (__TEXT,__text) external _glBlendFunci
00007ffa193315fd (__TEXT,__text) external _glBlendFunciARB
00007ffa1932d8bc (__TEXT,__text) external _glBlitFramebuffer
