00007ffb08c5de91 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb08c5de25 (__TEXT,__text) non-external +[CBOR cborNil]
00007ffb08c5de5b (__TEXT,__text) non-external +[CBOR cborTrue]
00007ffb08c5d8fb (__TEXT,__text) non-external +[CBOR cborWithArray:]
00007ffb08c5da8d (__TEXT,__text) non-external +[CBOR cborWithData:]
00007ffb08c5dcf9 (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
00007ffb08c5d99b (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
00007ffb08c5da3b (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
00007ffb08c5d87d (__TEXT,__text) non-external +[CBOR cborWithDouble:]
00007ffb08c5dec7 (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
00007ffb08c5d7ff (__TEXT,__text) non-external +[CBOR cborWithFloat:]
00007ffb08c5dbcd (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
00007ffb08c5d781 (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
00007ffb08c5d614 (__TEXT,__text) non-external +[CBOR cborWithInteger:]
00007ffb08c5db2d (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
00007ffb08c5d6d2 (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
00007ffb08c599e1 (__TEXT,__text) non-external +[CBOR decodeFromBytes:length:recursionLevel:keepKeyOrdering:]
00007ffb08c5a8b0 (__TEXT,__text) non-external +[CBOR decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:]
00007ffb08c5afe8 (__TEXT,__text) non-external +[CBOR decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:]
00007ffb08c5b460 (__TEXT,__text) non-external +[CBOR decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:]
00007ffb08c57e60 (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
00007ffb08c5843a (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
00007ffb08c583f6 (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
00007ffb08c5fda7 (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
00007ffb08c6354c (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
00007ffb08c59934 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
00007ffb08c5994b (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
00007ffb08c5848a (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00007ffb08c5849e (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00007ffb08c61270 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00007ffb08c63559 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00007ffb08c5e06e (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00007ffb08c5c7bb (__TEXT,__text) non-external -[CBOR array]
00007ffb08c5c617 (__TEXT,__text) non-external -[CBOR boolValue]
00007ffb08c5beb0 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb08c5c725 (__TEXT,__text) non-external -[CBOR data]
00007ffb08c5c84f (__TEXT,__text) non-external -[CBOR date]
00007ffb08c5ceca (__TEXT,__text) non-external -[CBOR description]
00007ffb08c5c805 (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb08c5c55c (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb08c5df9e (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb08c5c057 (__TEXT,__text) non-external -[CBOR hash]
00007ffb08c5bf97 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb08c5beeb (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb08c5cdb4 (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb08c5cdc9 (__TEXT,__text) non-external -[CBOR isDate]
00007ffb08c5ce72 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb08c5c3ef (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb08c5cd9f (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb08c5cd81 (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb08c5c4ad (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb08c5c5b0 (__TEXT,__text) non-external -[CBOR numeric]
00007ffb08c5e053 (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb08c5e05d (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb08c5e013 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb08c5e02e (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb08c5e049 (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb08c5c673 (__TEXT,__text) non-external -[CBOR string]
00007ffb08c5e009 (__TEXT,__text) non-external -[CBOR tag]
00007ffb08c5dfff (__TEXT,__text) non-external -[CBOR type]
00007ffb08c5c502 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00007ffb08c5e03f (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb08c5e024 (__TEXT,__text) non-external -[CBOR value]
