
/System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd (for architecture x86_64):
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRunLoopRun (from CoreFoundation)
                 (undefined) external _CKAppleTouchIDChallengeHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDPublicKeyHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDSignatureHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDSignatureVersionHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDSignatureVersionString (from CommerceKit)
                 (undefined) external _CKAppleTouchIDStateDisabledString (from CommerceKit)
                 (undefined) external _CKAppleTouchIDStateEnabledString (from CommerceKit)
                 (undefined) external _CKAppleTouchIDStateHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDStateUnsetString (from CommerceKit)
                 (undefined) external _CKClientErrorDomain (from CommerceKit)
                 (undefined) external _CKIsAppleInternal (from StoreFoundation)
                 (undefined) external _ISError (from StoreFoundation)
                 (undefined) external _OBJC_CLASS_$_ACAccountStore (from Accounts)
                 (undefined) external _OBJC_CLASS_$_CKAccountStore (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKAuthenticationContext (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKStoreAccountSettingsContext (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKStoreClient (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKStoreRequest (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKTouchIDSession (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_ISServiceClientInterface (from StoreFoundation)
                 (undefined) external _OBJC_CLASS_$_ISServiceDelegate (from StoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
