0000000180126d60 (__TEXT,__text) non-external K256
0000000180128e70 (__TEXT,__text) non-external K_XMM_AR
0000000180128eb0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA1_compress
0000000180126e60 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA256_compress
0000000180127170 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress
00000001801285f0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress_hwassist
00000001801245e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001801246d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180131b94 (__TEXT,__const) non-external (was a private external) _SANDBOX_CHECK_NO_REPORT
0000000180131b40 (__TEXT,__const) non-external _UUID_NULL
0000000180131b50 (__TEXT,__const) non-external __0x
00000001800fdbc4 (__TEXT,__text) non-external (was a private external) __Block_object_assign
00000001800b9df8 (__TEXT,__text) non-external (was a private external) __Block_object_dispose
000000018013f919 (__TEXT,__cstring) non-external __H
00000001e8753020 (__DATA,__common) non-external (was a private external) __NSConcreteGlobalBlock
00000001e8752f20 (__DATA,__common) non-external (was a private external) __NSConcreteStackBlock
00000001800e4eb4 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
00000001800ea810 (__TEXT,__text) non-external (was a private external) __Z10murmurHashPKviy
00000001800c1b6c (__TEXT,__text) non-external __ZL11hexToUInt64PKcPS0_
00000001e8751088 (__DATA,__data) non-external __ZL12sProcessInfo
00000001800c0054 (__TEXT,__text) non-external __ZL15OSMemoryBarrierv
00000001ece2c1c0 (__DATA_CONST,__const) non-external __ZL15cryptexPrefixes
00000001800c0040 (__TEXT,__text) non-external __ZL32OSAtomicCompareAndSwapPtrBarrierPvS_PVS_
000000018011c34c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
000000018011c400 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
000000018011c3a8 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcPc
000000018011c37c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00000001800ba1c8 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00000001800b9dc4 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
0000000180107bb4 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEbRKNS0_11DataSectionEU13block_pointerFvRNS_5ClassEbRbE
000000018012fe48 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor12forEachClassEbRKNS0_11DataSectionEU13block_pointerFvRNS_5ClassEbRbE.cold.1
0000000180107d38 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEbU13block_pointerFvRNS_5ClassEbRbE
0000000180107e20 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor15forEachCategoryEU13block_pointerFvRKNS_8CategoryERbE
000000018012fe74 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor15forEachCategoryEU13block_pointerFvRKNS_8CategoryERbE.cold.1
0000000180107f14 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor15forEachProtocolEU13block_pointerFvRKNS_8ProtocolERbE
000000018012fea0 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor15forEachProtocolEU13block_pointerFvRKNS_8ProtocolERbE.cold.1
0000000180107d9c (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor24forEachClassAndMetaClassEU13block_pointerFvRKNS_5ClassERbE
0000000180106c1c (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11inDyldCacheEPKS_PKN5dyld39MachOFileE
