000000018b117139 (__TEXT,__const) non-external _DOWNCASE_TBL
000000018b117c3c (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018b11773c (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018b11723c (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018b117b3c (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018b11763c (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018b107680 (__TEXT,__text) non-external _active_outbound_item_reset
000000018b10c688 (__TEXT,__text) non-external _add_hd_table_incremental
000000018b10fe1c (__TEXT,__text) non-external _bubble_down
000000018b10fda0 (__TEXT,__text) non-external _bubble_up
000000018b1075a8 (__TEXT,__text) non-external _buf_chain_new
000000018b110008 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018b10e1ec (__TEXT,__text) non-external _check_pseudo_header
000000018b1074fc (__TEXT,__text) non-external _default_calloc
000000018b107814 (__TEXT,__text) non-external _default_free
000000018b107500 (__TEXT,__text) non-external _default_malloc
000000018b10767c (__TEXT,__text) non-external _default_realloc
000000018b10c0b4 (__TEXT,__text) non-external _emit_indname_block
000000018b10c278 (__TEXT,__text) non-external _emit_string
000000018b10eda0 (__TEXT,__text) non-external _emit_table_size
000000018b111460 (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018b10c9bc (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018b110c4c (__TEXT,__text) non-external _free_streams
000000018b1116e0 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018b10ebf8 (__TEXT,__text) non-external _hd_context_free
000000018b10d1d8 (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018b10fc74 (__TEXT,__text) non-external _hd_get_table_entry
000000018b10e12c (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018b10e23c (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018b10e048 (__TEXT,__text) non-external _hd_inflate_read_huff
000000018b10df34 (__TEXT,__text) non-external _hd_inflate_read_len
000000018b10ec88 (__TEXT,__text) non-external _hd_ringbuf_get
000000018b1130f8 (__TEXT,__const) non-external _huff_decode_table
000000018b1128f0 (__TEXT,__const) non-external _huff_sym_table
000000018b10ab64 (__TEXT,__text) non-external _insert
000000018b10f390 (__TEXT,__text) non-external _insert_link_dep
000000018b10b294 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00000001d932e780 (__AUTH,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000018b108020 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000018b10795c (__TEXT,__text) non-external _nghttp2_bufs_add
000000018b10c95c (__TEXT,__text) non-external _nghttp2_bufs_addb
000000018b10ed34 (__TEXT,__text) non-external _nghttp2_bufs_free
000000018b11273c (__TEXT,__text) external _nghttp2_check_authority
000000018b106c80 (__TEXT,__text) external _nghttp2_check_header_name
000000018b106cc8 (__TEXT,__text) external _nghttp2_check_header_value
000000018b1126dc (__TEXT,__text) external _nghttp2_check_method
000000018b11270c (__TEXT,__text) external _nghttp2_check_path
000000018b10cb60 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000018b10ac0c (__TEXT,__text) external _nghttp2_hd_deflate_bound
000000018b10d190 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
000000018b10faa8 (__TEXT,__text) external _nghttp2_hd_deflate_del
000000018b10fcd0 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
000000018b10fcd8 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
000000018b10fc64 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
000000018b10fc70 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
000000018b10f728 (__TEXT,__text) external _nghttp2_hd_deflate_hd
000000018b10ac3c (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
000000018b10f830 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
000000018b10f9c8 (__TEXT,__text) external _nghttp2_hd_deflate_new
000000018b10f9d0 (__TEXT,__text) external _nghttp2_hd_deflate_new2
000000018b10f620 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
000000018b10fc20 (__TEXT,__text) external _nghttp2_hd_inflate_del
000000018b10e2e4 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
000000018b10ecdc (__TEXT,__text) non-external _nghttp2_hd_inflate_free
000000018b10fcf0 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
000000018b10fcf8 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
000000018b10fce0 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
000000018b10fcec (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
000000018b10faec (__TEXT,__text) external _nghttp2_hd_inflate_hd
000000018b10faf0 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
