00007ffc411fe428 (__DATA,__bss) non-external _A
00007ffc411fe1f0 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffc411fe078 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffc411fe070 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffc411fe074 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffc411fe430 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffc411fe438 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffc411fe440 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffc411fe43c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffc411fe3e0 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffc0dfc9850 (__TEXT,__const) non-external _HREF_SAFE
00007ffc0dfc7be0 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffc0dfc9750 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffc0dfbde1a (__TEXT,__text) non-external _S_advance_offset
00007ffc0dfafb81 (__TEXT,__text) non-external _S_blankline
00007ffc0dfbe861 (__TEXT,__text) non-external _S_can_contain
00007ffc0dfafb6e (__TEXT,__text) non-external _S_cr
00007ffc0dfbdebd (__TEXT,__text) non-external _S_find_first_nonspace
00007ffc0dfb1b0c (__TEXT,__text) non-external _S_get_enumlevel
00007ffc0dfbe7ad (__TEXT,__text) non-external _S_node_unlink
00007ffc0dfafb94 (__TEXT,__text) non-external _S_out
00007ffc0dfae112 (__TEXT,__text) non-external _S_outc
00007ffc0dfbc372 (__TEXT,__text) non-external _S_parser_feed
00007ffc0dfc9730 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffc0dfbfc6f (__TEXT,__text) non-external _S_print_error
00007ffc0dfbcabc (__TEXT,__text) non-external _S_process_line
00007ffc0dfc70f1 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffc0dfc7112 (__TEXT,__text) non-external _S_process_line.cold.2
00007ffc0dfc7133 (__TEXT,__text) non-external _S_process_line.cold.3
00007ffc0dfc7156 (__TEXT,__text) non-external _S_process_line.cold.4
00007ffc0dfc7179 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffc0dfada08 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffc0dfabb8c (__TEXT,__text) non-external _S_render_node
00007ffc0dfae1fc (__TEXT,__text) non-external _S_render_node
00007ffc0dfb1434 (__TEXT,__text) non-external _S_render_node
