00007ff841bbb778 (__DATA,__data) non-external _C
00007ff841bbd6c0 (__DATA,__bss) non-external _CF6464
00007ff80035ba90 (__TEXT,__const) non-external _CIFP
00007ff841bbe3fc (__DATA,__bss) non-external _EMSG
00007ff841bbe3fd (__DATA,__bss) non-external _EMSG
00007ff80035ba60 (__TEXT,__const) non-external _ExpandTr
00007ff841bbd6b0 (__DATA,__bss) non-external _IE3264
00007ff80035ba20 (__TEXT,__const) non-external _IP
00007ff841bbd620 (__DATA,__bss) non-external _KS
00007ff843911840 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff843911838 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff80035bad0 (__TEXT,__const) non-external _P32Tr
00007ff80035b9e0 (__TEXT,__const) non-external _PC1
00007ff841bbd618 (__DATA,__bss) non-external _PC1ROT
00007ff80035b9a0 (__TEXT,__const) non-external _PC2
00007ff841bbd6a0 (__DATA,__bss) non-external _PC2ROT
00007ff80035b990 (__TEXT,__const) non-external _Rotates
00007ff80035baf0 (__TEXT,__const) non-external _S
00007ff841bbd6b8 (__DATA,__bss) non-external _SPE
00007ff80032de24 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff80032de5b (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff80032df5c (__TEXT,__text) non-external __BIG5_mbsinit
00007ff80032df1c (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff841bbb898 (__DATA,__data) non-external __C_lconv
00007ff8400282e0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840028300 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff8400283a8 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff8400285f0 (__DATA_CONST,__const) non-external __C_time_locale
00007ff841bbb9f0 (__DATA,__data) external __CurrentRuneLocale
00007ff841bbbc68 (__DATA,__constrw) external __DefaultRuneLocale
00007ff841bbc8f0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff80032fdca (__TEXT,__text) non-external __EUC_free_extra
00007ff80032f075 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff80032f204 (__TEXT,__text) non-external __EUC_mbrtowc
00007ff80032fdb0 (__TEXT,__text) non-external __EUC_mbsinit
00007ff80032f3a0 (__TEXT,__text) non-external __EUC_wcrtomb
00007ff800344a6c (__TEXT,__text) external __Exit
00007ff80032fdfc (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff80032fe33 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff80033006a (__TEXT,__text) non-external __GB18030_mbsinit
00007ff80032ff79 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800330083 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff8003300ba (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff8003301fc (__TEXT,__text) non-external __GB2312_mbsinit
00007ff8003301bc (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800330215 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff80033024c (__TEXT,__text) non-external __GBK_mbrtowc
00007ff80033034d (__TEXT,__text) non-external __GBK_mbsinit
00007ff80033030d (__TEXT,__text) non-external __GBK_wcrtomb
00007ff8003307ce (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800330805 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800330a6b (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff8003308d4 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff8002e1d67 (__TEXT,__text) external __NSGetArgc
00007ff8002e1d5a (__TEXT,__text) external __NSGetArgv
00007ff8002db68d (__TEXT,__text) external __NSGetEnviron
00007ff8002db72f (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff8002e1149 (__TEXT,__text) external __NSGetProgname
00007ff841bbe518 (__DATA,__common) external __PathLocale
00007ff8002fe809 (__TEXT,__text) external __Read_RuneMagi
00007ff800344439 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff800344486 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff80034466b (__TEXT,__text) non-external __UTF2_mbsinit
00007ff800344685 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff8003445e4 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff8003447f9 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff8002feda1 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800300879 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800331176 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800300b0f (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800301286 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800331190 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff8002eb4eb (__TEXT,__text) external ___Balloc_D2A
00007ff8002eb6a0 (__TEXT,__text) external ___Bfree_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff80031941e (__TEXT,__text) external ____mb_cur_max
00007ff80031944c (__TEXT,__text) external ____mb_cur_max_l
00007ff8002f07aa (__TEXT,__text) external ____runetype
00007ff8002f07d2 (__TEXT,__text) external ____runetype_l
00007ff800331081 (__TEXT,__text) external ____tolower
00007ff800330fdc (__TEXT,__text) external ____tolower_l
00007ff80033114e (__TEXT,__text) external ____toupper
00007ff8003310a9 (__TEXT,__text) external ____toupper_l
00007ff800359a58 (__TEXT,__text) non-external (was a private external) ___abort
00007ff800323da9 (__TEXT,__text) external ___add_ovflpage
00007ff800323b26 (__TEXT,__text) external ___addel
00007ff8002ef956 (__TEXT,__text) external ___any_on_D2A
00007ff800358bf6 (__TEXT,__text) external ___assert_rtn
