                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc0dd9fec4 (__TEXT,__text) external __crypt_blowfish_rn
00007ffc0dda2183 (__TEXT,__text) external __crypt_gensalt_blowfish_rn
00007ffc0dd9fe9a (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
00007ffc0dda4956 (__TEXT,__text) external _apr_base64_decode
00007ffc0dda4971 (__TEXT,__text) external _apr_base64_decode_binary
00007ffc0dda4927 (__TEXT,__text) external _apr_base64_decode_len
00007ffc0dda4ab2 (__TEXT,__text) external _apr_base64_encode
00007ffc0dda4abc (__TEXT,__text) external _apr_base64_encode_binary
00007ffc0dda4a8b (__TEXT,__text) external _apr_base64_encode_len
00007ffc0dd9ede8 (__TEXT,__text) external _apr_bcrypt_encode
00007ffc0dd9afac (__TEXT,__text) external _apr_brigade_cleanup
00007ffc0dd9b032 (__TEXT,__text) external _apr_brigade_create
00007ffc0dd9aff9 (__TEXT,__text) external _apr_brigade_destroy
00007ffc0dd9b2b5 (__TEXT,__text) external _apr_brigade_flatten
00007ffc0dd9bda9 (__TEXT,__text) external _apr_brigade_insert_file
00007ffc0dd9b223 (__TEXT,__text) external _apr_brigade_length
00007ffc0dd9b15a (__TEXT,__text) external _apr_brigade_partition
00007ffc0dd9b358 (__TEXT,__text) external _apr_brigade_pflatten
00007ffc0dd9bc14 (__TEXT,__text) external _apr_brigade_printf
00007ffc0dd9bb21 (__TEXT,__text) external _apr_brigade_putc
00007ffc0dd9bb43 (__TEXT,__text) external _apr_brigade_puts
00007ffc0dd9bb7e (__TEXT,__text) external _apr_brigade_putstrs
00007ffc0dd9b14e (__TEXT,__text) external _apr_brigade_split
00007ffc0dd9b089 (__TEXT,__text) external _apr_brigade_split_ex
00007ffc0dd9b3c5 (__TEXT,__text) external _apr_brigade_split_line
00007ffc0dd9b686 (__TEXT,__text) external _apr_brigade_to_iovec
00007ffc0dd9bca6 (__TEXT,__text) external _apr_brigade_vprintf
00007ffc0dd9b71d (__TEXT,__text) external _apr_brigade_vputstrs
00007ffc0dd9b52c (__TEXT,__text) external _apr_brigade_write
00007ffc0dd9b81d (__TEXT,__text) external _apr_brigade_writev
00007ffc0dd9bf21 (__TEXT,__text) external _apr_bucket_alloc
00007ffc0dd9be1a (__TEXT,__text) external _apr_bucket_alloc_create
00007ffc0dd9be93 (__TEXT,__text) external _apr_bucket_alloc_create_ex
00007ffc0dd9beee (__TEXT,__text) external _apr_bucket_alloc_destroy
00007ffc0dd9be09 (__TEXT,__text) external _apr_bucket_copy_notimpl
00007ffc0dd9be14 (__TEXT,__text) external _apr_bucket_destroy_noop
00007ffc0dd9c02f (__TEXT,__text) external _apr_bucket_eos_create
00007ffc0dd9c00c (__TEXT,__text) external _apr_bucket_eos_make
00007ffc0dd9c0f1 (__TEXT,__text) external _apr_bucket_file_create
00007ffc0dd9c17d (__TEXT,__text) external _apr_bucket_file_enable_mmap
00007ffc0dd9c08c (__TEXT,__text) external _apr_bucket_file_make
00007ffc0dd9c4ce (__TEXT,__text) external _apr_bucket_flush_create
00007ffc0dd9c4ab (__TEXT,__text) external _apr_bucket_flush_make
00007ffc0dd9bfd7 (__TEXT,__text) external _apr_bucket_free
00007ffc0dd9c5d1 (__TEXT,__text) external _apr_bucket_heap_create
00007ffc0dd9c52b (__TEXT,__text) external _apr_bucket_heap_make
00007ffc0dd9cd30 (__TEXT,__text) external _apr_bucket_immortal_create
00007ffc0dd9cd0c (__TEXT,__text) external _apr_bucket_immortal_make
00007ffc0dd9c6f3 (__TEXT,__text) external _apr_bucket_mmap_create
00007ffc0dd9c670 (__TEXT,__text) external _apr_bucket_mmap_make
00007ffc0dd9c87d (__TEXT,__text) external _apr_bucket_pipe_create
00007ffc0dd9c85c (__TEXT,__text) external _apr_bucket_pipe_make
00007ffc0dd9cb19 (__TEXT,__text) external _apr_bucket_pool_create
00007ffc0dd9ca42 (__TEXT,__text) external _apr_bucket_pool_make
00007ffc0dd9bdeb (__TEXT,__text) external _apr_bucket_setaside_noop
00007ffc0dd9bdf3 (__TEXT,__text) external _apr_bucket_setaside_notimpl
00007ffc0dd9cc18 (__TEXT,__text) external _apr_bucket_shared_copy
00007ffc0dd9cc32 (__TEXT,__text) external _apr_bucket_shared_destroy
00007ffc0dd9cc3f (__TEXT,__text) external _apr_bucket_shared_make
00007ffc0dd9cbfc (__TEXT,__text) external _apr_bucket_shared_split
00007ffc0dd9cc5a (__TEXT,__text) external _apr_bucket_simple_copy
00007ffc0dd9cca1 (__TEXT,__text) external _apr_bucket_simple_split
