000000018e1a6cb9 (__TEXT,__const) non-external _DOWNCASE_TBL
000000018e1a77bc (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018e1a72bc (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018e1a6dbc (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018e1a76bc (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018e1a71bc (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018e191824 (__TEXT,__text) non-external _active_outbound_item_reset
000000018e196424 (__TEXT,__text) non-external _add_hd_table_incremental
000000018e19a1ec (__TEXT,__text) non-external _bubble_down
000000018e19a16c (__TEXT,__text) non-external _bubble_up
000000018e191744 (__TEXT,__text) non-external _buf_chain_new
000000018e19b484 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000018e1915e8 (__TEXT,__text) non-external _default_calloc
000000018e1919bc (__TEXT,__text) non-external _default_free
000000018e19168c (__TEXT,__text) non-external _default_malloc
000000018e191818 (__TEXT,__text) non-external _default_realloc
000000018e195e90 (__TEXT,__text) non-external _emit_indname_block
000000018e196010 (__TEXT,__text) non-external _emit_string
000000018e198ccc (__TEXT,__text) non-external _emit_table_size
000000018e19d20c (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018e196760 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018e19c824 (__TEXT,__text) non-external _free_streams
000000018e19d998 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018e198b24 (__TEXT,__text) non-external _hd_context_free
000000018e197000 (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018e199e84 (__TEXT,__text) non-external _hd_get_table_entry
000000018e197f70 (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018e198030 (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018e197e94 (__TEXT,__text) non-external _hd_inflate_read_huff
000000018e197d90 (__TEXT,__text) non-external _hd_inflate_read_len
000000018e198bb4 (__TEXT,__text) non-external _hd_ringbuf_get
000000018e1a2c78 (__TEXT,__const) non-external _huff_decode_table
000000018e1a2470 (__TEXT,__const) non-external _huff_sym_table
000000018e1947a0 (__TEXT,__text) non-external _insert
000000018e19930c (__TEXT,__text) non-external _insert_link_dep
000000018e195130 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
000000018e198f78 (__TEXT,__text) non-external _map_resize
00000001ea293438 (__AUTH,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000018e192240 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000018e191b08 (__TEXT,__text) non-external _nghttp2_bufs_add
000000018e196700 (__TEXT,__text) non-external _nghttp2_bufs_addb
000000018e198c60 (__TEXT,__text) non-external _nghttp2_bufs_free
000000018e1a2238 (__TEXT,__text) external _nghttp2_check_authority
000000018e190d1c (__TEXT,__text) external _nghttp2_check_header_name
000000018e190d68 (__TEXT,__text) external _nghttp2_check_header_value
000000018e1a2164 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
000000018e1a21d0 (__TEXT,__text) external _nghttp2_check_method
000000018e1a2204 (__TEXT,__text) external _nghttp2_check_path
000000018e19a0c8 (__TEXT,__text) external _nghttp2_extpri_parse_priority
000000018e196914 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000018e1995f4 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
000000018e194990 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
000000018e199714 (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
000000018e199514 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
000000018e194960 (__TEXT,__text) external _nghttp2_hd_deflate_bound
000000018e196fb8 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
000000018e199cb4 (__TEXT,__text) external _nghttp2_hd_deflate_del
000000018e199eec (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
000000018e199ef4 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
000000018e199e74 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
000000018e199e80 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
000000018e199984 (__TEXT,__text) external _nghttp2_hd_deflate_hd
000000018e199988 (__TEXT,__text) external _nghttp2_hd_deflate_hd2
000000018e194ab4 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
000000018e199a8c (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
000000018e199a90 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec2
000000018e1915f4 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
000000018e199c24 (__TEXT,__text) external _nghttp2_hd_deflate_new
000000018e199c2c (__TEXT,__text) external _nghttp2_hd_deflate_new2
000000018e19987c (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
000000018e199e30 (__TEXT,__text) external _nghttp2_hd_inflate_del
000000018e1980d8 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
000000018e198c08 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
000000018e199f0c (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
000000018e199f14 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
000000018e199efc (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
000000018e199f08 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
000000018e199cf8 (__TEXT,__text) external _nghttp2_hd_inflate_hd
000000018e199da4 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
000000018e199cfc (__TEXT,__text) external _nghttp2_hd_inflate_hd3
000000018e197720 (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
000000018e191698 (__TEXT,__text) non-external _nghttp2_hd_inflate_init
000000018e199da8 (__TEXT,__text) external _nghttp2_hd_inflate_new
000000018e199db0 (__TEXT,__text) external _nghttp2_hd_inflate_new2
000000018e1962f4 (__TEXT,__text) non-external _nghttp2_hd_table_get
000000018e1a226c (__TEXT,__text) external _nghttp2_http2_strerror
000000018e19b7e0 (__TEXT,__text) non-external _nghttp2_http_on_request_headers
000000018e198118 (__TEXT,__text) non-external _nghttp2_http_on_response_headers
000000018e19b598 (__TEXT,__text) non-external _nghttp2_http_parse_priority
000000018e19484c (__TEXT,__text) non-external _nghttp2_http_record_request_method
000000018e1a1dcc (__TEXT,__text) non-external _nghttp2_increase_local_window_size
000000018e19c508 (__TEXT,__text) external _nghttp2_is_fatal
000000018e191ef4 (__TEXT,__text) non-external _nghttp2_iv_check
000000018e197114 (__TEXT,__text) non-external _nghttp2_map_each
000000018e1921ac (__TEXT,__text) non-external _nghttp2_map_find
000000018e1925e4 (__TEXT,__text) non-external _nghttp2_nv_array_copy
000000018e1997ec (__TEXT,__text) external _nghttp2_nv_compare_name
000000018e19049c (__TEXT,__text) external _nghttp2_option_del
000000018e190398 (__TEXT,__text) external _nghttp2_option_new
000000018e198e7c (__TEXT,__text) external _nghttp2_option_set_builtin_recv_extension_type
000000018e198f64 (__TEXT,__text) external _nghttp2_option_set_max_continuations
