00007ffb0771e2b0 (__TEXT,__text) external _ARMCompilationCallback
00007ffb0771e2c0 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffb07e1a530 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffb07e1a610 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffb07e1a440 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffb07e1a7a0 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffb07e1aad0 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffb07e1aed0 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffb07e1ace0 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffb07e1acd0 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffb435fc878 (__DATA,__common) external _EnableARMEHABI
00007ffb435fc5b8 (__DATA,__common) external _EnableARMLongCalls
00007ffb435fc340 (__DATA,__common) external _ForceStackAlign
00007ffb07c2c340 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb07c2c2f0 (__TEXT,__text) external _LLVMABISizeOfType
00007ffb07a85350 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb07c5f4f0 (__TEXT,__text) external _LLVMAddAlias
00007ffb0743dd10 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb07c2f900 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb0743dc20 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb07c5fb90 (__TEXT,__text) external _LLVMAddAttribute
00007ffb07467d10 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffb07a85940 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffb07a85380 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb07c61030 (__TEXT,__text) external _LLVMAddCase
00007ffb07c61050 (__TEXT,__text) external _LLVMAddClause
00007ffb0743dc50 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffb07a85820 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffb07a858b0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffb0743dc80 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffb07a853b0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffb07a85850 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffb07c61040 (__TEXT,__text) external _LLVMAddDestination
00007ffb07a858e0 (__TEXT,__text) external _LLVMAddEarlyCSEPass
