0000000180c63df8 (__TEXT,__text) external _OSAtomicAdd32
0000000180c63e04 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180c63e50 (__TEXT,__text) external _OSAtomicAdd64
0000000180c63e5c (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180c63ea8 (__TEXT,__text) external _OSAtomicAnd32
0000000180c63eb8 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180c63ec8 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180c63ed4 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180c63f30 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180c63f44 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180c63fd0 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180c63fe4 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180c63f80 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180c63f94 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180c63fa8 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180c63fbc (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180c63f58 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180c63f6c (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180c63e30 (__TEXT,__text) external _OSAtomicDecrement32
0000000180c63e40 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180c63e88 (__TEXT,__text) external _OSAtomicDecrement64
0000000180c63e98 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180c64168 (__TEXT,__text) external _OSAtomicDequeue
0000000180c640f8 (__TEXT,__text) external _OSAtomicEnqueue
0000000180c62368 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180c65fd4 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180c622fc (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180c65fd4 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000180c63e10 (__TEXT,__text) external _OSAtomicIncrement32
0000000180c63e20 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180c63e68 (__TEXT,__text) external _OSAtomicIncrement64
0000000180c63e78 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180c63ee0 (__TEXT,__text) external _OSAtomicOr32
0000000180c63eec (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180c63ef8 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180c63f00 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180c64078 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180c640b8 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180c63ff8 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180c64038 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180c63f08 (__TEXT,__text) external _OSAtomicXor32
0000000180c63f14 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180c63f20 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180c63f28 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180c641e8 (__TEXT,__text) external _OSMemoryBarrier
0000000180c628dc (__TEXT,__text) external _OSSpinLockLock
0000000180c628f8 (__TEXT,__text) external _OSSpinLockTry
0000000180c62928 (__TEXT,__text) external _OSSpinLockUnlock
0000000180c667ec (__TEXT,__cstring) non-external __0x
0000000180c667ca (__TEXT,__cstring) non-external __H
0000000180c641c4 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180c64140 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180c62794 (__TEXT,__text) external __OSSpinLockLockSlow
0000000180c6280c (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180c65400 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000182cd0060 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180c60000 (__TEXT,__text) external ___libplatform_init
0000000180c63300 (__TEXT,__text) external ___os_once_reset
0000000180c624dc (__TEXT,__text) non-external (was a private external) ___os_security_config_init
0000000180c65ffc (__TEXT,__text) non-external ___os_security_config_init.cold.1
0000000180c62224 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180c66728 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180c666f0 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180c64260 (__TEXT,__text) external ___platform_sigaction
0000000182cd0048 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sigaction (from libsystem_kernel)
