00007ffa04a4fb70 (__TEXT,__text) non-external +[INRecurrenceRule(REMUInt) rem_recurrenceRuleWithInterval:frequency:]
00007ffa04a50c9b (__TEXT,__text) non-external +[NSColor(TTRCompatibility) ttr_systemPinkColor]
00007ffa04a50c89 (__TEXT,__text) non-external +[NSColor(TTRCompatibility) ttr_systemPurpleColor]
00007ffa04a4fc1e (__TEXT,__text) non-external +[TTRUndoManager withActionName:undoManager:block:]
00007ffa04a5065d (__TEXT,__text) non-external -[TTRReminderBaseTextStorage .cxx_destruct]
00007ffa04a504b5 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage attributesAtIndex:effectiveRange:]
00007ffa04a50638 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage backingStore]
00007ffa04a503b4 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage init]
00007ffa04a50613 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage mutableAttributedString:didEdit:range:changeInLength:]
00007ffa04a50519 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage replaceCharactersInRange:withString:]
00007ffa04a50596 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage setAttributes:range:]
00007ffa04a50649 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage setBackingStore:]
00007ffa04a50465 (__TEXT,__text) non-external -[TTRReminderBaseTextStorage string]
00007ffa04a50305 (__TEXT,__text) non-external -[TTRUndoManager .cxx_destruct]
00007ffa04a4fde7 (__TEXT,__text) non-external -[TTRUndoManager _consumePendingActionName]
00007ffa04a4fe82 (__TEXT,__text) non-external -[TTRUndoManager _registerLogUserAction:]
00007ffa04a502e3 (__TEXT,__text) non-external -[TTRUndoManager debugIdentifier]
00007ffa04a501ed (__TEXT,__text) non-external -[TTRUndoManager debug_redoStackDescription]
00007ffa04a5013d (__TEXT,__text) non-external -[TTRUndoManager debug_undoStackDescription]
00007ffa04a500b5 (__TEXT,__text) non-external -[TTRUndoManager description]
00007ffa04a5029d (__TEXT,__text) non-external -[TTRUndoManager disableRemoveAllActions]
00007ffa04a4fba4 (__TEXT,__text) non-external -[TTRUndoManager initWithDebugIdentifier:]
00007ffa04a502be (__TEXT,__text) non-external -[TTRUndoManager pendingActionName]
00007ffa04a4fd1e (__TEXT,__text) non-external -[TTRUndoManager registerUndoWithTarget:handler:]
00007ffa04a4fc94 (__TEXT,__text) non-external -[TTRUndoManager registerUndoWithTarget:selector:object:]
00007ffa04a4fda5 (__TEXT,__text) non-external -[TTRUndoManager removeAllActions]
00007ffa04a502f4 (__TEXT,__text) non-external -[TTRUndoManager setDebugIdentifier:]
00007ffa04a502ae (__TEXT,__text) non-external -[TTRUndoManager setDisableRemoveAllActions:]
00007ffa04a502cf (__TEXT,__text) non-external -[TTRUndoManager setPendingActionName:]
                 (undefined) external _CEMGetSharedEmojiCharacterSet (from CoreEmoji)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
