00007ffc0f83f4ba (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc0f83f837 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffc0f83e8b0 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffc0f83efc2 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffc0f83f0ca (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffc0f7d26af (__TEXT,__text) external _AAArchiveStreamCancel
00007ffc0f7d2678 (__TEXT,__text) external _AAArchiveStreamClose
00007ffc0f7e71d3 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffc0f7d262a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffc0f7d2610 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffc0f7d265e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffc0f7d2644 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffc0f7d3c77 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffc0f7d7a13 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffc0f7d794b (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffc0f7d788c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffc0f7d793a (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffc0f8348d0 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffc0f7d7ab0 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffc0f7d7a1e (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffc0f7d8106 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffc0f7d86f1 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffc0f7d90fd (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffc0f7d9088 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffc0f7d8bd9 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffc0f84649e (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffc0f8464b3 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffc0f845e8f (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffc0f84633c (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffc0f8034e0 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffc0f7e80dd (__TEXT,__text) external _AAByteRangeAdd
00007ffc0f7e7fe5 (__TEXT,__text) external _AAByteRangeClone
00007ffc0f7e7f49 (__TEXT,__text) external _AAByteRangeCreate
00007ffc0f7e7fbf (__TEXT,__text) external _AAByteRangeDestroy
00007ffc0f7e82ab (__TEXT,__text) external _AAByteRangeFirst
00007ffc0f7e83b8 (__TEXT,__text) external _AAByteRangeNext
00007ffc0f7e823d (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffc0f7e81cb (__TEXT,__text) external _AAByteRangeSizeAtOffset
