                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffd051c259d (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd051c2d80 (__TEXT,__const) external _libopenpam
00007ffd051c299b (__TEXT,__text) external _misc_conv
00007ffd051c274f (__TEXT,__text) external _pam_acct_mgmt
00007ffd051c2687 (__TEXT,__text) external _pam_authenticate
00007ffd051c27b3 (__TEXT,__text) external _pam_chauthtok
00007ffd051c2874 (__TEXT,__text) external _pam_close_session
00007ffd051c2633 (__TEXT,__text) external _pam_end
00007ffd051c2b41 (__TEXT,__text) external _pam_get_data
00007ffd051c2936 (__TEXT,__text) external _pam_get_item
00007ffd051c2cec (__TEXT,__text) external _pam_get_pass
00007ffd051c2c10 (__TEXT,__text) external _pam_get_user
00007ffd051c2aa8 (__TEXT,__text) external _pam_getenv
00007ffd051c2af7 (__TEXT,__text) external _pam_getenvlist
00007ffd051c2817 (__TEXT,__text) external _pam_open_session
00007ffd051c2c75 (__TEXT,__text) external _pam_prompt
00007ffd051c2a52 (__TEXT,__text) external _pam_putenv
00007ffd051c2ba6 (__TEXT,__text) external _pam_set_data
00007ffd051c28d1 (__TEXT,__text) external _pam_set_item
00007ffd051c26eb (__TEXT,__text) external _pam_setcred
00007ffd051c25c9 (__TEXT,__text) external _pam_start
00007ffd051c2a05 (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffd051c252b (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffd051c2540 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffd051c2595 (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffd051c2572 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffd051c2555 (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffd051c2565 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
