00000001acf13974 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001acf13998 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00000001acf04e44 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00000001acf15760 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:].cold.1
00000001acf157e8 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:].cold.2
00000001acf04ce8 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00000001acf05020 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00000001acf13e4c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00000001acf16dc0 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00000001acf16e24 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00000001acf1410c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00000001acf133c8 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00000001acf0cdd4 (__TEXT,__text) non-external +[MIS currentDeviceID]
00000001acf16188 (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00000001acf0ce70 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00000001acf0d38c (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00000001acf162f0 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00000001acf161e8 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00000001acf0cdb4 (__TEXT,__text) non-external +[MIS isAvailable]
00000001acf0d2a0 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00000001acf162c4 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00000001acf161e8 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00000001acf0d1ec (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00000001acf16298 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00000001acf0cffc (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00000001acf1619c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00000001acf161e8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00000001acf16214 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001acf16240 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001acf0d5a0 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001acf163f8 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001acf16468 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001acf0d484 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00000001acf1633c (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001acf16388 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001acf127dc (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001acf16b8c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001acf16b8c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001acf06a90 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001acf06bb4 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001acf052a4 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001aceff9f4 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001acf14898 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001acf14918 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001aceff544 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:]
00000001acf14748 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.1
00000001acf147a8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.2
00000001acf14820 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.3
00000001aceff098 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001acf14734 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00000001aceff34c (__TEXT,__text) non-external +[SPFilePolicy getAllowedUrls]
00000001acf0c98c (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001acf07244 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001acefd8d4 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001acf06654 (__TEXT,__text) non-external +[SPLog downloads]
00000001acf15bdc (__TEXT,__text) non-external +[SPLog downloads].cold.1
00000001acf063d4 (__TEXT,__text) non-external +[SPLog exec]
00000001acf15b8c (__TEXT,__text) non-external +[SPLog exec].cold.1
00000001acf06860 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001acf06294 (__TEXT,__text) non-external +[SPLog generic]
00000001acf15b64 (__TEXT,__text) non-external +[SPLog generic].cold.1
00000001acf06334 (__TEXT,__text) non-external +[SPLog kext]
00000001acf15b78 (__TEXT,__text) non-external +[SPLog kext].cold.1
00000001acf06474 (__TEXT,__text) non-external +[SPLog measurements]
00000001acf15ba0 (__TEXT,__text) non-external +[SPLog measurements].cold.1
00000001acf065b4 (__TEXT,__text) non-external +[SPLog sampling]
00000001acf15bc8 (__TEXT,__text) non-external +[SPLog sampling].cold.1
00000001acf06854 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001acf06514 (__TEXT,__text) non-external +[SPLog signposts]
00000001acf15bb4 (__TEXT,__text) non-external +[SPLog signposts].cold.1
00000001acf066f4 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001acf15bf0 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00000001acf0f7a0 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001acf16830 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:].cold.1
00000001acf0f26c (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001acf16780 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.1
00000001acf167d8 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.2
00000001acf0e75c (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001acf166c4 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001acf0e5b0 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001acf0e59c (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001acf0eb50 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001acf0e714 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001acf0e5c4 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001acf11e5c (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001acefcebc (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00000001acefef84 (__TEXT,__text) non-external +[SPScriptScanEvaluation supportsSecureCoding]
00000001acefead0 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001acefe9f8 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001acefe8b0 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001acefe73c (__TEXT,__text) non-external -[AKELData init]
00000001acefea94 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001acefe9bc (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001acefe514 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001acefe9b4 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001acf13e30 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001acf13d84 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001acf13e44 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001acf13e34 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001acf13de8 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001acf13e3c (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001acf04c6c (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001acf04408 (__TEXT,__text) non-external -[BundleData dealloc]
00000001acf155bc (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001acf048d4 (__TEXT,__text) non-external -[BundleData doReload]
00000001acf04c40 (__TEXT,__text) non-external -[BundleData forceReload]
00000001acf044a4 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001acf043ec (__TEXT,__text) non-external -[BundleData init]
00000001acf04c4c (__TEXT,__text) non-external -[BundleData isSigned]
00000001acf04930 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001acf04bd4 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001acf045f4 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001acf15618 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001acf1565c (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001acf04c64 (__TEXT,__text) non-external -[BundleData timestamp]
00000001acf04c44 (__TEXT,__text) non-external -[BundleData url]
00000001acf04c5c (__TEXT,__text) non-external -[BundleData versionNumber]
00000001acf04c54 (__TEXT,__text) non-external -[BundleData version]
00000001acf13568 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001acf1350c (__TEXT,__text) non-external -[GKScanResult allowed]
00000001acf13480 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001acf1351c (__TEXT,__text) non-external -[GKScanResult gkError]
00000001acf133d0 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001acf13514 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001acf13524 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001acf12990 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001acf00044 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001acefff9c (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001acefff50 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001aceffeb8 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001acefff04 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001aceffff8 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001acefffa4 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001acefff58 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001aceffec0 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
