00007ff80f9f27f1 (__TEXT,__const) non-external _KW_ANY
00007ff80f9f2755 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80f9f27a4 (__TEXT,__const) non-external _KW_CDATA
00007ff80f9f2738 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80f9f275d (__TEXT,__const) non-external _KW_ELEMENT
00007ff80f9f27eb (__TEXT,__const) non-external _KW_EMPTY
00007ff80f9f27ba (__TEXT,__const) non-external _KW_ENTITIES
00007ff80f9f274e (__TEXT,__const) non-external _KW_ENTITY
00007ff80f9f27e5 (__TEXT,__const) non-external _KW_FIXED
00007ff80f9f27aa (__TEXT,__const) non-external _KW_ID
00007ff80f9f27ad (__TEXT,__const) non-external _KW_IDREF
00007ff80f9f27b3 (__TEXT,__const) non-external _KW_IDREFS
00007ff80f9f2776 (__TEXT,__const) non-external _KW_IGNORE
00007ff80f9f27d4 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80f9f276e (__TEXT,__const) non-external _KW_INCLUDE
00007ff80f9f2f10 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80f9f277d (__TEXT,__const) non-external _KW_NDATA
00007ff80f9f27c3 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80f9f27cb (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80f9f2765 (__TEXT,__const) non-external _KW_NOTATION
00007ff80f9f27f5 (__TEXT,__const) non-external _KW_PCDATA
00007ff80f9f2747 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80f9f27dc (__TEXT,__const) non-external _KW_REQUIRED
00007ff80f9f2740 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80f9f2f1b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80f9f2f2a (__TEXT,__const) non-external _KW_UTF_16
00007ff80f9f2f31 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80f9f2f3a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80f9f2f24 (__TEXT,__const) non-external _KW_UTF_8
00007ff80f9f2f51 (__TEXT,__const) non-external _KW_encoding
00007ff80f9f2f69 (__TEXT,__const) non-external _KW_no
00007ff80f9f2f5a (__TEXT,__const) non-external _KW_standalone
00007ff80f9f2f49 (__TEXT,__const) non-external _KW_version
00007ff80f9f2f65 (__TEXT,__const) non-external _KW_yes
00007ff80f9dbd98 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80f9dbeb3 (__TEXT,__text) external _XML_ErrorString
