00007ff80b37c190 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80b37cc90 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff80b37c790 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff80b37c290 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff80b37cb90 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff80b37c690 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80b377730 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80b377750 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b36c88a (__TEXT,__text) non-external _active_outbound_item_reset
00007ff80b371a88 (__TEXT,__text) non-external _add_hd_table_incremental
00007ff80b3752a6 (__TEXT,__text) non-external _bubble_down
00007ff80b375244 (__TEXT,__text) non-external _bubble_up
00007ff80b36c7b2 (__TEXT,__text) non-external _buf_chain_new
00007ff80b37541d (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _calloc (from libSystem)
00007ff80b37385a (__TEXT,__text) non-external _check_pseudo_header
00007ff80b36c6d2 (__TEXT,__text) non-external _default_calloc
00007ff80b36ca08 (__TEXT,__text) non-external _default_free
00007ff80b36c6de (__TEXT,__text) non-external _default_malloc
00007ff80b36c87c (__TEXT,__text) non-external _default_realloc
00007ff80b371588 (__TEXT,__text) non-external _emit_indname_block
00007ff80b3716f1 (__TEXT,__text) non-external _emit_string
00007ff80b374461 (__TEXT,__text) non-external _emit_table_size
00007ff80b371df1 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff80b3767ec (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff80b374307 (__TEXT,__text) non-external _hd_context_free
00007ff80b372726 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff80b375127 (__TEXT,__text) non-external _hd_get_table_entry
00007ff80b37378d (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff80b3738b0 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff80b37369d (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff80b37354c (__TEXT,__text) non-external _hd_inflate_read_len
00007ff80b37436c (__TEXT,__text) non-external _hd_ringbuf_get
00007ff80b378140 (__TEXT,__const) non-external _huff_decode_table
00007ff80b377930 (__TEXT,__const) non-external _huff_sym_table
00007ff80b3702b1 (__TEXT,__text) non-external _insert
00007ff80b37499c (__TEXT,__text) non-external _insert_link_dep
00007ff80b370a5e (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00007ff8423154b0 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff80b36d310 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff80b36cbd4 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff80b371da6 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff80b3743f9 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff80b3776d7 (__TEXT,__text) external _nghttp2_check_authority
00007ff80b36bd58 (__TEXT,__text) external _nghttp2_check_header_name
00007ff80b36bd99 (__TEXT,__text) external _nghttp2_check_header_value
00007ff80b377679 (__TEXT,__text) external _nghttp2_check_method
00007ff80b3776a7 (__TEXT,__text) external _nghttp2_check_path
00007ff80b371f5c (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff80b37038a (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff80b3726e7 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff80b374fe6 (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff80b37516e (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff80b375178 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007ff80b37510f (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff80b37511d (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff80b374c42 (__TEXT,__text) external _nghttp2_hd_deflate_hd
00007ff80b3703bb (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007ff80b374d42 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007ff80b374ef5 (__TEXT,__text) external _nghttp2_hd_deflate_new
00007ff80b374f01 (__TEXT,__text) external _nghttp2_hd_deflate_new2
00007ff80b374beb (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
00007ff80b3750ec (__TEXT,__text) external _nghttp2_hd_inflate_del
00007ff80b37395c (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
00007ff80b3743a6 (__TEXT,__text) non-external _nghttp2_hd_inflate_free
00007ff80b37519a (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
00007ff80b3751a4 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
00007ff80b375182 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
00007ff80b375190 (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
00007ff80b375009 (__TEXT,__text) external _nghttp2_hd_inflate_hd
00007ff80b375013 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
00007ff80b372d8e (__TEXT,__text) non-external _nghttp2_hd_inflate_hd_nv
