00000001acbe2258 (__TEXT,__text) non-external +[Caller current]
00000001acbe27f8 (__TEXT,__text) non-external +[Caller pathFromPid:]
00000001acbe4b80 (__TEXT,__text) non-external +[DaemonUtils _enumAllSubrequirements:processingBlock:]
00000001acbe4c68 (__TEXT,__text) non-external +[DaemonUtils _isNonUiExtensionPointIdentifier:]
00000001acbe4758 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus]
00000001acc0444c (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus].cold.1
00000001acbe4840 (__TEXT,__text) non-external +[DaemonUtils _updateWithDFRStatus:source:]
00000001acbe3cf8 (__TEXT,__text) non-external +[DaemonUtils callerDisplayNameWithPid:auditToken:bundleId:]
00000001acbe3f6c (__TEXT,__text) non-external +[DaemonUtils callerIdWithPid:auditToken:]
00000001acbe5530 (__TEXT,__text) non-external +[DaemonUtils canCallToDependencies]
00000001acbe4694 (__TEXT,__text) non-external +[DaemonUtils deviceHasAtLeastSimulatedDFR]
00000001acbe45d0 (__TEXT,__text) non-external +[DaemonUtils deviceHasDFR]
00000001acbe4e1c (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl]
00000001acc04520 (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl].cold.1
00000001acbe4cdc (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP]
00000001acc044d8 (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP].cold.1
00000001acbe497c (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDFR]
00000001acbe5148 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDoublePressHW]
00000001acbe51f4 (__TEXT,__text) non-external +[DaemonUtils deviceHasSpecialTouchID]
00000001acbe5278 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchIDAndSecureDoublePress]
00000001acbe4f5c (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID]
00000001acc04568 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID].cold.1
00000001acbe522c (__TEXT,__text) non-external +[DaemonUtils deviceIsPoseidon]
00000001acbe509c (__TEXT,__text) non-external +[DaemonUtils deviceSupportsSecureDoubleClick]
00000001acbe4960 (__TEXT,__text) non-external +[DaemonUtils dfrHardwarePresent]
00000001acbe494c (__TEXT,__text) non-external +[DaemonUtils dfrPresent]
