00007ffb437cb5d0 (__DATA,__common) external _AfterColour
00007ffb437cd500 (__DATA,__common) external _ApplyExtTspWithoutProfile
00007ffb437ceb20 (__DATA,__common) external _AsmMacroMaxNestingDepth
00007ffb437c6a40 (__DATA,__common) external _BBSectionsDetectSourceDrift
00007ffb437cb4d0 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
00007ffb437c7790 (__DATA,__common) external _CheapRematWeight
00007ffb437cb6d0 (__DATA,__common) external _CommonColour
00007ffb437c74f0 (__DATA,__common) external _CopyWeight
00007ffb437cb0b0 (__DATA,__common) external _DisableBitcodeVersionUpgrade
00007ffb437cd430 (__DATA,__common) external _EnableExtTspBlockPlacement
00007ffb437ca460 (__DATA,__common) external _EnableLTOInternalization
00007ffb437ce970 (__DATA,__common) external _EnableVPlanNativePath
00007ffb437ce8a0 (__DATA,__common) external _EnableVPlanPredication
00007ffb437c7410 (__DATA,__common) external _EvictInterferenceCutoff
00007ffb437c7870 (__DATA,__common) external _ExpensiveRematWeight
00007ffb427eada0 (__DATA_DIRTY,__common) external _FSEC
00007ffb437cc710 (__DATA,__common) external _ForceFusion
00007ffb437c6300 (__DATA,__common) external _ForceSummaryEdgesCold
00007ffb437cc570 (__DATA,__common) external _FuseMatrix
00007ffb437cbe90 (__DATA,__common) external _GenerateMergedBaseProfiles
00007ffb437c5a00 (__DATA,__common) external _InlinerFunctionImportStats
00007ffb165abf95 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb165abf29 (__TEXT,__text) external _LLVMABISizeOfType
00007ffb15b7f4fc (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00007ffb15b7f507 (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00007ffb16717f84 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00007ffb162f5bec (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb15354754 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00007ffb159b2ebe (__TEXT,__text) external _LLVMAddAlias
00007ffb159b2efe (__TEXT,__text) external _LLVMAddAlias2
00007ffb162f5c55 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007ffb15d43af9 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb165af023 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb15d43a22 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb159b348b (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007ffb162f626f (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffb162f5c32 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007ffb162f5c78 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb159b42bc (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007ffb15d43a4a (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
00007ffb159b55fc (__TEXT,__text) external _LLVMAddCase
00007ffb159b5649 (__TEXT,__text) external _LLVMAddClause
