
/System/Library/PrivateFrameworks/AssistantServices.framework/Versions/Current/Support/assistantd (for architecture x86_64):
00000001002edc8c (__TEXT,__text) external _ADAMOSIdentifierCreate
000000010040ba36 (__TEXT,__text) external _ADAceCommandResponseForCompanionError
00000001005dc2d8 (__DATA_CONST,__const) external _ADActiveAccountCreated
00000001005e0f48 (__DATA_CONST,__const) external _ADActiveAccountIdentifierDidChangeNotification
00000001005dc2d0 (__DATA_CONST,__const) external _ADActiveAccountRemoved
00000001002815ad (__TEXT,__text) external _ADAlarmStoreGetSystemAlarmStore
00000001001ec923 (__TEXT,__text) external _ADAnalyticsContextCreateWithConnectionMetrics
00000001001eb6f1 (__TEXT,__text) external _ADAnalyticsMetricsCreate
00000001001ec280 (__TEXT,__text) external _ADAnalyticsSendInstrumentationForGenericInstrumentationCreate
00000001001ec444 (__TEXT,__text) external _ADAnalyticsSendInstrumentationForUEICreate
00000001002811aa (__TEXT,__text) external _ADAnnouncementRequestCompletionReasonGetName
00000001002f26bb (__TEXT,__text) external _ADAppAnalyticsAllowed
0000000100312aad (__TEXT,__text) external _ADAreAssetsAvailableFromUodStatus
00000001005e0f50 (__DATA_CONST,__const) external _ADAudioAppSignalsDidChangeNotification
00000001002f0355 (__TEXT,__text) external _ADAudioFileTrim
000000010022ec75 (__TEXT,__text) external _ADAudioSessionCoordinationMessageTypeGetFromName
000000010022ec56 (__TEXT,__text) external _ADAudioSessionCoordinationMessageTypeGetName
00000001005ddd30 (__DATA_CONST,__const) external _ADBuddyStateDidChangeNotification
00000001005e2798 (__DATA_CONST,__const) external _ADCalendarErrorDomain
00000001005e0f40 (__DATA_CONST,__const) external _ADCallStateDidChangeNotification
00000001002eeaef (__TEXT,__text) external _ADCanEverAllowSync
00000001002efcf4 (__TEXT,__text) external _ADCarPlayHasBeenActiveInLast24Hours
00000001003a600b (__TEXT,__text) external _ADClearSessionDidFinishTimestamp
00000001002f2074 (__TEXT,__text) external _ADClearTimestampForFileName
00000001003cafd9 (__TEXT,__text) external _ADCloudKitCreateCloudKitContainer
00000001003cb26a (__TEXT,__text) external _ADCloudKitCreateRecordZoneWithID
00000001005db7c8 (__DATA_CONST,__const) external _ADCloudKitManagerPreferencesDidSyncNotification
00000001005df900 (__DATA_CONST,__const) external _ADCloudKitOwnerFetchCompleteNotification
00000001002801fa (__TEXT,__text) external _ADCommandShouldWaitOnMyriadDecision
00000001005e82a8 (__DATA_CONST,__const) external _ADCompanionServiceCoreSpeechMessageType
00000001005e82c8 (__DATA_CONST,__const) external _ADCompanionServiceMethodNameMessageKey
00000001005e82c0 (__DATA_CONST,__const) external _ADCompanionServiceMethodTypeMessageKey
00000001005e82d8 (__DATA_CONST,__const) external _ADCompanionServiceMyriadLastWinKey
00000001005e82d0 (__DATA_CONST,__const) external _ADCompanionServiceMyriadLastWinMethodKey
00000001005e82b0 (__DATA_CONST,__const) external _ADCompanionServiceMyriadMessageType
00000001005e82b8 (__DATA_CONST,__const) external _ADCompanionServiceRequestLifecycleMessageType
0000000100374bff (__TEXT,__text) external _ADConnectionTCPInfoMetricsConfigureLegacyProtocolBufferProxy
000000010037466d (__TEXT,__text) external _ADConnectionTCPInfoMetricsCreateProtocolBufferProxy
0000000100373dc4 (__TEXT,__text) external _ADConnectionTCPInfoMetricsCreateWithLegacyProtocolBufferProxy
000000010037360b (__TEXT,__text) external _ADConnectionTCPInfoMetricsCreateWithProtocolBufferProxy
00000001005c9a50 (__TEXT,__const) external _ADContextManagerGetAggregatedContextTimeout
00000001002ee9cb (__TEXT,__text) external _ADControlCenterDisabledWhileLocked
00000001002edd18 (__TEXT,__text) external _ADCreateAMOSCommittedIdentifierFromIdentifier
                 (undefined) external _ADCreateRequestLinkInfo (from AssistantServices)
00000001002ede7c (__TEXT,__text) external _ADCreateSyncSupportDirectoryIfNeeded
00000001002f012f (__TEXT,__text) external _ADCreateTrimmedAudioDirectory
00000001002ef36b (__TEXT,__text) external _ADCurrentHostUUIDAsData
00000001005e21d0 (__DATA_CONST,__const) external _ADDaemonDidLaunchTimestampFile
00000001002efbd7 (__TEXT,__text) external _ADDeleteCoreDuetEvents
00000001002f24cb (__TEXT,__text) external _ADDeleteDomainsLocalData
00000001005e3208 (__DATA_CONST,__const) external _ADDeleteSyncDataServiceIdentifier
0000000100334931 (__TEXT,__text) external _ADDeserializedSVDCapabilities
00000001005daec8 (__DATA_CONST,__const) external _ADDeviceAuthenticationSessionBadCertificateErrorDomain
00000001005daed8 (__DATA_CONST,__const) external _ADDeviceAuthenticationSessionGenericErrorDomain
00000001005daed0 (__DATA_CONST,__const) external _ADDeviceAuthenticationSessionStateErrorDomain
000000010033455f (__TEXT,__text) external _ADDeviceCapabilitiesGetLocalCapabilities
