00007ffd419f6408 (__DATA,__bss) non-external _A
00007ffd419f61d0 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffd419f6058 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffd419f6050 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffd419f6054 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffd419f6410 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffd419f6418 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffd419f6420 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffd419f641c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffd419f63c0 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffd04ab4b60 (__TEXT,__const) non-external _HREF_SAFE
00007ffd04ab2f00 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffd04ab4a60 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffd04aa905e (__TEXT,__text) non-external _S_advance_offset
00007ffd04a9a811 (__TEXT,__text) non-external _S_blankline
00007ffd04aa9aa5 (__TEXT,__text) non-external _S_can_contain
00007ffd04a9a7fe (__TEXT,__text) non-external _S_cr
00007ffd04aa9105 (__TEXT,__text) non-external _S_find_first_nonspace
00007ffd04a9c7a8 (__TEXT,__text) non-external _S_get_enumlevel
00007ffd04aa99f1 (__TEXT,__text) non-external _S_node_unlink
00007ffd04a9a824 (__TEXT,__text) non-external _S_out
00007ffd04a98d56 (__TEXT,__text) non-external _S_outc
00007ffd04aa7642 (__TEXT,__text) non-external _S_parser_feed
00007ffd04ab4a40 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffd04aaaeb2 (__TEXT,__text) non-external _S_print_error
00007ffd04aa7d7d (__TEXT,__text) non-external _S_process_line
00007ffd04ab2419 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffd04ab243a (__TEXT,__text) non-external _S_process_line.cold.2
00007ffd04ab245b (__TEXT,__text) non-external _S_process_line.cold.3
00007ffd04ab247e (__TEXT,__text) non-external _S_process_line.cold.4
00007ffd04ab24a1 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffd04a98650 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffd04a96828 (__TEXT,__text) non-external _S_render_node
00007ffd04a98e40 (__TEXT,__text) non-external _S_render_node
00007ffd04a9c0f8 (__TEXT,__text) non-external _S_render_node
00007ffd04aaf90f (__TEXT,__text) non-external _S_render_node
00007ffd04ab21bc (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd04ab2250 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd04ab22fd (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd04ab2c04 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd04aa96d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd04aa96f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffd04a9abbd (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffd04a9c9b8 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffd04aa5244 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffd04ab4540 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffd04a9dd7d (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffd04ab3640 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffd04a9d357 (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffd04ab3540 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffd04aa57e0 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffd04ab4840 (__TEXT,__const) non-external __scan_close_code_fence.yybm
