                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8145d3942 (__TEXT,__text) non-external _alone_decode
00007ff8145d3bfc (__TEXT,__text) non-external _alone_decoder_end
00007ff8145d3c1d (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff8145d24e0 (__TEXT,__text) non-external _alone_encode
00007ff8145d25a4 (__TEXT,__text) non-external _alone_encoder_end
00007ff8145d2365 (__TEXT,__text) non-external _alone_encoder_init
00007ff8145ddd94 (__TEXT,__text) non-external _arm64_code
00007ff8145e0d79 (__TEXT,__text) non-external _arm_code
00007ff8145e0e4c (__TEXT,__text) non-external _armthumb_code
00007ff8145d3de3 (__TEXT,__text) non-external _auto_decode
00007ff8145d3f20 (__TEXT,__text) non-external _auto_decoder_end
00007ff8145d3f41 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff8145d3d07 (__TEXT,__text) non-external _auto_decoder_init
00007ff8145d3f58 (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff8145e6930 (__TEXT,__const) non-external _bcj_optmap
00007ff8145d2661 (__TEXT,__text) non-external _block_buffer_encode
00007ff8145d427e (__TEXT,__text) non-external _block_decode
00007ff8145d4513 (__TEXT,__text) non-external _block_decoder_end
00007ff8145cca4d (__TEXT,__text) non-external _block_encode
00007ff8145d2921 (__TEXT,__text) non-external _block_encode_normal
00007ff8145d2a83 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff8145d1486 (__TEXT,__text) non-external _block_encoder_end
00007ff8145cac5e (__TEXT,__text) non-external _block_encoder_init
00007ff8145d2c04 (__TEXT,__text) non-external _block_encoder_update
00007ff8145d030f (__TEXT,__text) non-external _bt_find_func
00007ff8145cdcec (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _clock_gettime (from libSystem)
00007ff8145e06e3 (__TEXT,__text) non-external _copy_or_code
00007ff8145d8e02 (__TEXT,__text) non-external _decode_buffer
00007ff8145d4941 (__TEXT,__text) non-external _decoder_find
00007ff8416dc2f0 (__DATA_CONST,__const) non-external _decoders
00007ff8145dff7c (__TEXT,__text) non-external _delta_coder_end
00007ff8145e015b (__TEXT,__text) non-external _delta_decode
00007ff8145dffed (__TEXT,__text) non-external _delta_encode
00007ff8145e010a (__TEXT,__text) non-external _delta_encoder_update
00007ff8145e6950 (__TEXT,__const) non-external _delta_optmap
00007ff8145cb1ce (__TEXT,__text) non-external _encoder_find
00007ff8416dc080 (__DATA_CONST,__const) non-external _encoders
00007ff8145e2710 (__TEXT,__const) non-external _features
00007ff8145d99ad (__TEXT,__text) non-external _file_info_decode
00007ff8145da070 (__TEXT,__text) non-external _file_info_decoder_end
00007ff8145da0b0 (__TEXT,__text) non-external _file_info_decoder_memconfig
00007ff8416dc450 (__DATA_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00007ff8145d0480 (__TEXT,__text) non-external _get_literal_price
00007ff8145e136f (__TEXT,__text) non-external _get_options
00007ff8145e1d16 (__TEXT,__text) non-external _get_progress
00007ff8145df98d (__TEXT,__text) non-external _get_thread
00007ff8145d51f9 (__TEXT,__text) non-external _hash_append
00007ff8145d6f6a (__TEXT,__text) non-external _hc_find_func
00007ff8145e0b4a (__TEXT,__text) non-external _ia64_code
00007ff8145e8af0 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff8145d1ee8 (__TEXT,__text) non-external _index_cat_helper
00007ff8145d4bd9 (__TEXT,__text) non-external _index_decode
00007ff8145d4ec4 (__TEXT,__text) non-external _index_decoder_end
00007ff8145d4ee9 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff8145d0c99 (__TEXT,__text) non-external _index_encode
00007ff8145d1534 (__TEXT,__text) non-external _index_encoder_end
00007ff8145d158e (__TEXT,__text) non-external _index_stream_end
00007ff8145ca90f (__TEXT,__text) non-external _index_tree_append
00007ff8145d153e (__TEXT,__text) non-external _index_tree_node_end
00007ff8145cb951 (__TEXT,__text) non-external _is_options_valid
00007ff8145d10db (__TEXT,__text) non-external _iter_set_info
00007ff8145cb998 (__TEXT,__text) non-external _length_encoder_reset
00007ff8145cba6a (__TEXT,__text) non-external _length_update_prices
