00007ff84008b9d0 (__DATA,__data) external _NDR_record
00007ff80070319d (__TEXT,__text) non-external __Xexception_raise
00007ff800703245 (__TEXT,__text) non-external __Xexception_raise_state
00007ff800703337 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff8006f0960 (__TEXT,__text) external _____sigwait_nocancel
00007ff8007194f8 (__TEXT,__const) external ____kernelVersionNumber
00007ff8007194c0 (__TEXT,__const) external ____kernelVersionString
00007ff8006f0978 (__TEXT,__text) external ___abort_with_payload
00007ff8006f0990 (__TEXT,__text) external ___accept
00007ff8006f09a8 (__TEXT,__text) external ___accept_nocancel
00007ff8006f09c0 (__TEXT,__text) external ___access_extended
00007ff8006f09d8 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8006f09f0 (__TEXT,__text) external ___bind
00007ff8006f0a08 (__TEXT,__text) external ___bsdthread_create
00007ff8006f0a20 (__TEXT,__text) external ___bsdthread_ctl
00007ff8006f0a38 (__TEXT,__text) external ___bsdthread_register
00007ff8006f0a50 (__TEXT,__text) external ___bsdthread_terminate
00007ff8007024e2 (__TEXT,__text) external ___carbon_delete
00007ff8006f0a68 (__TEXT,__text) external ___channel_get_info
00007ff8006f0a80 (__TEXT,__text) external ___channel_get_opt
00007ff8006f0a98 (__TEXT,__text) external ___channel_open
00007ff8006f0ab0 (__TEXT,__text) external ___channel_set_opt
00007ff8006f0ac8 (__TEXT,__text) external ___channel_sync
00007ff8006f0ae0 (__TEXT,__text) external ___chmod
00007ff8006f0af8 (__TEXT,__text) external ___chmod_extended
00007ff8006f0b10 (__TEXT,__text) external ___close_nocancel
00007ff8006f0b28 (__TEXT,__text) external ___coalition
00007ff8006f0b40 (__TEXT,__text) external ___coalition_info
00007ff8006f0b58 (__TEXT,__text) external ___coalition_ledger
00007ff8006f61fa (__TEXT,__text) external ___commpage_gettimeofday
00007ff8006f6201 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8006f0b70 (__TEXT,__text) external ___connect
00007ff8006f0b88 (__TEXT,__text) external ___connect_nocancel
00007ff8006f0ba0 (__TEXT,__text) external ___copyfile
00007ff8006f0bb8 (__TEXT,__text) external ___crossarch_trap
00007ff8006f0bd0 (__TEXT,__text) external ___csrctl
