00007ffa1ef191b9 (__TEXT,__text) non-external -[BridgedAccountPageViewControllerFactory createAccountPageViewControllerFor:]
00007ffa1ef190ce (__TEXT,__text) non-external -[BridgedCampaignClickRecorder campaignClickErrorWithDescription:]
00007ffa1ef18950 (__TEXT,__text) non-external -[BridgedCampaignClickRecorder recordCampaignClickWithReportUrl:campaignUrl:]
00007ffa1ef191d2 (__TEXT,__text) non-external -[NPFamilySharingSetupPresenter presentFamilySharingSetupWith:]
                 (undefined) external _AMSError (from AppleMediaServices)
                 (undefined) external _AMSErrorDomain (from AppleMediaServices)
                 (undefined) external _AMSMarketingItemActionTypeBuy (from AppleMediaServices)
                 (undefined) external _AMSMarketingItemActionTypeCarrierLink (from AppleMediaServices)
                 (undefined) external _AMSMarketingItemActionTypeLink (from AppleMediaServices)
                 (undefined) external _ASDServerErrorDomain (from AppStoreDaemon)
                 (undefined) external _ASDSubscriptionEntitlementsNewsDidChangeNotification (from AppStoreDaemon)
                 (undefined) external _ASWebAuthenticationSessionErrorDomain (from AuthenticationServices)
                 (undefined) external _AVLayerVideoGravityResizeAspectFill (from AVFoundation)
00007ffa44542090 (__DATA,__data) external _BridgedCampaignClickErrorCode
00007ffa42b03ec0 (__DATA_CONST,__const) external _BridgedCampaignClickErrorDomain
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeTranslation (from CoreGraphics)
                 (undefined) external _CGAffineTransformRotate (from CoreGraphics)
                 (undefined) external _CGRectEqualToRect (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMaxY (from CoreGraphics)
                 (undefined) external _CGRectGetMidX (from CoreGraphics)
                 (undefined) external _CGRectGetMidY (from CoreGraphics)
                 (undefined) external _CGRectGetMinX (from CoreGraphics)
                 (undefined) external _CGRectGetMinY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CGRectIntegral (from CoreGraphics)
                 (undefined) external _CGRectIntersectsRect (from CoreGraphics)
                 (undefined) external _FCALaCarteSubscriptionMeteredCountMaximumLimit (from NewsCore)
                 (undefined) external _FCAlreadyPurchasedErrorCode (from NewsCore)
                 (undefined) external _FCBundleSubscriptionMeteredCountMaximumLimit (from NewsCore)
                 (undefined) external _FCBundleSubscriptionTagID (from NewsCore)
                 (undefined) external _FCDefaultsSuiteName (from NewsCore)
                 (undefined) external _FCDiagnosticsLog (from NewsCore)
                 (undefined) external _FCEntitlementsTimedOutErrorCode (from NewsCore)
                 (undefined) external _FCForYouFeedIdentifier (from NewsCore)
                 (undefined) external _FCOngoingPurchaseErrorCode (from NewsCore)
                 (undefined) external _FCOperationPurposeArticle (from NewsCore)
                 (undefined) external _FCOperationPurposePaywall (from NewsCore)
                 (undefined) external _FCPaymentRestrictedErrorCode (from NewsCore)
                 (undefined) external _FCPaywallConfigsOfferTypeOverride (from NewsCore)
                 (undefined) external _FCPurchaseAddedNotificationName (from NewsCore)
                 (undefined) external _FCPurchaseErrorDomain (from NewsCore)
                 (undefined) external _FCSimulateEntitlementsCacheExpired (from NewsCore)
                 (undefined) external _FCSubscriptionLinkTargetTypeOverride (from NewsCore)
                 (undefined) external _FCSubscriptionMeteredCountDuration (from NewsCore)
                 (undefined) external _FCTokenVerificationDuration (from NewsCore)
                 (undefined) external _FCTokenVerificationGracePeriod (from NewsCore)
                 (undefined) external _FCWebAuthenticationLocalServerIPAddress (from NewsCore)
                 (undefined) external _FCWidgetModeGroupIDPathComponent (from NewsCore)
                 (undefined) external _NFInternalBuild (from NewsFoundation)
                 (undefined) external _NFStoreDemoMode (from NewsFoundation)
                 (undefined) external _NSFontAttributeName (from AppKit)
                 (undefined) external _NSForegroundColorAttributeName (from AppKit)
                 (undefined) external _NSKernAttributeName (from AppKit)
                 (undefined) external _NSLinkAttributeName (from AppKit)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSParagraphStyleAttributeName (from AppKit)
                 (undefined) external _NSSearchPathForDirectoriesInDomains (from Foundation)
                 (undefined) external _NSURLSessionTaskPriorityHigh (from Foundation)
                 (undefined) external _NSUserActivityTypeBrowsingWeb (from Foundation)
                 (undefined) external _NewsCoreUserDefaults (from NewsCore)
00007ffa1f063690 (__TEXT,__const) external _NewsSubscriptionVersionNumber
00007ffa1f063660 (__TEXT,__const) external _NewsSubscriptionVersionString
                 (undefined) external _OBJC_CLASS_$_ACAccountStore (from Accounts)
                 (undefined) external _OBJC_CLASS_$_AKAccountManager (from AuthKit)
                 (undefined) external _OBJC_CLASS_$_AMSAuthenticateOptions (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSAuthenticateResult (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSBag (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSBagKeySet (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSBuyParams (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSCampaignAttributionTask (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSCarrierLinkResult (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSMarketingItem (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSMarketingItemAction (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSMarketingItemTask (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSMutableBagKeySet (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSProcessInfo (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSPurchase (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSPurchaseResult (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSUIAlertDialogTask (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIAuthenticateTask (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIDynamicViewController (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIEngagementTask (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIMarketingItemViewController (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIMessageGroup (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIPurchaseTask (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSUIWebViewController (from AppleMediaServicesUI)
                 (undefined) external _OBJC_CLASS_$_AMSURLParser (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSURLRequestEncoder (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSURLResult (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_AMSURLSession (from AppleMediaServices)
                 (undefined) external _OBJC_CLASS_$_ASDSubscriptionEntitlement (from AppStoreDaemon)
                 (undefined) external _OBJC_CLASS_$_ASWebAuthenticationSession (from AuthenticationServices)
                 (undefined) external _OBJC_CLASS_$_AVPlayer (from AVFoundation)
00007ffa431b1cc8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_BridgedAccountPageViewControllerFactory
00007ffa431b2070 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_BridgedCampaignClickRecorder
                 (undefined) external _OBJC_CLASS_$_FCAMSBag (from NewsCore)
                 (undefined) external _OBJC_CLASS_$_FCAppleAccount (from NewsCore)
