00000001900cc998 (__TEXT,__const) non-external _KW_ANY
00000001900cc91d (__TEXT,__const) non-external _KW_ATTLIST
00000001900cc94b (__TEXT,__const) non-external _KW_CDATA
00000001900cc900 (__TEXT,__const) non-external _KW_DOCTYPE
00000001900cc925 (__TEXT,__const) non-external _KW_ELEMENT
00000001900cc992 (__TEXT,__const) non-external _KW_EMPTY
00000001900cc961 (__TEXT,__const) non-external _KW_ENTITIES
00000001900cc916 (__TEXT,__const) non-external _KW_ENTITY
00000001900cc98c (__TEXT,__const) non-external _KW_FIXED
00000001900cc951 (__TEXT,__const) non-external _KW_ID
00000001900cc954 (__TEXT,__const) non-external _KW_IDREF
00000001900cc95a (__TEXT,__const) non-external _KW_IDREFS
00000001900cc93e (__TEXT,__const) non-external _KW_IGNORE
00000001900cc97b (__TEXT,__const) non-external _KW_IMPLIED
00000001900cc936 (__TEXT,__const) non-external _KW_INCLUDE
00000001900cd0a8 (__TEXT,__const) non-external _KW_ISO_8859_1
00000001900cc945 (__TEXT,__const) non-external _KW_NDATA
00000001900cc96a (__TEXT,__const) non-external _KW_NMTOKEN
00000001900cc972 (__TEXT,__const) non-external _KW_NMTOKENS
00000001900cc92d (__TEXT,__const) non-external _KW_NOTATION
00000001900cc99c (__TEXT,__const) non-external _KW_PCDATA
00000001900cc90f (__TEXT,__const) non-external _KW_PUBLIC
00000001900cc983 (__TEXT,__const) non-external _KW_REQUIRED
00000001900cc908 (__TEXT,__const) non-external _KW_SYSTEM
00000001900cd0b3 (__TEXT,__const) non-external _KW_US_ASCII
00000001900cd0c2 (__TEXT,__const) non-external _KW_UTF_16
00000001900cd0c9 (__TEXT,__const) non-external _KW_UTF_16BE
00000001900cd0d2 (__TEXT,__const) non-external _KW_UTF_16LE
00000001900cd0bc (__TEXT,__const) non-external _KW_UTF_8
00000001900cd0e9 (__TEXT,__const) non-external _KW_encoding
00000001900cd101 (__TEXT,__const) non-external _KW_no
00000001900cd0f2 (__TEXT,__const) non-external _KW_standalone
00000001900cd0e1 (__TEXT,__const) non-external _KW_version
00000001900cd0fd (__TEXT,__const) non-external _KW_yes
00000001900b66fc (__TEXT,__text) external _XML_DefaultCurrent
00000001900b682c (__TEXT,__text) external _XML_ErrorString
00000001900b6850 (__TEXT,__text) external _XML_ExpatVersion
00000001900b685c (__TEXT,__text) external _XML_ExpatVersionInfo
00000001900b4ec0 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00000001900b66a8 (__TEXT,__text) external _XML_FreeContentModel
00000001900b5b44 (__TEXT,__text) external _XML_GetBase
00000001900b5ed8 (__TEXT,__text) external _XML_GetBuffer
00000001900b658c (__TEXT,__text) external _XML_GetCurrentByteCount
00000001900b6568 (__TEXT,__text) external _XML_GetCurrentByteIndex
00000001900b6650 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00000001900b65f4 (__TEXT,__text) external _XML_GetCurrentLineNumber
00000001900b6554 (__TEXT,__text) external _XML_GetErrorCode
00000001900b686c (__TEXT,__text) external _XML_GetFeatureList
00000001e8745b48 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00000001900b5b64 (__TEXT,__text) external _XML_GetIdAttributeIndex
00000001900b65b4 (__TEXT,__text) external _XML_GetInputContext
00000001900b6530 (__TEXT,__text) external _XML_GetParsingStatus
00000001900cc624 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00000001900b5b50 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00000001900b66e8 (__TEXT,__text) external _XML_MemFree
00000001900b66bc (__TEXT,__text) external _XML_MemMalloc
00000001900b66d0 (__TEXT,__text) external _XML_MemRealloc
00000001900b5d3c (__TEXT,__text) external _XML_Parse
00000001900cc5cc (__TEXT,__text) non-external _XML_Parse.cold.1
00000001900b6110 (__TEXT,__text) external _XML_ParseBuffer
00000001900b45f0 (__TEXT,__text) external _XML_ParserCreate
00000001900b4608 (__TEXT,__text) external _XML_ParserCreateNS
00000001900b4600 (__TEXT,__text) external _XML_ParserCreate_MM
00000001900b55a0 (__TEXT,__text) external _XML_ParserFree
00000001900b48a8 (__TEXT,__text) external _XML_ParserReset
00000001900b6444 (__TEXT,__text) external _XML_ResumeParser
00000001900b5cbc (__TEXT,__text) external _XML_SetAttlistDeclHandler
00000001900b5a90 (__TEXT,__text) external _XML_SetBase
00000001900b68a8 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00000001900b6878 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00000001900b5bc0 (__TEXT,__text) external _XML_SetCdataSectionHandler
00000001900b5b9c (__TEXT,__text) external _XML_SetCharacterDataHandler
00000001900b5bb4 (__TEXT,__text) external _XML_SetCommentHandler
00000001900b5be4 (__TEXT,__text) external _XML_SetDefaultHandler
00000001900b5bf4 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00000001900b5c08 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00000001900b5cb0 (__TEXT,__text) external _XML_SetElementDeclHandler
00000001900b5b78 (__TEXT,__text) external _XML_SetElementHandler
00000001900b4de8 (__TEXT,__text) external _XML_SetEncoding
00000001900b5bd8 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00000001900b5c20 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00000001900b5b90 (__TEXT,__text) external _XML_SetEndElementHandler
00000001900b5c5c (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00000001900b5cc8 (__TEXT,__text) external _XML_SetEntityDeclHandler
00000001900b5c74 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00000001900b5c80 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00000001900b5d08 (__TEXT,__text) external _XML_SetHashSalt
00000001900b5c44 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00000001900b5c68 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00000001900b5c38 (__TEXT,__text) external _XML_SetNotationDeclHandler
00000001900b5ce0 (__TEXT,__text) external _XML_SetParamEntityParsing
00000001900b5ba8 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00000001900b68c8 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00000001900b5a4c (__TEXT,__text) external _XML_SetReturnNSTriplet
00000001900b5c94 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00000001900b5bcc (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00000001900b5c14 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00000001900b5b84 (__TEXT,__text) external _XML_SetStartElementHandler
00000001900b5c50 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00000001900b5ca0 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00000001900b5c2c (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00000001900b5a70 (__TEXT,__text) external _XML_SetUserData
00000001900b5cd4 (__TEXT,__text) external _XML_SetXmlDeclHandler
00000001900b63a4 (__TEXT,__text) external _XML_StopParser
00000001900cc5f8 (__TEXT,__text) non-external _XML_StopParser.cold.1
00000001900b5a18 (__TEXT,__text) external _XML_UseForeignDTD
00000001900b5a0c (__TEXT,__text) external _XML_UseParserAsHandlerArg
00000001900c0144 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00000001900c06d8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00000001900c0138 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00000001900c06cc (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00000001900c0150 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00000001900c06e4 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00000001900bfba8 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00000001900c08fc (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00000001900c027c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00000001900c07a0 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00000001900bda58 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
