00007ffa42c6f970 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa42c6f8b0 (__DATA,__data) non-external _TIMEOUT
00007ffa42c6f8c0 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffa0fff20d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa0fff20f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffa0ffee6ca (__TEXT,__text) non-external __buf
00007ffa0fffcf3a (__TEXT,__text) non-external __buf.cold.1
00007ffa0fffcfe1 (__TEXT,__text) non-external __buf.cold.2
00007ffa0ffee5a8 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffa0fffcd45 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffa0fffcdec (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffa0fff2c26 (__TEXT,__text) external __newrpclib__authenticate
00007ffa0fffda44 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffa0fffdae1 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffa0fffdb8f (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffa42c6faa0 (__DATA,__common) external __newrpclib__null_auth
00007ffa0fff28d5 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffa0ffecda8 (__TEXT,__text) external __newrpclib_authnone_create
00007ffa0fffc815 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffa0ffecf0a (__TEXT,__text) external __newrpclib_authunix_create
00007ffa0fffc8bc (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffa0fffc96a (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffa0fffca18 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffa0fffcab3 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffa0ffed261 (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffa0fffcbe9 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffa0fffcc97 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffa0ffecba0 (__TEXT,__text) external __newrpclib_callrpc
00007ffa0fff1e16 (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffa0ffed8ae (__TEXT,__text) external __newrpclib_clnt_create
00007ffa0ffed696 (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffa0ffed9ff (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffa0ffeecf5 (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffa0ffeea5d (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffa0ffee970 (__TEXT,__text) external __newrpclib_clnt_perror
00007ffa0ffeea9f (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffa0ffeea2b (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffa0ffee691 (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffa0ffeed81 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffa0fffd12f (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffa0ffefddf (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffa0fffd87c (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffa0ffefcbf (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffa0fffd746 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffa0ffefd4e (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffa0fffd7e1 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffa0fff0756 (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffa0fff07ac (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffa0fff032c (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffa0fff0796 (__TEXT,__text) external __newrpclib_clntudp_create
00007ffa0fff07de (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffa0fff0e54 (__TEXT,__text) external __newrpclib_getrpcport
00007ffa0fff9a33 (__TEXT,__text) external __newrpclib_netid2socparms
00007ffa0fff1baa (__TEXT,__text) external __newrpclib_pmap_callit
00007ffa0fff0eec (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffa0fff112c (__TEXT,__text) external __newrpclib_pmap_getport
00007ffa0fff113c (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffa0fff1fb1 (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffa0fff114c (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffa0fffa586 (__TEXT,__text) external __newrpclib_pmap_set
00007ffa0fffa68e (__TEXT,__text) external __newrpclib_pmap_unset
00007ffa0fff137d (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffa0fffa8c7 (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffa0fffa886 (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffa0fffa841 (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffa0fffa787 (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffa0fffa7b7 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffa0fffa7fc (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffa0fff3730 (__TEXT,__text) external __newrpclib_registerrpc
00007ffa0fffde0a (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffa0fffdea5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffa0fffdf40 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffa0fffdfe5 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffa42c6f958 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffa0fff24d8 (__TEXT,__text) external __newrpclib_rpc_control
00007ffa0fffd9b0 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffa42c6fa98 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffa42c6f858 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffa0fff1470 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffa0fffc19e (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffa0fffc1be (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffa0fffba06 (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffa100012e3 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffa0fffc1ae (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffa0fffc0e9 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffa0fff1e20 (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffa0fffc2dc (__TEXT,__text) external __newrpclib_rpcb_set
00007ffa0fffc592 (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffa0fffac5a (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffa0fffaa25 (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffa0fffa9e4 (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffa0fffac19 (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffa0fffa99e (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffa0fffabd3 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffa0fffae11 (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffa0fffae57 (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffa0fffaa72 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffa0fffaca7 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffa0fffad7e (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffa0fffadc4 (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffa0fffa914 (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffa0fffab49 (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffa0fffab03 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffa0fffad38 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffa0fffaab2 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007ffa0ffface7 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007ffa0fffa959 (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007ffa0fffab8e (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007ffa0fff9df4 (__TEXT,__text) external __newrpclib_sa2uaddr
00007ffa0ffed24d (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007ffa0fff9972 (__TEXT,__text) external __newrpclib_socparms2netid
00007ffa0fff708b (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007ffa10000a5e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007ffa10000af2 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007ffa10000ba0 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007ffa0fff3697 (__TEXT,__text) external __newrpclib_svc_exit
00007ffa0fff719c (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007ffa0fff718e (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007ffa0fff7181 (__TEXT,__text) external __newrpclib_svc_getnetid
00007ffa0fff6c7d (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007ffa0fff3317 (__TEXT,__text) external __newrpclib_svc_pollnext
00007ffa0fffdd5a (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007ffa0fff608e (__TEXT,__text) external __newrpclib_svc_register
00007ffa0fff648d (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007ffa0fff2e46 (__TEXT,__text) external __newrpclib_svc_run
00007ffa0fff63fc (__TEXT,__text) external __newrpclib_svc_sendreply
00007ffa0fff61ac (__TEXT,__text) external __newrpclib_svc_unregister
