00007ffa17af1a80 (__TEXT,__text) external _ARMCompilationCallback
00007ffa17af1a90 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa1821f860 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa1821f940 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa1821f770 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa1821fb00 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa1821fe50 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa18220290 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa18220080 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa18220070 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa4382bd88 (__DATA,__common) external _EnableARMEHABI
00007ffa4382bac8 (__DATA,__common) external _EnableARMLongCalls
00007ffa4382b850 (__DATA,__common) external _ForceStackAlign
00007ffa1801ac60 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa1801ac10 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa17e60b80 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa18050100 (__TEXT,__text) external _LLVMAddAlias
00007ffa177fe420 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa1801e420 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa177fe330 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa180507b0 (__TEXT,__text) external _LLVMAddAttribute
00007ffa1781f4e0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa17e61170 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa17e60bb0 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa18051c90 (__TEXT,__text) external _LLVMAddCase
00007ffa18051cb0 (__TEXT,__text) external _LLVMAddClause
00007ffa177fe360 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa17e61050 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa17e610e0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa177fe390 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa17e60be0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffa17e61080 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffa18051ca0 (__TEXT,__text) external _LLVMAddDestination
00007ffa17e61110 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffa18050170 (__TEXT,__text) external _LLVMAddFunction
00007ffa18050330 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffa177fe3c0 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffa177fe3f0 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffa17e60c40 (__TEXT,__text) external _LLVMAddGVNPass
00007ffa1804fdf0 (__TEXT,__text) external _LLVMAddGlobal
00007ffa177fe450 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffa1804fe70 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffa17899690 (__TEXT,__text) external _LLVMAddGlobalMapping
00007ffa177fe480 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffa177fe4b0 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffa177fe510 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffa180510f0 (__TEXT,__text) external _LLVMAddIncoming
00007ffa17e60c70 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffa18050e60 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffa17e60ca0 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffa177fe540 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffa17e60cd0 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffa17e60d00 (__TEXT,__text) external _LLVMAddLICMPass
00007ffa17e60d30 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffa17e60d60 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffa17e60dc0 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffa17e60d90 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffa17e60df0 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffa17e60e30 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffa1781f520 (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffa17e611a0 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffa17e60e60 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffa178995c0 (__TEXT,__text) external _LLVMAddModule
00007ffa178995d0 (__TEXT,__text) external _LLVMAddModuleProvider
00007ffa1804f2d0 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffa17e60e90 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffa17e60ec0 (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffa177fe4e0 (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffa17e60ef0 (__TEXT,__text) external _LLVMAddReassociatePass
00007ffa17e60f20 (__TEXT,__text) external _LLVMAddSCCPPass
00007ffa1781f550 (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffa17e60f50 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffa17e60f90 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffa17e60fd0 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffa17e60c10 (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffa17e61010 (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffa177fe5b0 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffa177fe5e0 (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffa17e61020 (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffa1801a8b0 (__TEXT,__text) external _LLVMAddTargetData
00007ffa180503e0 (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffa1801a900 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
