                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000020ce95f80 (__TEXT,__text) external _apr__SHA256_Data
000000020ce95eb4 (__TEXT,__text) external _apr__SHA256_End
000000020ce95d9c (__TEXT,__text) external _apr__SHA256_Final
000000020ce95a3c (__TEXT,__text) external _apr__SHA256_Init
000000020ce95a6c (__TEXT,__text) external _apr__SHA256_Transform
000000020ce95cb8 (__TEXT,__text) external _apr__SHA256_Update
000000020ce8d338 (__TEXT,__text) external _apr_allocator_alloc
000000020ce8d1c4 (__TEXT,__text) external _apr_allocator_create
000000020ce8d224 (__TEXT,__text) external _apr_allocator_destroy
000000020ce8d504 (__TEXT,__text) external _apr_allocator_free
000000020ce8d2b0 (__TEXT,__text) external _apr_allocator_max_free_set
000000020ce8d298 (__TEXT,__text) external _apr_allocator_mutex_get
000000020ce8d290 (__TEXT,__text) external _apr_allocator_mutex_set
000000020ce8d2a8 (__TEXT,__text) external _apr_allocator_owner_get
000000020ce8d2a0 (__TEXT,__text) external _apr_allocator_owner_set
000000020ce8fa80 (__TEXT,__text) external _apr_app_initialize
000000020ce8692c (__TEXT,__text) external _apr_array_append
000000020ce86754 (__TEXT,__text) external _apr_array_cat
000000020ce8666c (__TEXT,__text) external _apr_array_clear
000000020ce86834 (__TEXT,__text) external _apr_array_copy
000000020ce868e4 (__TEXT,__text) external _apr_array_copy_hdr
000000020ce865ec (__TEXT,__text) external _apr_array_make
000000020ce86674 (__TEXT,__text) external _apr_array_pop
000000020ce86990 (__TEXT,__text) external _apr_array_pstrcat
000000020ce866a0 (__TEXT,__text) external _apr_array_push
000000020ce84870 (__TEXT,__text) external _apr_atoi64
000000020ce88180 (__TEXT,__text) external _apr_atomic_add32
000000020ce881b0 (__TEXT,__text) external _apr_atomic_cas32
000000020ce881c8 (__TEXT,__text) external _apr_atomic_casptr
000000020ce881a0 (__TEXT,__text) external _apr_atomic_dec32
000000020ce88194 (__TEXT,__text) external _apr_atomic_inc32
000000020ce88168 (__TEXT,__text) external _apr_atomic_init
000000020ce88170 (__TEXT,__text) external _apr_atomic_read32
000000020ce88178 (__TEXT,__text) external _apr_atomic_set32
000000020ce88188 (__TEXT,__text) external _apr_atomic_sub32
000000020ce881bc (__TEXT,__text) external _apr_atomic_xchg32
000000020ce881d4 (__TEXT,__text) external _apr_atomic_xchgptr
