00007ffb043a35c3 (__TEXT,__text) external _CGLGetCurrentContext
00007ffb043a35a6 (__TEXT,__text) external _CGLSetCurrentContext
00007ffb04399450 (__TEXT,__text) external _glAccum
00007ffb0439f79a (__TEXT,__text) external _glActiveShaderProgram
00007ffb043a1eac (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffb0439c29f (__TEXT,__text) external _glActiveTexture
00007ffb043a0baf (__TEXT,__text) external _glActiveTextureARB
00007ffb04399469 (__TEXT,__text) external _glAlphaFunc
00007ffb04399482 (__TEXT,__text) external _glAreTexturesResident
00007ffb043994a1 (__TEXT,__text) external _glArrayElement
00007ffb043a1702 (__TEXT,__text) external _glAttachObjectARB
00007ffb0439d693 (__TEXT,__text) external _glAttachShader
00007ffb043994ba (__TEXT,__text) external _glBegin
00007ffb0439e27c (__TEXT,__text) external _glBeginConditionalRender
00007ffb043a34b7 (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffb0439ce60 (__TEXT,__text) external _glBeginQuery
00007ffb043a142b (__TEXT,__text) external _glBeginQueryARB
00007ffb0439f56f (__TEXT,__text) external _glBeginQueryIndexed
00007ffb0439e18e (__TEXT,__text) external _glBeginTransformFeedback
00007ffb043a26f2 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffb0439db5c (__TEXT,__text) external _glBindAttribLocation
00007ffb043a1b3e (__TEXT,__text) external _glBindAttribLocationARB
00007ffb0439cf00 (__TEXT,__text) external _glBindBuffer
00007ffb043a14cb (__TEXT,__text) external _glBindBufferARB
00007ffb0439e1e8 (__TEXT,__text) external _glBindBufferBase
00007ffb043a26d1 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffb043a26ad (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffb0439e1c1 (__TEXT,__text) external _glBindBufferRange
00007ffb043a2686 (__TEXT,__text) external _glBindBufferRangeEXT
00007ffb0439e5c6 (__TEXT,__text) external _glBindFragDataLocation
00007ffb043a2c42 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffb0439ecc9 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffb0439de0c (__TEXT,__text) external _glBindFramebuffer
00007ffb043a241c (__TEXT,__text) external _glBindFramebufferEXT
00007ffb043a025d (__TEXT,__text) external _glBindProgramARB
00007ffb0439f7da (__TEXT,__text) external _glBindProgramPipeline
00007ffb0439dd4e (__TEXT,__text) external _glBindRenderbuffer
00007ffb043a235e (__TEXT,__text) external _glBindRenderbufferEXT
00007ffb0439ed66 (__TEXT,__text) external _glBindSampler
00007ffb043994d3 (__TEXT,__text) external _glBindTexture
00007ffb0439f48a (__TEXT,__text) external _glBindTransformFeedback
00007ffb0439e053 (__TEXT,__text) external _glBindVertexArray
00007ffb043a3166 (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffb043994ee (__TEXT,__text) external _glBitmap
00007ffb0439bc6b (__TEXT,__text) external _glBlendColor
