                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormatAndArguments (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
                 (undefined) external _CFURLCopyScheme (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
000000019487428c (__TEXT,__text) external _CMCloneProfileRef
00000001948750a4 (__TEXT,__text) non-external _CMCloneProfileRef.cold.1
00000001e9bffa68 (__DATA,__bss) non-external _CMCloneProfileRef.predicate
0000000194874220 (__TEXT,__text) external _CMCloseProfile
0000000194875090 (__TEXT,__text) non-external _CMCloseProfile.cold.1
00000001e9bffa60 (__DATA,__bss) non-external _CMCloseProfile.predicate
00000001948741b4 (__TEXT,__text) external _CMConvertDoubleXYZToD50
000000019487507c (__TEXT,__text) non-external _CMConvertDoubleXYZToD50.cold.1
00000001e9bffa58 (__DATA,__bss) non-external _CMConvertDoubleXYZToD50.predicate
0000000194874148 (__TEXT,__text) external _CMConvertRGBFloatBitmap
0000000194875068 (__TEXT,__text) non-external _CMConvertRGBFloatBitmap.cold.1
00000001e9bffa50 (__DATA,__bss) non-external _CMConvertRGBFloatBitmap.predicate
00000001948740dc (__TEXT,__text) external _CMConvertXYZFloatBitmap
0000000194875054 (__TEXT,__text) non-external _CMConvertXYZFloatBitmap.cold.1
00000001e9bffa48 (__DATA,__bss) non-external _CMConvertXYZFloatBitmap.predicate
0000000194874064 (__TEXT,__text) external _CMCopyProfile
0000000194875040 (__TEXT,__text) non-external _CMCopyProfile.cold.1
00000001e9bffa40 (__DATA,__bss) non-external _CMCopyProfile.predicate
0000000194873ff0 (__TEXT,__text) external _CMCopyProfileDescriptionString
000000019487502c (__TEXT,__text) non-external _CMCopyProfileDescriptionString.cold.1
00000001e9bffa38 (__DATA,__bss) non-external _CMCopyProfileDescriptionString.predicate
0000000194873f7c (__TEXT,__text) external _CMCopyProfileLocalizedString
0000000194875018 (__TEXT,__text) non-external _CMCopyProfileLocalizedString.cold.1
00000001e9bffa30 (__DATA,__bss) non-external _CMCopyProfileLocalizedString.predicate
0000000194873f08 (__TEXT,__text) external _CMCopyProfileLocalizedStringDictionary
0000000194875004 (__TEXT,__text) non-external _CMCopyProfileLocalizedStringDictionary.cold.1
00000001e9bffa28 (__DATA,__bss) non-external _CMCopyProfileLocalizedStringDictionary.predicate
0000000194873e94 (__TEXT,__text) external _CMCountProfileElements
0000000194874ff0 (__TEXT,__text) non-external _CMCountProfileElements.cold.1
00000001e9bffa20 (__DATA,__bss) non-external _CMCountProfileElements.predicate
0000000194873e08 (__TEXT,__text) external _CMFloatBitmapMakeChunky
0000000194874fdc (__TEXT,__text) non-external _CMFloatBitmapMakeChunky.cold.1
00000001e9bffa18 (__DATA,__bss) non-external _CMFloatBitmapMakeChunky.predicate
0000000194873d9c (__TEXT,__text) external _CMGetColorSyncVersion
0000000194874fc8 (__TEXT,__text) non-external _CMGetColorSyncVersion.cold.1
00000001e9bffa10 (__DATA,__bss) non-external _CMGetColorSyncVersion.predicate
0000000194873d30 (__TEXT,__text) external _CMGetDefaultDevice
0000000194874fb4 (__TEXT,__text) non-external _CMGetDefaultDevice.cold.1
00000001e9bffa08 (__DATA,__bss) non-external _CMGetDefaultDevice.predicate
0000000194873cc4 (__TEXT,__text) external _CMGetDefaultProfileBySpace
0000000194874fa0 (__TEXT,__text) non-external _CMGetDefaultProfileBySpace.cold.1
00000001e9bffa00 (__DATA,__bss) non-external _CMGetDefaultProfileBySpace.predicate
0000000194873c58 (__TEXT,__text) external _CMGetDefaultProfileByUse
0000000194874f8c (__TEXT,__text) non-external _CMGetDefaultProfileByUse.cold.1
00000001e9bff9f8 (__DATA,__bss) non-external _CMGetDefaultProfileByUse.predicate
0000000194873bec (__TEXT,__text) external _CMGetDeviceDefaultProfileID
0000000194874f78 (__TEXT,__text) non-external _CMGetDeviceDefaultProfileID.cold.1
00000001e9bff9f0 (__DATA,__bss) non-external _CMGetDeviceDefaultProfileID.predicate
0000000194873b80 (__TEXT,__text) external _CMGetDeviceFactoryProfiles
0000000194874f64 (__TEXT,__text) non-external _CMGetDeviceFactoryProfiles.cold.1
00000001e9bff9e8 (__DATA,__bss) non-external _CMGetDeviceFactoryProfiles.predicate
0000000194873b14 (__TEXT,__text) external _CMGetDeviceInfo
0000000194874f50 (__TEXT,__text) non-external _CMGetDeviceInfo.cold.1
00000001e9bff9e0 (__DATA,__bss) non-external _CMGetDeviceInfo.predicate
0000000194873aa8 (__TEXT,__text) external _CMGetDeviceProfile
0000000194874f3c (__TEXT,__text) non-external _CMGetDeviceProfile.cold.1
00000001e9bff9d8 (__DATA,__bss) non-external _CMGetDeviceProfile.predicate
0000000194873a3c (__TEXT,__text) external _CMGetDeviceState
0000000194874f28 (__TEXT,__text) non-external _CMGetDeviceState.cold.1
00000001e9bff9d0 (__DATA,__bss) non-external _CMGetDeviceState.predicate
00000001948739d0 (__TEXT,__text) external _CMGetDeviceTrackingByUse
0000000194874f14 (__TEXT,__text) non-external _CMGetDeviceTrackingByUse.cold.1
00000001e9bff9c8 (__DATA,__bss) non-external _CMGetDeviceTrackingByUse.predicate
0000000194873964 (__TEXT,__text) external _CMGetGammaByAVID
0000000194874f00 (__TEXT,__text) non-external _CMGetGammaByAVID.cold.1
00000001e9bff9c0 (__DATA,__bss) non-external _CMGetGammaByAVID.predicate
00000001948738f0 (__TEXT,__text) external _CMGetIndNamedColorValue
0000000194874eec (__TEXT,__text) non-external _CMGetIndNamedColorValue.cold.1
00000001e9bff9b8 (__DATA,__bss) non-external _CMGetIndNamedColorValue.predicate
000000019487387c (__TEXT,__text) external _CMGetIndProfileElement
0000000194874ed8 (__TEXT,__text) non-external _CMGetIndProfileElement.cold.1
00000001e9bff9b0 (__DATA,__bss) non-external _CMGetIndProfileElement.predicate
0000000194873808 (__TEXT,__text) external _CMGetIndProfileElementInfo
0000000194874ec4 (__TEXT,__text) non-external _CMGetIndProfileElementInfo.cold.1
00000001e9bff9a8 (__DATA,__bss) non-external _CMGetIndProfileElementInfo.predicate
0000000194873794 (__TEXT,__text) external _CMGetNamedColorIndex
0000000194874eb0 (__TEXT,__text) non-external _CMGetNamedColorIndex.cold.1
00000001e9bff9a0 (__DATA,__bss) non-external _CMGetNamedColorIndex.predicate
0000000194873720 (__TEXT,__text) external _CMGetNamedColorInfo
0000000194874e9c (__TEXT,__text) non-external _CMGetNamedColorInfo.cold.1
00000001e9bff998 (__DATA,__bss) non-external _CMGetNamedColorInfo.predicate
00000001948736ac (__TEXT,__text) external _CMGetNamedColorName
0000000194874e88 (__TEXT,__text) non-external _CMGetNamedColorName.cold.1
00000001e9bff990 (__DATA,__bss) non-external _CMGetNamedColorName.predicate
0000000194873638 (__TEXT,__text) external _CMGetNamedColorValue
0000000194874e74 (__TEXT,__text) non-external _CMGetNamedColorValue.cold.1
00000001e9bff988 (__DATA,__bss) non-external _CMGetNamedColorValue.predicate
00000001948735a8 (__TEXT,__text) external _CMGetPS2ColorRendering
0000000194874e60 (__TEXT,__text) non-external _CMGetPS2ColorRendering.cold.1
00000001e9bff980 (__DATA,__bss) non-external _CMGetPS2ColorRendering.predicate
0000000194873534 (__TEXT,__text) external _CMGetPS2ColorRenderingIntent
0000000194874e4c (__TEXT,__text) non-external _CMGetPS2ColorRenderingIntent.cold.1
00000001e9bff978 (__DATA,__bss) non-external _CMGetPS2ColorRenderingIntent.predicate
00000001948734a4 (__TEXT,__text) external _CMGetPS2ColorRenderingVMSize
0000000194874e38 (__TEXT,__text) non-external _CMGetPS2ColorRenderingVMSize.cold.1
00000001e9bff970 (__DATA,__bss) non-external _CMGetPS2ColorRenderingVMSize.predicate
0000000194873430 (__TEXT,__text) external _CMGetPS2ColorSpace
0000000194874e24 (__TEXT,__text) non-external _CMGetPS2ColorSpace.cold.1
00000001e9bff968 (__DATA,__bss) non-external _CMGetPS2ColorSpace.predicate
00000001948733bc (__TEXT,__text) external _CMGetPartialProfileElement
0000000194874e10 (__TEXT,__text) non-external _CMGetPartialProfileElement.cold.1
00000001e9bff960 (__DATA,__bss) non-external _CMGetPartialProfileElement.predicate
0000000194873350 (__TEXT,__text) external _CMGetProfileByAVID
0000000194874dfc (__TEXT,__text) non-external _CMGetProfileByAVID.cold.1
00000001e9bff958 (__DATA,__bss) non-external _CMGetProfileByAVID.predicate
00000001948732dc (__TEXT,__text) external _CMGetProfileDescriptions
0000000194874de8 (__TEXT,__text) non-external _CMGetProfileDescriptions.cold.1
00000001e9bff950 (__DATA,__bss) non-external _CMGetProfileDescriptions.predicate
0000000194873268 (__TEXT,__text) external _CMGetProfileElement
0000000194874dd4 (__TEXT,__text) non-external _CMGetProfileElement.cold.1
00000001e9bff948 (__DATA,__bss) non-external _CMGetProfileElement.predicate
00000001948731f4 (__TEXT,__text) external _CMGetProfileGamma
0000000194874dc0 (__TEXT,__text) non-external _CMGetProfileGamma.cold.1
00000001e9bff940 (__DATA,__bss) non-external _CMGetProfileGamma.predicate
0000000194873180 (__TEXT,__text) external _CMGetProfileHeader
0000000194874dac (__TEXT,__text) non-external _CMGetProfileHeader.cold.1
00000001e9bff938 (__DATA,__bss) non-external _CMGetProfileHeader.predicate
0000000194873114 (__TEXT,__text) external _CMGetProfileLocation
0000000194874d98 (__TEXT,__text) non-external _CMGetProfileLocation.cold.1
00000001e9bff930 (__DATA,__bss) non-external _CMGetProfileLocation.predicate
00000001948730a0 (__TEXT,__text) external _CMGetProfileMD5
0000000194874d84 (__TEXT,__text) non-external _CMGetProfileMD5.cold.1
00000001e9bff928 (__DATA,__bss) non-external _CMGetProfileMD5.predicate
000000019487302c (__TEXT,__text) external _CMGetProfileRefCount
0000000194874d70 (__TEXT,__text) non-external _CMGetProfileRefCount.cold.1
00000001e9bff920 (__DATA,__bss) non-external _CMGetProfileRefCount.predicate
0000000194872fb8 (__TEXT,__text) external _CMGetProfileTransformInfo
0000000194874d5c (__TEXT,__text) non-external _CMGetProfileTransformInfo.cold.1
00000001e9bff918 (__DATA,__bss) non-external _CMGetProfileTransformInfo.predicate
0000000194872f4c (__TEXT,__text) external _CMGetSystemProfile
0000000194874d48 (__TEXT,__text) non-external _CMGetSystemProfile.cold.1
00000001e9bff910 (__DATA,__bss) non-external _CMGetSystemProfile.predicate
0000000194872ee0 (__TEXT,__text) external _CMGetSystemProfileAVID
0000000194874d34 (__TEXT,__text) non-external _CMGetSystemProfileAVID.cold.1
00000001e9bff908 (__DATA,__bss) non-external _CMGetSystemProfileAVID.predicate
0000000194872e74 (__TEXT,__text) external _CMGetSystemProfilePriv
0000000194874d20 (__TEXT,__text) non-external _CMGetSystemProfilePriv.cold.1
00000001e9bff900 (__DATA,__bss) non-external _CMGetSystemProfilePriv.predicate
0000000194872e08 (__TEXT,__text) external _CMIterateCMMInfo
0000000194874d0c (__TEXT,__text) non-external _CMIterateCMMInfo.cold.1
00000001e9bff8f8 (__DATA,__bss) non-external _CMIterateCMMInfo.predicate
0000000194872d9c (__TEXT,__text) external _CMIterateColorDevices
0000000194874cf8 (__TEXT,__text) non-external _CMIterateColorDevices.cold.1
00000001e9bff8f0 (__DATA,__bss) non-external _CMIterateColorDevices.predicate
0000000194872d30 (__TEXT,__text) external _CMIterateColorSyncFolder
0000000194874ce4 (__TEXT,__text) non-external _CMIterateColorSyncFolder.cold.1
00000001e9bff8e8 (__DATA,__bss) non-external _CMIterateColorSyncFolder.predicate
0000000194872cc4 (__TEXT,__text) external _CMIterateDeviceProfiles
0000000194874cd0 (__TEXT,__text) non-external _CMIterateDeviceProfiles.cold.1
00000001e9bff8e0 (__DATA,__bss) non-external _CMIterateDeviceProfiles.predicate
0000000194872cbc (__TEXT,__text) external _CMLaunchControlPanel
0000000194872c50 (__TEXT,__text) external _CMMakeProfile
0000000194874cbc (__TEXT,__text) non-external _CMMakeProfile.cold.1
00000001e9bff8d8 (__DATA,__bss) non-external _CMMakeProfile.predicate
0000000194872be4 (__TEXT,__text) external _CMMatchFloatBitmap
0000000194874ca8 (__TEXT,__text) non-external _CMMatchFloatBitmap.cold.1
00000001e9bff8d0 (__DATA,__bss) non-external _CMMatchFloatBitmap.predicate
0000000194872b78 (__TEXT,__text) external _CMNewProfile
0000000194874c94 (__TEXT,__text) non-external _CMNewProfile.cold.1
00000001e9bff8c8 (__DATA,__bss) non-external _CMNewProfile.predicate
0000000194872b0c (__TEXT,__text) external _CMOpenProfile
0000000194874c80 (__TEXT,__text) non-external _CMOpenProfile.cold.1
00000001e9bff8c0 (__DATA,__bss) non-external _CMOpenProfile.predicate
000000019487450c (__TEXT,__text) external _CMPostLegacyDeviceNotification
0000000194872a94 (__TEXT,__text) external _CMProfileCopyICCData
0000000194874c6c (__TEXT,__text) non-external _CMProfileCopyICCData.cold.1
00000001e9bff8b8 (__DATA,__bss) non-external _CMProfileCopyICCData.predicate
0000000194872a20 (__TEXT,__text) external _CMProfileElementExists
0000000194874c58 (__TEXT,__text) non-external _CMProfileElementExists.cold.1
00000001e9bff8b0 (__DATA,__bss) non-external _CMProfileElementExists.predicate
00000001948729b4 (__TEXT,__text) external _CMProfileModified
0000000194874c44 (__TEXT,__text) non-external _CMProfileModified.cold.1
00000001e9bff8a8 (__DATA,__bss) non-external _CMProfileModified.predicate
0000000194874508 (__TEXT,__text) external _CMProfileWriteToFile
0000000194872948 (__TEXT,__text) external _CMRegisterColorDevice
0000000194874c30 (__TEXT,__text) non-external _CMRegisterColorDevice.cold.1
00000001e9bff8a0 (__DATA,__bss) non-external _CMRegisterColorDevice.predicate
00000001948728dc (__TEXT,__text) external _CMRemoveProfileElement
0000000194874c1c (__TEXT,__text) non-external _CMRemoveProfileElement.cold.1
00000001e9bff898 (__DATA,__bss) non-external _CMRemoveProfileElement.predicate
0000000194872870 (__TEXT,__text) external _CMSetDefaultDevice
0000000194874c08 (__TEXT,__text) non-external _CMSetDefaultDevice.cold.1
00000001e9bff890 (__DATA,__bss) non-external _CMSetDefaultDevice.predicate
0000000194872804 (__TEXT,__text) external _CMSetDeviceDefaultProfileID
0000000194874bf4 (__TEXT,__text) non-external _CMSetDeviceDefaultProfileID.cold.1
00000001e9bff888 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.predicate
0000000194872798 (__TEXT,__text) external _CMSetDeviceFactoryProfiles
0000000194874be0 (__TEXT,__text) non-external _CMSetDeviceFactoryProfiles.cold.1
00000001e9bff880 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.predicate
000000019487272c (__TEXT,__text) external _CMSetDeviceProfile
0000000194874bcc (__TEXT,__text) non-external _CMSetDeviceProfile.cold.1
00000001e9bff878 (__DATA,__bss) non-external _CMSetDeviceProfile.predicate
00000001948726c0 (__TEXT,__text) external _CMSetDeviceState
0000000194874bb8 (__TEXT,__text) non-external _CMSetDeviceState.cold.1
00000001e9bff870 (__DATA,__bss) non-external _CMSetDeviceState.predicate
0000000194872654 (__TEXT,__text) external _CMSetDeviceTrackingByUse
0000000194874ba4 (__TEXT,__text) non-external _CMSetDeviceTrackingByUse.cold.1
00000001e9bff868 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.predicate
00000001948725e8 (__TEXT,__text) external _CMSetGammaByAVID
0000000194874b90 (__TEXT,__text) non-external _CMSetGammaByAVID.cold.1
00000001e9bff860 (__DATA,__bss) non-external _CMSetGammaByAVID.predicate
000000019487257c (__TEXT,__text) external _CMSetPartialProfileElement
0000000194874b7c (__TEXT,__text) non-external _CMSetPartialProfileElement.cold.1
00000001e9bff858 (__DATA,__bss) non-external _CMSetPartialProfileElement.predicate
0000000194872510 (__TEXT,__text) external _CMSetProfileByAVID
0000000194874b68 (__TEXT,__text) non-external _CMSetProfileByAVID.cold.1
00000001e9bff850 (__DATA,__bss) non-external _CMSetProfileByAVID.predicate
00000001948724a4 (__TEXT,__text) external _CMSetProfileDescriptions
0000000194874b54 (__TEXT,__text) non-external _CMSetProfileDescriptions.cold.1
00000001e9bff848 (__DATA,__bss) non-external _CMSetProfileDescriptions.predicate
0000000194872438 (__TEXT,__text) external _CMSetProfileElement
0000000194874b40 (__TEXT,__text) non-external _CMSetProfileElement.cold.1
00000001e9bff840 (__DATA,__bss) non-external _CMSetProfileElement.predicate
00000001948723cc (__TEXT,__text) external _CMSetProfileElementReference
0000000194874b2c (__TEXT,__text) non-external _CMSetProfileElementReference.cold.1
00000001e9bff838 (__DATA,__bss) non-external _CMSetProfileElementReference.predicate
0000000194872360 (__TEXT,__text) external _CMSetProfileElementSize
0000000194874b18 (__TEXT,__text) non-external _CMSetProfileElementSize.cold.1
00000001e9bff830 (__DATA,__bss) non-external _CMSetProfileElementSize.predicate
00000001948722f4 (__TEXT,__text) external _CMSetProfileHeader
0000000194874b04 (__TEXT,__text) non-external _CMSetProfileHeader.cold.1
00000001e9bff828 (__DATA,__bss) non-external _CMSetProfileHeader.predicate
0000000194872288 (__TEXT,__text) external _CMSetProfileLocalizedStringDictionary
0000000194874af0 (__TEXT,__text) non-external _CMSetProfileLocalizedStringDictionary.cold.1
00000001e9bff820 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.predicate
000000019487221c (__TEXT,__text) external _CMSetSystemProfile
0000000194874adc (__TEXT,__text) non-external _CMSetSystemProfile.cold.1
00000001e9bff818 (__DATA,__bss) non-external _CMSetSystemProfile.predicate
000000019487449c (__TEXT,__text) external _CMSetSystemProfileAVID
00000001948750f4 (__TEXT,__text) non-external _CMSetSystemProfileAVID.cold.1
00000001e9bffa88 (__DATA,__bss) non-external _CMSetSystemProfileAVID.predicate
00000001948721b0 (__TEXT,__text) external _CMUnregisterColorDevice
0000000194874ac8 (__TEXT,__text) non-external _CMUnregisterColorDevice.cold.1
00000001e9bff810 (__DATA,__bss) non-external _CMUnregisterColorDevice.predicate
0000000194872120 (__TEXT,__text) external _CMUpdateProfile
0000000194874ab4 (__TEXT,__text) non-external _CMUpdateProfile.cold.1
00000001e9bff808 (__DATA,__bss) non-external _CMUpdateProfile.predicate
00000001948720ac (__TEXT,__text) external _CMValidateProfile
0000000194874aa0 (__TEXT,__text) non-external _CMValidateProfile.cold.1
00000001e9bff800 (__DATA,__bss) non-external _CMValidateProfile.predicate
0000000194872040 (__TEXT,__text) external _CWCheckBitmap
0000000194874a8c (__TEXT,__text) non-external _CWCheckBitmap.cold.1
00000001e9bff7f8 (__DATA,__bss) non-external _CWCheckBitmap.predicate
0000000194871fd4 (__TEXT,__text) external _CWCheckColors
0000000194874a78 (__TEXT,__text) non-external _CWCheckColors.cold.1
00000001e9bff7f0 (__DATA,__bss) non-external _CWCheckColors.predicate
0000000194871984 (__TEXT,__text) external _CWColorWorldGetProperty
0000000194874974 (__TEXT,__text) non-external _CWColorWorldGetProperty.cold.1
00000001e9bff788 (__DATA,__bss) non-external _CWColorWorldGetProperty.predicate
0000000194871920 (__TEXT,__text) external _CWColorWorldSetProperty
0000000194874960 (__TEXT,__text) non-external _CWColorWorldSetProperty.cold.1
00000001e9bff780 (__DATA,__bss) non-external _CWColorWorldSetProperty.predicate
0000000194871f3c (__TEXT,__text) external _CWConcatColorWorld
0000000194874a64 (__TEXT,__text) non-external _CWConcatColorWorld.cold.1
00000001e9bff7e8 (__DATA,__bss) non-external _CWConcatColorWorld.predicate
0000000194871ed8 (__TEXT,__text) external _CWDisposeColorWorld
0000000194874a50 (__TEXT,__text) non-external _CWDisposeColorWorld.cold.1
00000001e9bff7e0 (__DATA,__bss) non-external _CWDisposeColorWorld.predicate
0000000194871e6c (__TEXT,__text) external _CWFillLookupTexture
0000000194874a3c (__TEXT,__text) non-external _CWFillLookupTexture.cold.1
00000001e9bff7d8 (__DATA,__bss) non-external _CWFillLookupTexture.predicate
0000000194871e00 (__TEXT,__text) external _CWGetCMMSignature
0000000194874a28 (__TEXT,__text) non-external _CWGetCMMSignature.cold.1
00000001e9bff7d0 (__DATA,__bss) non-external _CWGetCMMSignature.predicate
0000000194871d94 (__TEXT,__text) external _CWMatchBitmap
0000000194874a14 (__TEXT,__text) non-external _CWMatchBitmap.cold.1
00000001e9bff7c8 (__DATA,__bss) non-external _CWMatchBitmap.predicate
0000000194871d28 (__TEXT,__text) external _CWMatchColors
0000000194874a00 (__TEXT,__text) non-external _CWMatchColors.cold.1
00000001e9bff7c0 (__DATA,__bss) non-external _CWMatchColors.predicate
0000000194871c90 (__TEXT,__text) external _CWNewLinkProfile
00000001948749ec (__TEXT,__text) non-external _CWNewLinkProfile.cold.1
00000001e9bff7b8 (__DATA,__bss) non-external _CWNewLinkProfile.predicate
00000001948753b0 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionNumber
0000000194875378 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionString
0000000194871848 (__TEXT,__text) external _ColorSyncLoadLegacyFunction
0000000194874518 (__TEXT,__text) non-external (was a private external) _ColorSyncLog
0000000194875108 (__TEXT,__text) non-external _ColorSyncLog.cold.1
000000019487511c (__TEXT,__text) non-external _ColorSyncLog.cold.2
00000001e9bffa90 (__DATA,__bss) non-external _ColorSyncLog.log
00000001e9bffa98 (__DATA,__bss) non-external _ColorSyncLog.predicate
                 (undefined) external _ColorSyncProfileGetTypeID (from ColorSync)
0000000194871a28 (__TEXT,__text) external _CreateCMProfileFromColorSyncProfile
0000000194874510 (__TEXT,__text) external _CreateColorSyncProfileFromCMProfile
0000000194871bcc (__TEXT,__text) external _DisposeCMBitmapCallBackUPP
0000000194871c8c (__TEXT,__text) external _DisposeCMConcatCallBackUPP
0000000194871c88 (__TEXT,__text) external _DisposeCMFlattenUPP
0000000194871c84 (__TEXT,__text) external _DisposeCMMIterateUPP
0000000194871c80 (__TEXT,__text) external _DisposeCMProfileAccessUPP
0000000194871c7c (__TEXT,__text) external _DisposeCMProfileIterateUPP
0000000194871c78 (__TEXT,__text) external _InvokeCMBitmapCallBackUPP
0000000194871c74 (__TEXT,__text) external _InvokeCMConcatCallBackUPP
0000000194871c70 (__TEXT,__text) external _InvokeCMFlattenUPP
0000000194871c6c (__TEXT,__text) external _InvokeCMMIterateUPP
0000000194871c68 (__TEXT,__text) external _InvokeCMProfileAccessUPP
0000000194871c64 (__TEXT,__text) external _InvokeCMProfileIterateUPP
0000000194874394 (__TEXT,__text) external _NCMGetProfileLocation
00000001948750cc (__TEXT,__text) non-external _NCMGetProfileLocation.cold.1
00000001e9bffa78 (__DATA,__bss) non-external _NCMGetProfileLocation.predicate
0000000194874400 (__TEXT,__text) external _NCWConcatColorWorld
00000001948750e0 (__TEXT,__text) non-external _NCWConcatColorWorld.cold.1
00000001e9bffa80 (__DATA,__bss) non-external _NCWConcatColorWorld.predicate
0000000194871bd0 (__TEXT,__text) external _NCWNewColorWorld
00000001948749d8 (__TEXT,__text) non-external _NCWNewColorWorld.cold.1
00000001e9bff7b0 (__DATA,__bss) non-external _NCWNewColorWorld.predicate
00000001948742f8 (__TEXT,__text) external _NCWNewLinkProfile
00000001948750b8 (__TEXT,__text) non-external _NCWNewLinkProfile.cold.1
00000001e9bffa70 (__DATA,__bss) non-external _NCWNewLinkProfile.predicate
0000000194871bc8 (__TEXT,__text) external _NewCMBitmapCallBackUPP
0000000194871bc4 (__TEXT,__text) external _NewCMConcatCallBackUPP
0000000194871bc0 (__TEXT,__text) external _NewCMFlattenUPP
0000000194871bbc (__TEXT,__text) external _NewCMMIterateUPP
0000000194871bb8 (__TEXT,__text) external _NewCMProfileAccessUPP
0000000194871bb4 (__TEXT,__text) external _NewCMProfileIterateUPP
                 (undefined) external __CFBundleCopyInfoDictionaryInResourceFork (from CoreFoundation)
                 (undefined) external __CFBundleGetMainBundleIfLooksLikeBundle (from CoreFoundation)
                 (undefined) external __CFProcessPath (from CoreFoundation)
0000000194871b48 (__TEXT,__text) external __CMGetProfileOfSuite
00000001948749c4 (__TEXT,__text) non-external __CMGetProfileOfSuite.cold.1
00000001e9bff7a8 (__DATA,__bss) non-external __CMGetProfileOfSuite.predicate
0000000194871adc (__TEXT,__text) external __CMLoadProfileLutsByAVID
00000001948749b0 (__TEXT,__text) non-external __CMLoadProfileLutsByAVID.cold.1
00000001e9bff7a0 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.predicate
0000000194871a68 (__TEXT,__text) external __CMProfileGetProperty
000000019487499c (__TEXT,__text) non-external __CMProfileGetProperty.cold.1
00000001e9bff798 (__DATA,__bss) non-external __CMProfileGetProperty.predicate
00000001948719f0 (__TEXT,__text) external __CMProfileSetProperty
0000000194874988 (__TEXT,__text) non-external __CMProfileSetProperty.cold.1
00000001e9bff790 (__DATA,__bss) non-external __CMProfileSetProperty.predicate
00000001948718b4 (__TEXT,__text) external __CWColorWorldGetProperty
000000019487494c (__TEXT,__text) non-external __CWColorWorldGetProperty.cold.1
00000001e9bff778 (__DATA,__bss) non-external __CWColorWorldGetProperty.predicate
0000000194871850 (__TEXT,__text) external __CWColorWorldSetProperty
0000000194874938 (__TEXT,__text) non-external __CWColorWorldSetProperty.cold.1
00000001e9bff770 (__DATA,__bss) non-external __CWColorWorldSetProperty.predicate
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001948742c0 (__TEXT,__text) non-external ___CMCloneProfileRef_block_invoke
0000000194874254 (__TEXT,__text) non-external ___CMCloseProfile_block_invoke
00000001948741e8 (__TEXT,__text) non-external ___CMConvertDoubleXYZToD50_block_invoke
000000019487417c (__TEXT,__text) non-external ___CMConvertRGBFloatBitmap_block_invoke
0000000194874110 (__TEXT,__text) non-external ___CMConvertXYZFloatBitmap_block_invoke
000000019487402c (__TEXT,__text) non-external ___CMCopyProfileDescriptionString_block_invoke
0000000194873f44 (__TEXT,__text) non-external ___CMCopyProfileLocalizedStringDictionary_block_invoke
0000000194873fb8 (__TEXT,__text) non-external ___CMCopyProfileLocalizedString_block_invoke
00000001948740a4 (__TEXT,__text) non-external ___CMCopyProfile_block_invoke
0000000194873ed0 (__TEXT,__text) non-external ___CMCountProfileElements_block_invoke
0000000194873e5c (__TEXT,__text) non-external ___CMFloatBitmapMakeChunky_block_invoke
0000000194873dd0 (__TEXT,__text) non-external ___CMGetColorSyncVersion_block_invoke
0000000194873d64 (__TEXT,__text) non-external ___CMGetDefaultDevice_block_invoke
0000000194873cf8 (__TEXT,__text) non-external ___CMGetDefaultProfileBySpace_block_invoke
0000000194873c8c (__TEXT,__text) non-external ___CMGetDefaultProfileByUse_block_invoke
0000000194873c20 (__TEXT,__text) non-external ___CMGetDeviceDefaultProfileID_block_invoke
0000000194873bb4 (__TEXT,__text) non-external ___CMGetDeviceFactoryProfiles_block_invoke
