                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
00007ffd1b487b4f (__TEXT,__text) non-external _sbuf_extend
00007ffd1b487ca9 (__TEXT,__text) non-external _sbuf_put_byte
00007ffd1b48787d (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00007ffd1b487861 (__TEXT,__text) external _usbuf_bcat
00007ffd1b487954 (__TEXT,__text) external _usbuf_bcpy
00007ffd1b48798c (__TEXT,__text) external _usbuf_cat
00007ffd1b48774f (__TEXT,__text) external _usbuf_clear
00007ffd1b487732 (__TEXT,__text) external _usbuf_clear_flags
00007ffd1b48778b (__TEXT,__text) external _usbuf_count_drain
00007ffd1b4879bc (__TEXT,__text) external _usbuf_cpy
00007ffd1b487e67 (__TEXT,__text) external _usbuf_data
00007ffd1b487e97 (__TEXT,__text) external _usbuf_delete
00007ffd1b487ee9 (__TEXT,__text) external _usbuf_done
00007ffd1b4877a5 (__TEXT,__text) external _usbuf_drain
00007ffd1b487f33 (__TEXT,__text) external _usbuf_end_section
00007ffd1b487def (__TEXT,__text) external _usbuf_error
00007ffd1b487df8 (__TEXT,__text) external _usbuf_finish
00007ffd1b487728 (__TEXT,__text) external _usbuf_get_flags
00007ffd1b487430 (__TEXT,__text) external _usbuf_hexdump
00007ffd1b487e70 (__TEXT,__text) external _usbuf_len
00007ffd1b487626 (__TEXT,__text) external _usbuf_new
00007ffd1b487d21 (__TEXT,__text) external _usbuf_nl_terminate
00007ffd1b487bef (__TEXT,__text) external _usbuf_printf
00007ffd1b4875e3 (__TEXT,__text) external _usbuf_printf_drain
00007ffd1b4875c8 (__TEXT,__text) external _usbuf_putbuf
00007ffd1b487c89 (__TEXT,__text) external _usbuf_putc
00007ffd1b487797 (__TEXT,__text) external _usbuf_set_drain
00007ffd1b487743 (__TEXT,__text) external _usbuf_set_flags
00007ffd1b48776f (__TEXT,__text) external _usbuf_setpos
00007ffd1b487ef7 (__TEXT,__text) external _usbuf_start_section
00007ffd1b487d60 (__TEXT,__text) external _usbuf_trim
00007ffd1b487a11 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
