00000001e6fca860 (__DATA,__data) external _NDR_record
00000001804277f8 (__TEXT,__text) non-external __Xexception_raise
00000001804276e4 (__TEXT,__text) non-external __Xexception_raise_state
0000000180427580 (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180415b38 (__TEXT,__text) external _____sigwait_nocancel
000000018043c8f8 (__TEXT,__const) external ____kernelVersionNumber
000000018043c8c0 (__TEXT,__const) external ____kernelVersionString
0000000180415b64 (__TEXT,__text) external ___abort_with_payload
00000001804116cc (__TEXT,__text) external ___accept
0000000180415b90 (__TEXT,__text) external ___accept_nocancel
0000000180415bbc (__TEXT,__text) external ___access_extended
0000000180415be8 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180410b1c (__TEXT,__text) external ___bind
000000018040cbb0 (__TEXT,__text) external ___bsdthread_create
000000018040ab4c (__TEXT,__text) external ___bsdthread_ctl
000000018040ec98 (__TEXT,__text) external ___bsdthread_register
000000018040bc40 (__TEXT,__text) external ___bsdthread_terminate
00000001804153a4 (__TEXT,__text) external ___carbon_delete
0000000180415c14 (__TEXT,__text) external ___channel_get_info
0000000180415c40 (__TEXT,__text) external ___channel_get_opt
0000000180415c6c (__TEXT,__text) external ___channel_open
0000000180415c98 (__TEXT,__text) external ___channel_set_opt
0000000180415cc4 (__TEXT,__text) external ___channel_sync
000000018040caf8 (__TEXT,__text) external ___chmod
000000018040e734 (__TEXT,__text) external ___chmod_extended
000000018040a630 (__TEXT,__text) external ___close_nocancel
0000000180415cf0 (__TEXT,__text) external ___coalition
0000000180415d1c (__TEXT,__text) external ___coalition_info
0000000180415d48 (__TEXT,__text) external ___coalition_ledger
000000018040aca4 (__TEXT,__text) external ___commpage_gettimeofday
000000018040acac (__TEXT,__text) non-external ___commpage_gettimeofday_internal
000000018040d320 (__TEXT,__text) external ___connect
000000018040d188 (__TEXT,__text) external ___connect_nocancel
0000000180415d74 (__TEXT,__text) external ___copyfile
0000000180415da0 (__TEXT,__text) external ___crossarch_trap
00000001804098a4 (__TEXT,__text) external ___csrctl
000000018041f3c4 (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180415dcc (__TEXT,__text) external ___debug_syscall_reject
0000000180415df8 (__TEXT,__text) external ___debug_syscall_reject_config
00000001804153d0 (__TEXT,__text) external ___delete
000000018040bc14 (__TEXT,__text) external ___disable_threadsignal
00000001804097d4 (__TEXT,__text) external ___error
0000000180415e24 (__TEXT,__text) external ___execve
0000000180410568 (__TEXT,__text) external ___exit
000000018040d5dc (__TEXT,__text) external ___fchmod
000000018040e840 (__TEXT,__text) external ___fchmod_extended
0000000180409954 (__TEXT,__text) external ___fcntl
000000018040d130 (__TEXT,__text) external ___fcntl_nocancel
00000001804108d8 (__TEXT,__text) external ___fork
0000000180415e50 (__TEXT,__text) external ___fs_snapshot
0000000180417200 (__TEXT,__text) external ___fstat
000000018040e814 (__TEXT,__text) external ___fstat64_extended
0000000180415e7c (__TEXT,__text) external ___fstat_extended
0000000180417258 (__TEXT,__text) external ___fstatat
00000001804172b0 (__TEXT,__text) external ___fstatfs
0000000180415ea8 (__TEXT,__text) external ___fsync_nocancel
00000001804124d8 (__TEXT,__text) external ___get_remove_counter
00000001804097f0 (__TEXT,__text) external ___getattrlist
000000018040aa70 (__TEXT,__text) external ___getdirentries64
00000001804173b8 (__TEXT,__text) external ___getfsstat
000000018040e6dc (__TEXT,__text) external ___gethostuuid
