000000018246f8a8 (__DATA,__data) external _NDR_record
000000018038fa68 (__TEXT,__text) non-external __Xexception_raise
000000018038f950 (__TEXT,__text) non-external __Xexception_raise_state
000000018038f7e8 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000018037838c (__TEXT,__text) external _____sigwait_nocancel
00000001803a99c8 (__TEXT,__const) external ____kernelVersionNumber
00000001803a9990 (__TEXT,__const) external ____kernelVersionString
00000001803783b8 (__TEXT,__text) external ___abort_with_payload
00000001803783e4 (__TEXT,__text) external ___accept
0000000180378410 (__TEXT,__text) external ___accept_nocancel
000000018037843c (__TEXT,__text) external ___access_extended
0000000180378468 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180378494 (__TEXT,__text) external ___bind
00000001803784c0 (__TEXT,__text) external ___bsdthread_create
00000001803784ec (__TEXT,__text) external ___bsdthread_ctl
0000000180378518 (__TEXT,__text) external ___bsdthread_register
0000000180378544 (__TEXT,__text) external ___bsdthread_terminate
000000018038e9bc (__TEXT,__text) external ___carbon_delete
0000000180378570 (__TEXT,__text) external ___channel_get_info
000000018037859c (__TEXT,__text) external ___channel_get_opt
00000001803785c8 (__TEXT,__text) external ___channel_open
00000001803785f4 (__TEXT,__text) external ___channel_set_opt
0000000180378620 (__TEXT,__text) external ___channel_sync
000000018037864c (__TEXT,__text) external ___chmod
0000000180378678 (__TEXT,__text) external ___chmod_extended
00000001803786a4 (__TEXT,__text) external ___close_nocancel
00000001803786d0 (__TEXT,__text) external ___coalition
00000001803786fc (__TEXT,__text) external ___coalition_info
0000000180378728 (__TEXT,__text) external ___coalition_ledger
0000000180380840 (__TEXT,__text) external ___commpage_gettimeofday
0000000180380848 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180378754 (__TEXT,__text) external ___connect
0000000180378780 (__TEXT,__text) external ___connect_nocancel
00000001803787ac (__TEXT,__text) external ___copyfile
00000001803787d8 (__TEXT,__text) external ___crossarch_trap
0000000180378804 (__TEXT,__text) external ___csrctl
0000000180385ff8 (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180378830 (__TEXT,__text) external ___debug_syscall_reject
000000018037885c (__TEXT,__text) external ___debug_syscall_reject_config
0000000180378888 (__TEXT,__text) external ___delete
00000001803788b4 (__TEXT,__text) external ___disable_threadsignal
0000000180381020 (__TEXT,__text) external ___error
00000001803788e0 (__TEXT,__text) external ___execve
000000018037890c (__TEXT,__text) external ___exit
0000000180378938 (__TEXT,__text) external ___fchmod
0000000180378964 (__TEXT,__text) external ___fchmod_extended
0000000180378990 (__TEXT,__text) external ___fcntl
00000001803789bc (__TEXT,__text) external ___fcntl_nocancel
00000001803789e8 (__TEXT,__text) external ___fork
0000000180378a34 (__TEXT,__text) external ___fs_snapshot
0000000180378a60 (__TEXT,__text) external ___fstat64_extended
0000000180378a8c (__TEXT,__text) external ___fstat_extended
0000000180378ab8 (__TEXT,__text) external ___fsync_nocancel
000000018038c2f0 (__TEXT,__text) external ___get_remove_counter
0000000180378ae4 (__TEXT,__text) external ___getattrlist
0000000180378b10 (__TEXT,__text) external ___getdirentries64
0000000180378b3c (__TEXT,__text) external ___gethostuuid
0000000180378b68 (__TEXT,__text) external ___getlogin
