00007ff8400b8e00 (__DATA,__data) external _NDR_record
00007ff800bd79d5 (__TEXT,__text) non-external __Xexception_raise
00007ff800bd7a7d (__TEXT,__text) non-external __Xexception_raise_state
00007ff800bd7b6f (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800bc4810 (__TEXT,__text) external _____sigwait_nocancel
00007ff800bede98 (__TEXT,__const) external ____kernelVersionNumber
00007ff800bede60 (__TEXT,__const) external ____kernelVersionString
00007ff800bc4828 (__TEXT,__text) external ___abort_with_payload
00007ff800bc4840 (__TEXT,__text) external ___accept
00007ff800bc4858 (__TEXT,__text) external ___accept_nocancel
00007ff800bc4870 (__TEXT,__text) external ___access_extended
00007ff800bc4888 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800bc48a0 (__TEXT,__text) external ___bind
00007ff800bc48b8 (__TEXT,__text) external ___bsdthread_create
00007ff800bc48d0 (__TEXT,__text) external ___bsdthread_ctl
00007ff800bc48e8 (__TEXT,__text) external ___bsdthread_register
00007ff800bc4900 (__TEXT,__text) external ___bsdthread_terminate
00007ff800bd6d35 (__TEXT,__text) external ___carbon_delete
00007ff800bc4918 (__TEXT,__text) external ___channel_get_info
00007ff800bc4930 (__TEXT,__text) external ___channel_get_opt
00007ff800bc4948 (__TEXT,__text) external ___channel_open
00007ff800bc4960 (__TEXT,__text) external ___channel_set_opt
00007ff800bc4978 (__TEXT,__text) external ___channel_sync
00007ff800bc4990 (__TEXT,__text) external ___chmod
00007ff800bc49a8 (__TEXT,__text) external ___chmod_extended
00007ff800bc49c0 (__TEXT,__text) external ___close_nocancel
00007ff800bc49d8 (__TEXT,__text) external ___coalition
00007ff800bc49f0 (__TEXT,__text) external ___coalition_info
00007ff800bc4a08 (__TEXT,__text) external ___coalition_ledger
00007ff800bca488 (__TEXT,__text) external ___commpage_gettimeofday
00007ff800bca48f (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800bc4a20 (__TEXT,__text) external ___connect
00007ff800bc4a38 (__TEXT,__text) external ___connect_nocancel
00007ff800bc4a50 (__TEXT,__text) external ___copyfile
00007ff800bc4a68 (__TEXT,__text) external ___crossarch_trap
00007ff800bc4a80 (__TEXT,__text) external ___csrctl
00007ff800bcf300 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800bc4a98 (__TEXT,__text) external ___debug_syscall_reject
00007ff800bc4ab0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800bc4ac8 (__TEXT,__text) external ___delete
00007ff800bc4ae0 (__TEXT,__text) external ___disable_threadsignal
00007ff800bcaba6 (__TEXT,__text) external ___error
00007ff800bc4af8 (__TEXT,__text) external ___execve
00007ff800bc4b10 (__TEXT,__text) external ___exit
00007ff800bc4b28 (__TEXT,__text) external ___fchmod
00007ff800bc4b40 (__TEXT,__text) external ___fchmod_extended
00007ff800bc4b58 (__TEXT,__text) external ___fcntl
00007ff800bc4b70 (__TEXT,__text) external ___fcntl_nocancel
00007ff800bc4b88 (__TEXT,__text) external ___fork
00007ff800bc4bc0 (__TEXT,__text) external ___fs_snapshot
00007ff800bc4bd8 (__TEXT,__text) external ___fstat64_extended
00007ff800bc4bf0 (__TEXT,__text) external ___fstat_extended
00007ff800bc4c08 (__TEXT,__text) external ___fsync_nocancel
00007ff800bd494e (__TEXT,__text) external ___get_remove_counter
00007ff800bc4c20 (__TEXT,__text) external ___getattrlist
00007ff800bc4c38 (__TEXT,__text) external ___getdirentries64
00007ff800bc4c50 (__TEXT,__text) external ___gethostuuid
00007ff800bc4c68 (__TEXT,__text) external ___getlogin
00007ff800bc4c80 (__TEXT,__text) external ___getpeername
00007ff800bc4c98 (__TEXT,__text) external ___getpid
00007ff800bc4ccc (__TEXT,__text) external ___getrlimit
00007ff800bc4ce4 (__TEXT,__text) external ___getsgroups
00007ff800bc4cfc (__TEXT,__text) external ___getsockname
00007ff800bc4d14 (__TEXT,__text) external ___gettid
00007ff800bc4d41 (__TEXT,__text) external ___gettimeofday
00007ff800bc4d2c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800bc4d6c (__TEXT,__text) external ___getwgroups
00007ff800bc4d84 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff800bc4d9c (__TEXT,__text) external ___guarded_open_np
00007ff800bc4db4 (__TEXT,__text) external ___identitysvc
00007ff800bd4959 (__TEXT,__text) external ___inc_remove_counter
00007ff800bc4dcc (__TEXT,__text) external ___initgroups
00007ff800bc4de4 (__TEXT,__text) external ___ioctl
00007ff800bc4dfc (__TEXT,__text) external ___iopolicysys
00007ff800bc4e14 (__TEXT,__text) external ___kdebug_trace
00007ff800bc4e2c (__TEXT,__text) external ___kdebug_trace64
00007ff800bc4e44 (__TEXT,__text) external ___kdebug_trace_string
00007ff800bc4e5c (__TEXT,__text) external ___kdebug_typefilter
00007ff800bedf08 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800beded0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800bc4e74 (__TEXT,__text) external ___kill
00007ff800bc4e8c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800bc4ea4 (__TEXT,__text) external ___lchown
00007ff800bc7456 (__TEXT,__text) external ___libkernel_init
00007ff800bc7489 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800bc7488 (__TEXT,__text) external ___libkernel_init_late
00007ff800bc72e3 (__TEXT,__text) external ___libkernel_platform_init
00007ff800bc730a (__TEXT,__text) external ___libkernel_voucher_init
00007ff800bc4ebc (__TEXT,__text) external ___listen
00007ff800bc4ed4 (__TEXT,__text) external ___log_data
00007ff800bc4eec (__TEXT,__text) external ___lseek
00007ff800bc4f04 (__TEXT,__text) external ___lstat64_extended
00007ff800bc4f1c (__TEXT,__text) external ___lstat_extended
00007ff800bc4f34 (__TEXT,__text) external ___mac_execve
00007ff800bc4f4c (__TEXT,__text) external ___mac_get_fd
00007ff800bc4f64 (__TEXT,__text) external ___mac_get_file
00007ff800bc4f7c (__TEXT,__text) external ___mac_get_link
00007ff800bc4f94 (__TEXT,__text) external ___mac_get_mount
00007ff800bc4fac (__TEXT,__text) external ___mac_get_pid
00007ff800bc4fc4 (__TEXT,__text) external ___mac_get_proc
00007ff800bc4fdc (__TEXT,__text) external ___mac_getfsstat
00007ff800bc4ff4 (__TEXT,__text) external ___mac_mount
00007ff800bc500c (__TEXT,__text) external ___mac_set_fd
00007ff800bc5024 (__TEXT,__text) external ___mac_set_file
00007ff800bc503c (__TEXT,__text) external ___mac_set_link
00007ff800bc5054 (__TEXT,__text) external ___mac_set_proc
00007ff800bc506c (__TEXT,__text) external ___mac_syscall
00007ff800bc5084 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800bc509c (__TEXT,__text) external ___mach_eventlink_signal
00007ff800bc50b4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800bc50cc (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800bc50e4 (__TEXT,__text) external ___map_with_linking_np
00007ff800bc50fc (__TEXT,__text) external ___memorystatus_available_memory
00007ff800bc5114 (__TEXT,__text) external ___microstackshot
00007ff800bc512c (__TEXT,__text) external ___mkdir_extended
00007ff800bc5144 (__TEXT,__text) external ___mkfifo_extended
00007ff800bc515c (__TEXT,__text) external ___mmap
00007ff800bc5174 (__TEXT,__text) external ___mprotect
00007ff800bc518c (__TEXT,__text) external ___msgctl
00007ff800bc51a4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800bc51bc (__TEXT,__text) external ___msgsnd_nocancel
00007ff800bc51d4 (__TEXT,__text) external ___msgsys
00007ff800bc51ec (__TEXT,__text) external ___msync
00007ff800bc5204 (__TEXT,__text) external ___msync_nocancel
00007ff800bc521c (__TEXT,__text) external ___munmap
00007ff800bc5234 (__TEXT,__text) external ___nexus_create
00007ff800bc524c (__TEXT,__text) external ___nexus_deregister
00007ff800bc5264 (__TEXT,__text) external ___nexus_destroy
00007ff800bc527c (__TEXT,__text) external ___nexus_get_opt
00007ff800bc5294 (__TEXT,__text) external ___nexus_open
00007ff800bc52ac (__TEXT,__text) external ___nexus_register
00007ff800bc52c4 (__TEXT,__text) external ___nexus_set_opt
00007ff800bc52dc (__TEXT,__text) external ___open
00007ff800bc52f4 (__TEXT,__text) external ___open_dprotected_np
00007ff800bc530c (__TEXT,__text) external ___open_extended
00007ff800bc5324 (__TEXT,__text) external ___open_nocancel
00007ff800bc533c (__TEXT,__text) external ___openat
00007ff800bc5354 (__TEXT,__text) external ___openat_dprotected_np
00007ff800bc536c (__TEXT,__text) external ___openat_nocancel
00007ff8400b8e78 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800bd3f58 (__TEXT,__text) external ___os_nexus_flow_add
00007ff800bd3fcb (__TEXT,__text) external ___os_nexus_flow_del
00007ff800bd4103 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff800bd3d7e (__TEXT,__text) external ___os_nexus_ifattach
00007ff800bd3e8f (__TEXT,__text) external ___os_nexus_ifdetach
00007ff800bc5384 (__TEXT,__text) external ___persona
00007ff800bc539c (__TEXT,__text) external ___pipe
00007ff800bc53b8 (__TEXT,__text) external ___poll_nocancel
00007ff800bc53d0 (__TEXT,__text) external ___posix_spawn
00007ff800bc53e8 (__TEXT,__text) external ___pread_nocancel
00007ff800bc5400 (__TEXT,__text) external ___preadv_nocancel
00007ff800bc5418 (__TEXT,__text) external ___proc_info
00007ff800bc5430 (__TEXT,__text) external ___proc_info_extended_id
00007ff800bc5448 (__TEXT,__text) external ___process_policy
00007ff800bc5460 (__TEXT,__text) external ___pselect
00007ff800bc5478 (__TEXT,__text) external ___pselect_nocancel
00007ff800bc5490 (__TEXT,__text) external ___psynch_cvbroad
00007ff800bc54a8 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff800bc54c0 (__TEXT,__text) external ___psynch_cvsignal
00007ff800bc54d8 (__TEXT,__text) external ___psynch_cvwait
00007ff800bc54f0 (__TEXT,__text) external ___psynch_mutexdrop
00007ff800bc5508 (__TEXT,__text) external ___psynch_mutexwait
00007ff800bc5520 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800bc5538 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff800bc5550 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800bc5568 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800bc5580 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800bc5598 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800bc55b0 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800bc55c8 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800bc55e0 (__TEXT,__text) external ___pthread_canceled
00007ff800bc55f8 (__TEXT,__text) external ___pthread_chdir
00007ff800bc5610 (__TEXT,__text) external ___pthread_fchdir
00007ff800bc5628 (__TEXT,__text) external ___pthread_kill
00007ff800bc5640 (__TEXT,__text) external ___pthread_markcancel
00007ff800bc5658 (__TEXT,__text) external ___pthread_sigmask
