                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffb1fafe57e (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffb1fafed90 (__TEXT,__const) external _libopenpam
00007ffb1fafe990 (__TEXT,__text) external _misc_conv
00007ffb1fafe73f (__TEXT,__text) external _pam_acct_mgmt
00007ffb1fafe673 (__TEXT,__text) external _pam_authenticate
00007ffb1fafe7a5 (__TEXT,__text) external _pam_chauthtok
00007ffb1fafe869 (__TEXT,__text) external _pam_close_session
00007ffb1fafe61d (__TEXT,__text) external _pam_end
00007ffb1fafeb41 (__TEXT,__text) external _pam_get_data
00007ffb1fafe92b (__TEXT,__text) external _pam_get_item
00007ffb1fafecfd (__TEXT,__text) external _pam_get_pass
00007ffb1fafec19 (__TEXT,__text) external _pam_get_user
00007ffb1fafeaa8 (__TEXT,__text) external _pam_getenv
00007ffb1fafeaf7 (__TEXT,__text) external _pam_getenvlist
00007ffb1fafe80c (__TEXT,__text) external _pam_open_session
00007ffb1fafec7e (__TEXT,__text) external _pam_prompt
00007ffb1fafea52 (__TEXT,__text) external _pam_putenv
00007ffb1fafeba6 (__TEXT,__text) external _pam_set_data
00007ffb1fafe8c6 (__TEXT,__text) external _pam_set_item
00007ffb1fafe6d9 (__TEXT,__text) external _pam_setcred
00007ffb1fafe5aa (__TEXT,__text) external _pam_start
00007ffb1fafea03 (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffb1fafe50c (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffb1fafe521 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffb1fafe576 (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffb1fafe553 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffb1fafe536 (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffb1fafe546 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
