00007ff8004414a8 (__TEXT,__text) external _NSAddImage
00007ff800441472 (__TEXT,__text) external _NSAddLibrary
00007ff80044148d (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff800440fe5 (__TEXT,__text) external _NSAddressOfSymbol
00007ff800441261 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff800440f62 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff80044127f (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff800440fa3 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff80044145e (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff8004412ea (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff80044135b (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff800441394 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff800441376 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff800441323 (__TEXT,__text) external _NSLibraryNameForModule
00007ff80044143a (__TEXT,__text) external _NSLinkEditError
00007ff800440f83 (__TEXT,__text) external _NSLinkModule
00007ff8004413b2 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff8004413cd (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff8004413eb (__TEXT,__text) external _NSLookupSymbolInImage
00007ff800440fc7 (__TEXT,__text) external _NSLookupSymbolInModule
00007ff80044141f (__TEXT,__text) external _NSModuleForSymbol
00007ff800441308 (__TEXT,__text) external _NSNameOfModule
00007ff80044140b (__TEXT,__text) external _NSNameOfSymbol
00007ff80044129a (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff8004412ae (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff8004412c2 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff8004412d6 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff80044133e (__TEXT,__text) external _NSUnLinkModule
00007ff8004400d6 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff800440312 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff8438f8440 (__DATA_DIRTY,__common) external _NXArgc
00007ff8438f8448 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff80043ff48 (__TEXT,__text) external __NSGetExecutablePath
00007ff8004578c8 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
00007ff800451887 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff80045dd75 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
00007ff80045e106 (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
00007ff80044117a (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00007ff800441a31 (__TEXT,__text) non-external __ZL43_dyld_make_delayed_module_initializer_callsv
