00007ff8400c5e10 (__DATA,__data) external _NDR_record
00007ff800d23d94 (__TEXT,__text) non-external __Xexception_raise
00007ff800d23e3c (__TEXT,__text) non-external __Xexception_raise_state
00007ff800d23f46 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800d10820 (__TEXT,__text) external _____sigwait_nocancel
00007ff800d3a838 (__TEXT,__const) external ____kernelVersionNumber
00007ff800d3a800 (__TEXT,__const) external ____kernelVersionString
00007ff800d10838 (__TEXT,__text) external ___abort_with_payload
00007ff800d10850 (__TEXT,__text) external ___accept
00007ff800d10868 (__TEXT,__text) external ___accept_nocancel
00007ff800d10880 (__TEXT,__text) external ___access_extended
00007ff800d10898 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800d108b0 (__TEXT,__text) external ___bind
00007ff800d108c8 (__TEXT,__text) external ___bsdthread_create
00007ff800d108e0 (__TEXT,__text) external ___bsdthread_ctl
00007ff800d108f8 (__TEXT,__text) external ___bsdthread_register
00007ff800d10910 (__TEXT,__text) external ___bsdthread_terminate
00007ff800d230f2 (__TEXT,__text) external ___carbon_delete
00007ff800d10928 (__TEXT,__text) external ___channel_get_info
00007ff800d10940 (__TEXT,__text) external ___channel_get_opt
00007ff800d10958 (__TEXT,__text) external ___channel_open
00007ff800d10970 (__TEXT,__text) external ___channel_set_opt
00007ff800d10988 (__TEXT,__text) external ___channel_sync
00007ff800d109a0 (__TEXT,__text) external ___chmod
00007ff800d109b8 (__TEXT,__text) external ___chmod_extended
00007ff800d109d0 (__TEXT,__text) external ___close_nocancel
00007ff800d109e8 (__TEXT,__text) external ___coalition
00007ff800d10a00 (__TEXT,__text) external ___coalition_info
00007ff800d10a18 (__TEXT,__text) external ___coalition_ledger
00007ff800d1604f (__TEXT,__text) external ___commpage_gettimeofday
00007ff800d16056 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800d10a30 (__TEXT,__text) external ___connect
00007ff800d10a48 (__TEXT,__text) external ___connect_nocancel
00007ff800d10a60 (__TEXT,__text) external ___copyfile
00007ff800d10a78 (__TEXT,__text) external ___crossarch_trap
00007ff800d10a90 (__TEXT,__text) external ___csrctl
00007ff800d1b730 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800d10aa8 (__TEXT,__text) external ___debug_syscall_reject
00007ff800d10ac0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800d10ad8 (__TEXT,__text) external ___delete
00007ff800d10af0 (__TEXT,__text) external ___disable_threadsignal
00007ff800d16756 (__TEXT,__text) external ___error
00007ff800d10b08 (__TEXT,__text) external ___execve
00007ff800d10b20 (__TEXT,__text) external ___exit
00007ff800d10b38 (__TEXT,__text) external ___fchmod
00007ff800d10b50 (__TEXT,__text) external ___fchmod_extended
00007ff800d10b68 (__TEXT,__text) external ___fcntl
00007ff800d10b80 (__TEXT,__text) external ___fcntl_nocancel
00007ff800d10b98 (__TEXT,__text) external ___fork
00007ff800d10bd0 (__TEXT,__text) external ___fs_snapshot
00007ff800d10be8 (__TEXT,__text) external ___fstat64_extended
00007ff800d10c00 (__TEXT,__text) external ___fstat_extended
00007ff800d10c18 (__TEXT,__text) external ___fsync_nocancel
00007ff800d20cc8 (__TEXT,__text) external ___get_remove_counter
00007ff800d10c30 (__TEXT,__text) external ___getattrlist
00007ff800d10c48 (__TEXT,__text) external ___getdirentries64
00007ff800d10c60 (__TEXT,__text) external ___gethostuuid
00007ff800d10c78 (__TEXT,__text) external ___getlogin
00007ff800d10c90 (__TEXT,__text) external ___getpeername
00007ff800d10ca8 (__TEXT,__text) external ___getpid
00007ff800d10cdc (__TEXT,__text) external ___getrlimit
00007ff800d10cf4 (__TEXT,__text) external ___getsgroups
00007ff800d10d0c (__TEXT,__text) external ___getsockname
00007ff800d10d24 (__TEXT,__text) external ___gettid
00007ff800d10d51 (__TEXT,__text) external ___gettimeofday
00007ff800d10d3c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800d10d7c (__TEXT,__text) external ___getwgroups
00007ff800d10d94 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff800d10dac (__TEXT,__text) external ___guarded_open_np
00007ff800d10dc4 (__TEXT,__text) external ___identitysvc
00007ff800d20cd3 (__TEXT,__text) external ___inc_remove_counter
00007ff800d10ddc (__TEXT,__text) external ___initgroups
00007ff800d10df4 (__TEXT,__text) external ___ioctl
00007ff800d10e0c (__TEXT,__text) external ___iopolicysys
00007ff800d10e24 (__TEXT,__text) external ___kdebug_trace
00007ff800d10e3c (__TEXT,__text) external ___kdebug_trace64
00007ff800d10e54 (__TEXT,__text) external ___kdebug_trace_string
00007ff800d10e6c (__TEXT,__text) external ___kdebug_typefilter
00007ff800d3a8a8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800d3a870 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800d10e84 (__TEXT,__text) external ___kill
00007ff800d10e9c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800d10eb4 (__TEXT,__text) external ___lchown
00007ff800d134ae (__TEXT,__text) external ___libkernel_init
00007ff800d134e1 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800d134e0 (__TEXT,__text) external ___libkernel_init_late
00007ff800d1333b (__TEXT,__text) external ___libkernel_platform_init
00007ff800d13362 (__TEXT,__text) external ___libkernel_voucher_init
00007ff800d10ecc (__TEXT,__text) external ___listen
00007ff800d10ee4 (__TEXT,__text) external ___log_data
00007ff800d10efc (__TEXT,__text) external ___lseek
00007ff800d10f14 (__TEXT,__text) external ___lstat64_extended
00007ff800d10f2c (__TEXT,__text) external ___lstat_extended
00007ff800d10f44 (__TEXT,__text) external ___mac_execve
00007ff800d10f5c (__TEXT,__text) external ___mac_get_fd
00007ff800d10f74 (__TEXT,__text) external ___mac_get_file
00007ff800d10f8c (__TEXT,__text) external ___mac_get_link
00007ff800d10fa4 (__TEXT,__text) external ___mac_get_mount
00007ff800d10fbc (__TEXT,__text) external ___mac_get_pid
00007ff800d10fd4 (__TEXT,__text) external ___mac_get_proc
00007ff800d10fec (__TEXT,__text) external ___mac_getfsstat
00007ff800d11004 (__TEXT,__text) external ___mac_mount
00007ff800d1101c (__TEXT,__text) external ___mac_set_fd
00007ff800d11034 (__TEXT,__text) external ___mac_set_file
00007ff800d1104c (__TEXT,__text) external ___mac_set_link
00007ff800d11064 (__TEXT,__text) external ___mac_set_proc
00007ff800d1107c (__TEXT,__text) external ___mac_syscall
00007ff800d11094 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800d110ac (__TEXT,__text) external ___mach_eventlink_signal
00007ff800d110c4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
