                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00000002686cb4e0 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000002686cbf5c (__TEXT,__const) external _libopenpam
00000002686cba00 (__TEXT,__text) external _misc_conv
00000002686cb70c (__TEXT,__text) external _pam_acct_mgmt
00000002686cb614 (__TEXT,__text) external _pam_authenticate
00000002686cb788 (__TEXT,__text) external _pam_chauthtok
00000002686cb880 (__TEXT,__text) external _pam_close_session
00000002686cb5a0 (__TEXT,__text) external _pam_end
00000002686cbc48 (__TEXT,__text) external _pam_get_data
00000002686cb97c (__TEXT,__text) external _pam_get_item
00000002686cbe78 (__TEXT,__text) external _pam_get_pass
00000002686cbd58 (__TEXT,__text) external _pam_get_user
00000002686cbb70 (__TEXT,__text) external _pam_getenv
00000002686cbbe0 (__TEXT,__text) external _pam_getenvlist
00000002686cb808 (__TEXT,__text) external _pam_open_session
00000002686cbddc (__TEXT,__text) external _pam_prompt
00000002686cbafc (__TEXT,__text) external _pam_putenv
00000002686cbccc (__TEXT,__text) external _pam_set_data
00000002686cb8f8 (__TEXT,__text) external _pam_set_item
00000002686cb690 (__TEXT,__text) external _pam_setcred
00000002686cb514 (__TEXT,__text) external _pam_start
00000002686cba8c (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000002686cb480 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00000002686cb490 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00000002686cb4dc (__TEXT,__text) external _xlate_pam_shim_item_type
00000002686cb4b8 (__TEXT,__text) external _xlate_pam_shim_retval
00000002686cb4a4 (__TEXT,__text) external _xlate_pam_shim_session_flags
00000002686cb4b0 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
