00007ff94373b2a0 (__DATA,__bss) non-external _AGCPrinter
00007ff90947f547 (__TEXT,__text) external _AIRNTClone
00007ff90947f495 (__TEXT,__text) external _AIRNTDispose
00007ff90947fb74 (__TEXT,__text) external _AIRNTDisposeCompilationContext
00007ff90948042a (__TEXT,__text) external _AIRNTEmitAssembly
00007ff90948388a (__TEXT,__text) external _AIRNTEmitBuiltinExecutableImage
00007ff909480548 (__TEXT,__text) external _AIRNTEmitDylibImage
00007ff909483005 (__TEXT,__text) external _AIRNTEmitExecutableImage
00007ff9094804b9 (__TEXT,__text) external _AIRNTEmitObject
00007ff909484afe (__TEXT,__text) external _AIRNTEmitPipelineImage
00007ff909487e7a (__TEXT,__text) external _AIRNTEmitPipelineImages
00007ff90947fbd7 (__TEXT,__text) external _AIRNTGetDefaultArch
00007ff90947e7b8 (__TEXT,__text) external _AIRNTGetLLVMVersion
00007ff90948ad74 (__TEXT,__text) external _AIRNTGetLegalizationPasses
00007ff90947fbe9 (__TEXT,__text) external _AIRNTGetSupportedArchs
00007ff909480278 (__TEXT,__text) external _AIRNTGetSupportedBitcodeVersion
00007ff90947fddb (__TEXT,__text) external _AIRNTGetSupportedImpls
00007ff90947fbca (__TEXT,__text) external _AIRNTGetVendorName
00007ff90947fbb8 (__TEXT,__text) external _AIRNTGetVersion
00007ff90947e7c0 (__TEXT,__text) external _AIRNTInit
00007ff90947f5db (__TEXT,__text) external _AIRNTInitCompilationContext
00007ff909480283 (__TEXT,__text) external _AIRNTParseCommandLineOptions
00007ff90947fe9f (__TEXT,__text) external _AIRNTSupportsArch
00007ff90948041a (__TEXT,__text) external _AIRNTSupportsEmitBuiltinExecutableImage
00007ff909480412 (__TEXT,__text) external _AIRNTSupportsEmitExecutableImage
00007ff90947ffc9 (__TEXT,__text) external _AIRNTSupportsTarget
00007ff909480422 (__TEXT,__text) external _AIRNTSupportsThreads
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithBytes (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyFileSystemPath (from CoreFoundation)
00007ff9092f098a (__TEXT,__text) external _GLCompilerBuildRequest
00007ff9092f097c (__TEXT,__text) external _GLCompilerCreate
00007ff9092f0984 (__TEXT,__text) external _GLCompilerDelete
00007ff9092f0992 (__TEXT,__text) external _GLCompilerLogBuildRequest
00007ff9092f099a (__TEXT,__text) external _GLCompilerReleaseReply
                 (undefined) external _LLVMAGXRuntimeMajorVersion (from libLLVM)
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
00007ff9092f5dde (__TEXT,__text) external _MTLCompilerBuildRequest
00007ff9092f3601 (__TEXT,__text) external _MTLCompilerBuildRequestWithOptions
00007ff9092f5d8d (__TEXT,__text) external _MTLCompilerBuildRequestWithSerializedBitcode
00007ff9092f09a0 (__TEXT,__text) external _MTLCompilerCreate
00007ff9092f3560 (__TEXT,__text) external _MTLCompilerDelete
00007ff9092f5e5a (__TEXT,__text) external _MTLCompilerReleaseReply
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
00007ff909398faf (__TEXT,__text) non-external __Z10parseMDIntPKcPKN4llvm6MDNodeERjS5_
00007ff9092f1dd8 (__TEXT,__text) non-external __Z11initPrinterRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEb13AGCTargetArch
00007ff909399c8c (__TEXT,__text) non-external __Z11parseMDTypeIN4llvm6MDNodeEEbPKcPKS1_RjRPT_
00007ff909399060 (__TEXT,__text) non-external __Z12parseMDUint3PKN4llvm6MDNodeEPKcRjRNSt3__15arrayIjLm3EEE
00007ff909351ced (__TEXT,__text) non-external __Z12pixelTypeMapv
00007ff9093001d7 (__TEXT,__text) non-external __Z12printHexDumpRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKhmjPKcb
00007ff9092f286a (__TEXT,__text) non-external __Z12printMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKcz
00007ff90935115b (__TEXT,__text) non-external __Z13bufferTypeMapv
00007ff9093991db (__TEXT,__text) non-external __Z13parseMDAccessPKN4llvm6MDNodeERjR14ResourceAccess
00007ff909399d4c (__TEXT,__text) non-external __Z13parseMDBufferPKN4llvm6MDNodeEjRjS3_S3_S3_RPS0_R14ResourceAccessRbS3_S8_
00007ff90931da36 (__TEXT,__text) non-external __Z14attribute_nameRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00007ff909399278 (__TEXT,__text) non-external __Z14parseMDSamplerPKN4llvm6MDNodeERjS3_Rb
00007ff9093993d0 (__TEXT,__text) non-external __Z14parseMDTexturePKN4llvm6MDNodeERjS3_R14ResourceAccessRbS6_S6_S3_
00007ff9092fdfeb (__TEXT,__text) non-external __Z16dumpShaderToFilePKc
00007ff90947ca15 (__TEXT,__text) non-external __Z17SimplifyGenericIRPN4llvm6ModuleEb
00007ff909399144 (__TEXT,__text) non-external __Z20parseMDLocationIndexPKN4llvm6MDNodeERjS3_S3_
00007ff90947d6b2 (__TEXT,__text) non-external __Z21EraseInstructionChainPN4llvm5ValueE
00007ff9092ffa6b (__TEXT,__text) non-external __Z21isValidToPrintMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEE
00007ff90936e0ba (__TEXT,__text) non-external __Z25getBackendReplyReadsTGSRsPKN16AGCCodeGenerator10ShaderInfoE
00007ff90943f1a2 (__TEXT,__text) non-external __Z27AGCLLVMCreateG9TargetConfig13AGCTargetArch
00007ff909432bd2 (__TEXT,__text) non-external __Z28AGCLLVMCreateG14TargetConfig13AGCTargetArch
00007ff90943476a (__TEXT,__text) non-external __Z28AGCLLVMCreateG15TargetConfig13AGCTargetArch
00007ff9092f692e (__TEXT,__text) non-external __Z28validateUserLocalMemoryUsagejjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00007ff9092f6b13 (__TEXT,__text) non-external __Z32validateUserMeshLocalMemoryUsagejjjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
00007ff909376360 (__TEXT,__text) non-external __Z36getComputeControlFlowBitcodeFileNameRK10AGCLLVMCtx
