0000000216f774f8 (__DATA,__bss) non-external _A
000000021886f800 (__AUTH,__data) external _CMARK_ARENA_MEM_ALLOCATOR
000000021886f7e8 (__AUTH,__data) external _CMARK_DEFAULT_MEM_ALLOCATOR
0000000216f77238 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
0000000216f7723c (__DATA,__data) external _CMARK_NODE_LAST_INLINE
0000000216f77500 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
0000000216f77508 (__DATA,__common) external _CMARK_NODE_TABLE
0000000216f77510 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
0000000216f7750c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
0000000208f85d4b (__TEXT,__const) non-external _HREF_SAFE
0000000213b3bbf8 (__DATA_CONST,__const) non-external _HTML_ESCAPES
0000000208f84433 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
0000000208f7ff1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000208f85c4b (__TEXT,__const) non-external _SMART_PUNCT_CHARS
0000000208f7a55c (__TEXT,__text) non-external _S_advance_offset
0000000208f6ad6c (__TEXT,__text) non-external _S_blankline
0000000208f7af8c (__TEXT,__text) non-external _S_can_contain
0000000208f6ad50 (__TEXT,__text) non-external _S_cr
0000000208f7a604 (__TEXT,__text) non-external _S_find_first_nonspace
0000000208f7aecc (__TEXT,__text) non-external _S_node_unlink
0000000208f6ad84 (__TEXT,__text) non-external _S_out
0000000208f6944c (__TEXT,__text) non-external _S_outc
0000000208f78ae0 (__TEXT,__text) non-external _S_parser_feed
0000000208f85c48 (__TEXT,__const) non-external _S_parser_feed.repl
0000000208f7c49c (__TEXT,__text) non-external _S_print_error
0000000208f7923c (__TEXT,__text) non-external _S_process_line
0000000208f8370c (__TEXT,__text) non-external _S_process_line.cold.1
0000000208f83738 (__TEXT,__text) non-external _S_process_line.cold.2
0000000208f83764 (__TEXT,__text) non-external _S_process_line.cold.3
0000000208f83790 (__TEXT,__text) non-external _S_process_line.cold.4
0000000208f837bc (__TEXT,__text) non-external _S_process_line.cold.5
0000000208f68d1c (__TEXT,__text) non-external _S_put_footnote_backref
0000000208f66de4 (__TEXT,__text) non-external _S_render_node
0000000208f69574 (__TEXT,__text) non-external _S_render_node
0000000208f6ca5c (__TEXT,__text) non-external _S_render_node
0000000208f80aa0 (__TEXT,__text) non-external _S_render_node
0000000208f83468 (__TEXT,__text) non-external _S_render_node.cold.1
0000000208f83520 (__TEXT,__text) non-external _S_render_node.cold.1
0000000208f835a4 (__TEXT,__text) non-external _S_render_node.cold.1
0000000208f84004 (__TEXT,__text) non-external _S_render_node.cold.1
