00007fff29a299ef (__TEXT,__text) external _CEMCopyEmojiTokens
00007fff29a29a95 (__TEXT,__text) external _CEMCreateEmojiCharacterSet
00007fff29a286a6 (__TEXT,__text) external _CEMCreateEmojiLocaleData
00007fff29a2909f (__TEXT,__text) external _CEMEMFSearchEngineCreateBundleForLocaleIdentifier
00007fff29a28ece (__TEXT,__text) external _CEMEMFSearchEngineIsLocaleSupported
00007fff29a28e76 (__TEXT,__text) external _CEMEmojiLocaleDataCopyCommonEmojiTokens
00007fff29a28925 (__TEXT,__text) external _CEMEmojiLocaleDataCreateEmojiTokensForString
00007fff29a28831 (__TEXT,__text) external _CEMEmojiLocaleDataEnumerateSearchResultsInStringWithBlock
00007fff29a28e5c (__TEXT,__text) external _CEMEmojiLocaleDataGetLocaleIdentifier
00007fff29a297a4 (__TEXT,__text) external _CEMEmojiTokenCopyName
00007fff29a297bf (__TEXT,__text) external _CEMEmojiTokenCopyNameWithCount
00007fff29a296f5 (__TEXT,__text) external _CEMEmojiTokenCopyRelatedEmoji
00007fff29a295f4 (__TEXT,__text) external _CEMEmojiTokenCreateCopyRemovingModifiers
00007fff29a294c1 (__TEXT,__text) external _CEMEmojiTokenCreateHairStyleVariant
00007fff29a295ec (__TEXT,__text) external _CEMEmojiTokenCreatePresentationVariant
00007fff29a293b7 (__TEXT,__text) external _CEMEmojiTokenCreateSkinToneVariant
00007fff29a29240 (__TEXT,__text) external _CEMEmojiTokenCreateWithIndex
00007fff29a290fc (__TEXT,__text) external _CEMEmojiTokenCreateWithLongCharacter
00007fff29a28c39 (__TEXT,__text) external _CEMEmojiTokenCreateWithString
00007fff29a294ac (__TEXT,__text) external _CEMEmojiTokenGetGender
00007fff29a29493 (__TEXT,__text) external _CEMEmojiTokenGetHairStyle
00007fff29a297d5 (__TEXT,__text) external _CEMEmojiTokenGetIndex
00007fff29a297ef (__TEXT,__text) external _CEMEmojiTokenGetLocaleData
00007fff29a295c6 (__TEXT,__text) external _CEMEmojiTokenGetPresentationStyle
00007fff29a2947e (__TEXT,__text) external _CEMEmojiTokenGetSkinTone
00007fff29a29364 (__TEXT,__text) external _CEMEmojiTokenGetString
00007fff29a29769 (__TEXT,__text) external _CEMEmojiTokenIsCommon
00007fff29a29801 (__TEXT,__text) external _CEMEmojiTokenIsSupportedForLocaleAndSearchMode
00007fff29a2958c (__TEXT,__text) external _CEMEmojiTokenSupportsHairStyleVariants
00007fff29a295e4 (__TEXT,__text) external _CEMEmojiTokenSupportsPresentationStyle
00007fff29a2937a (__TEXT,__text) external _CEMEmojiTokenSupportsSkinToneVariants
00007fff29a296b0 (__TEXT,__text) external _CEMEmojiTokensAreEquivalent
00007fff29a2995a (__TEXT,__text) external _CEMEnumerateEmojiTokensInStringWithBlock
00007fff29a2b80a (__TEXT,__text) external _CEMEnumerateEmojiTokensInStringWithLocaleAndBlock
00007fff29a29a57 (__TEXT,__text) external _CEMGetSharedEmojiCharacterSet
00007fff29a29828 (__TEXT,__text) external _CEMLongCharacterIsEmoji
00007fff29a2988d (__TEXT,__text) external _CEMStringContainsEmoji
00007fff29a27b9d (__TEXT,__text) external _CEMStringIsSingleEmoji
                 (undefined) external _CFAllocatorGetDefault (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyBundleLocalizations (from CoreFoundation)
                 (undefined) external _CFBundleCopyLocalizationsForPreferences (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURLForLocalization (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBurstTrieContainsUTF8String (from CoreFoundation)
                 (undefined) external _CFBurstTrieCreateCursorForBytes (from CoreFoundation)
                 (undefined) external _CFBurstTrieCreateFromMapBytes (from CoreFoundation)
                 (undefined) external _CFBurstTrieCursorAdvanceForBytes (from CoreFoundation)
                 (undefined) external _CFBurstTrieCursorGetPayload (from CoreFoundation)
                 (undefined) external _CFBurstTrieCursorRelease (from CoreFoundation)
                 (undefined) external _CFBurstTrieRelease (from CoreFoundation)
                 (undefined) external _CFBurstTrieSetCursorForBytes (from CoreFoundation)
                 (undefined) external _CFBurstTrieTraverseFromCursor (from CoreFoundation)
                 (undefined) external _CFCharacterSetCreateWithBitmapRepresentation (from CoreFoundation)
                 (undefined) external _CFCharacterSetGetPredefined (from CoreFoundation)
                 (undefined) external _CFCharacterSetIsCharacterMember (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFLocaleCopyCurrent (from CoreFoundation)
                 (undefined) external _CFLocaleCreate (from CoreFoundation)
                 (undefined) external _CFLocaleCreateComponentsFromLocaleIdentifier (from CoreFoundation)
                 (undefined) external _CFLocaleCreateLocaleIdentifierFromComponents (from CoreFoundation)
                 (undefined) external _CFLocaleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFLocaleGetValue (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyValue (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamClose (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringAppend (from CoreFoundation)
                 (undefined) external _CFStringCompare (from CoreFoundation)
                 (undefined) external _CFStringCreateCopy (from CoreFoundation)
                 (undefined) external _CFStringCreateMutable (from CoreFoundation)
                 (undefined) external _CFStringCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringCreateWithSubstring (from CoreFoundation)
                 (undefined) external _CFStringFind (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFStringGetCharacterAtIndex (from CoreFoundation)
                 (undefined) external _CFStringGetCharacters (from CoreFoundation)
                 (undefined) external _CFStringGetCharactersPtr (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
                 (undefined) external _CFStringHasPrefix (from CoreFoundation)
                 (undefined) external _CFStringLowercase (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGoToTokenAtIndex (from CoreFoundation)
                 (undefined) external _CFStringTokenizerSetString (from CoreFoundation)
                 (undefined) external _CFStringTransform (from CoreFoundation)
                 (undefined) external _CFURLCopyResourcePropertyForKey (from CoreFoundation)
                 (undefined) external _CFURLCreateCopyDeletingLastPathComponent (from CoreFoundation)
                 (undefined) external _CFURLGetFileSystemRepresentation (from CoreFoundation)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external __ZNKSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE7compareEmmPKcm (from libc++)
                 (undefined) external __ZNKSt3__120__vector_base_commonILb1EE20__throw_length_errorEv (from libc++)
                 (undefined) external __ZNKSt3__121__basic_string_commonILb1EE20__throw_length_errorEv (from libc++)
                 (undefined) external __ZNKSt9exception4whatEv (from libc++)
                 (undefined) external __ZNSt11logic_errorC2EPKc (from libc++)
                 (undefined) external __ZNSt12length_errorD1Ev (from libc++)
                 (undefined) external __ZNSt16invalid_argumentD1Ev (from libc++)
                 (undefined) external __ZNSt3__112__next_primeEm (from libc++)
