00007fff6eafb5fa (__TEXT,__text) external _DriverExecutableMain
00007fff8d110658 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007fff8d110820 (__DATA_CONST,__const) external _IODMACommand_Class
00007fff8d110980 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007fff6eaf8dd3 (__TEXT,__text) external _IODelay
00007fff8d110b30 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007fff8d110ce0 (__DATA_CONST,__const) external _IODispatchSource_Class
00007fff6eafba5d (__TEXT,__text) external _IODriverKitTest
00007fff6eb1524a (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007fff6eb15275 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007fff6eb15298 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007fff6eb152c3 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007fff6eb152e6 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007fff6eb15309 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007fff6eb1532c (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007fff6eb1534f (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007fff6eaf8db9 (__TEXT,__text) external _IOFree
00007fff6eafba53 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007fff8d110e90 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007fff6eaf8de6 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007fff6eafab47 (__TEXT,__text) external _IOLockAlloc
00007fff6eafab96 (__TEXT,__text) external _IOLockAssert
00007fff6eb14db6 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007fff6eafab62 (__TEXT,__text) external _IOLockFree
00007fff6eafab78 (__TEXT,__text) external _IOLockLock
00007fff6eafab82 (__TEXT,__text) external _IOLockTryLock
00007fff6eafab8c (__TEXT,__text) external _IOLockUnlock
00007fff6eaf8c38 (__TEXT,__text) external _IOLog
00007fff6eaf8ac4 (__TEXT,__text) external _IOLogBuffer
00007fff6eaf8ce0 (__TEXT,__text) external _IOLogv
00007fff6eaf8d9d (__TEXT,__text) external _IOMalloc
00007fff6eaf8da7 (__TEXT,__text) external _IOMallocZero
00007fff8d111040 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007fff8d1111f0 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007fff6eaf8e66 (__TEXT,__text) external _IOParseBootArgNumber
00007fff6eaf9322 (__TEXT,__text) external _IOParseBootArgString
00007fff6eaf9efc (__TEXT,__text) external _IORPCMessageFromMach
00007fff6eb14b9b (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007fff6eb14bd0 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007fff6eafac0e (__TEXT,__text) external _IORWLockAlloc
00007fff6eb14dd9 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007fff6eafac43 (__TEXT,__text) external _IORWLockFree
00007fff6eafac6a (__TEXT,__text) external _IORWLockRead
00007fff6eb14dfc (__TEXT,__text) non-external _IORWLockRead.cold.1
00007fff6eafac92 (__TEXT,__text) external _IORWLockUnlock
00007fff6eb14e42 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007fff6eafac7e (__TEXT,__text) external _IORWLockWrite
00007fff6eb14e1f (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007fff6eafabb2 (__TEXT,__text) external _IORecursiveLockAlloc
00007fff6eafabce (__TEXT,__text) external _IORecursiveLockFree
00007fff6eafabfa (__TEXT,__text) external _IORecursiveLockHaveLock
00007fff6eafabe4 (__TEXT,__text) external _IORecursiveLockLock
00007fff6eafac04 (__TEXT,__text) external _IORecursiveLockTryLock
00007fff6eafabf0 (__TEXT,__text) external _IORecursiveLockUnlock
00007fff8d111550 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007fff8d1113a0 (__DATA_CONST,__const) external _IOService_Class
00007fff6eaf8dc3 (__TEXT,__text) external _IOSleep
00007fff8d1116b0 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007fff8d111860 (__DATA_CONST,__const) external _IOUserClient_Class
